"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-407.2677433490753,"unknown",-400.62737679481506,-393.87786626815796,0.0,6.330662488937378,11.623676776885986,17.894935846328735,60.10058379173279,66.9313611984253,69.10980796813965,76.19036388397217,"unknown","unknown",83.27007246017456,86.19867873191833,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.16839289665222,"","unknown",98.16292476654053,100.38923668861389,106.02269983291626,"unknown","unknown",112.88266611099243,114.35435485839844,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",120.22934913635254,"unknown","unknown",127.08016204833984
"b5edd3c",-183162.65061211586,"unknown",-183155.62563586235,-183148.9118759632,0.0,6.4157044887542725,9.08361029624939,15.004419326782227,31.85853338241577,37.378395557403564,39.32753825187683,46.08346724510193,"unknown","unknown",51.86916995048523,57.315239906311035,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.71343779563904,"","unknown",69.38424038887024,71.00048542022705,77.54036021232605,"unknown","unknown",82.83807873725891,85.27732396125793,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.34962582588196,"unknown","unknown",97.76396584510803
"374ecf8",-5447.197989940643,"unknown",-5440.414988517761,-5433.445470333099,0.0,5.949616432189941,12.6718168258667,18.575703859329224,34.382753133773804,40.96967315673828,43.940659046173096,49.951698541641235,"unknown","unknown",55.829854011535645,59.03476309776306,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.26253271102905,"","unknown",71.92663669586182,83.0935628414154,"unknown",88.59454703330994,"unknown",94.04063773155212,100.10050010681152,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.55872058868408,"unknown","unknown",112.23202276229858
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",9.631930112838745,"unknown",29.47285270690918,"unknown",38.10447335243225,"unknown","unknown","unknown","unknown",53.163965702056885,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",69.99343585968018,"unknown","unknown","unknown","unknown",94.64700770378113,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"8d2da97",-11895.353702783585,"unknown",-11888.92535495758,-11883.565810918808,0.0,5.9550089836120605,9.389538288116455,15.434492349624634,27.69424533843994,34.056396484375,38.28714323043823,43.58906674385071,"unknown","unknown",49.630356788635254,52.65947985649109,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.390008211135864,"","unknown",64.74423408508301,68.804847240448,74.67464256286621,"unknown","unknown",80.31696033477783,82.54688954353333,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",87.84973978996277,"unknown","unknown",94.34183382987976
"2541155",-7917.600501775742,"unknown",-7911.799165725708,-7904.6022963523865,0.0,6.574502468109131,58.422608613967896,63.88226270675659,74.65154266357422,81.91316175460815,104.24692678451538,110.5038230419159,"unknown","unknown",116.50297117233276,119.77727890014648,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.13813209533691,"","unknown",131.60191941261292,134.89411282539368,141.4100306034088,"unknown","unknown",148.50729322433472,155.14073419570923,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",161.46345210075378,"unknown","unknown",168.63574028015137
"ac6f3f6",-41380.602405786514,"unknown",-41373.503123283386,-41367.02296638489,0.0,6.396494626998901,8.272692441940308,15.198298454284668,16.82237195968628,23.935474634170532,75.09509563446045,"unknown","unknown",80.84662532806396,87.93014216423035,119.08211469650269,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",125.72914528846741,"","unknown",132.7156057357788,140.8311448097229,147.99655628204346,"unknown","unknown",153.7959222793579,171.3744387626648,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",176.86159682273865,"unknown","unknown",182.26118183135986
"62447b9",-99850.98404216766,"unknown",-99844.4177930355,-99838.01227259636,0.0,6.55351185798645,9.268072366714478,15.30460000038147,34.36629104614258,41.08401298522949,51.57127356529236,57.862385511398315,"unknown","unknown",64.9820191860199,67.51869630813599,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.24112224578857,"","unknown",78.64459276199341,84.70453977584839,91.85141563415527,"unknown","unknown",97.13685512542725,100.62418150901794,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.14898562431335,"unknown","unknown",112.30057191848755
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",11.21073031425476,"unknown",41.83751583099365,"unknown",49.85216164588928,"unknown","unknown","unknown","unknown",63.23559856414795,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",80.37709593772888,"unknown","unknown","unknown","unknown",94.71568393707275,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
