"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","4_1","5_otro_1","3_1","7_otro_1"
"518e9b8",-4148.111932992935,"unknown",-4142.556941747665,-4136.031043052673,0.0,5.837693452835083,47335.14183926582,47343.80027413368,47352.396619319916,47357.79134678841,48410.24400854111,"unknown",48416.98602485657,"unknown",48424.873970508575,48449.76598358154,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",48455.88186502457,"","unknown",48462.14560127258,48477.280826330185,48483.05117201805,"unknown","unknown",48489.59124708176,48492.58401322365,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",48497.75928902626,"unknown","unknown",48503.59274196625,"","","","",""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",12.735551595687866,"unknown",31.88412356376648,"unknown",52.21141314506531,"unknown","unknown","unknown","unknown",67.5820255279541,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",89.70721650123596,"unknown","unknown","unknown","unknown",105.67801547050476,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"374ecf8","unknown","unknown","unknown","unknown",0.0,"unknown",15.728663206100464,"unknown",58.795822858810425,"unknown",100.09381699562073,"unknown","unknown","unknown","unknown",115.03804636001587,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",141.8682005405426,"unknown","unknown","unknown","unknown",166.57569289207458,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"89f120b","unknown","unknown","unknown","unknown",0.0,"unknown",418672.76808667183,"unknown",863610.0347695351,"unknown",1841309.2234535217,"unknown","unknown","unknown","unknown",1841324.4203708172,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",1841386.8232827187,"unknown","unknown","unknown","unknown",1841419.4309520721,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",9.851477146148682,"unknown",36.63962721824646,"unknown",67.51387286186218,"unknown","unknown","unknown","unknown",82.23337173461914,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",101.20937514305115,"unknown","unknown","unknown","unknown",118.27632474899292,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"8d2da97",-1105.5524978637695,"unknown",-1098.5357630252838,-1093.0564177036285,0.0,5.733149766921997,10.18622612953186,17.70077919960022,26.23769211769104,32.396730184555054,41.402979135513306,48.115609645843506,"unknown","unknown",55.17555046081543,68.14454817771912,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.14088082313538,"","unknown",80.72898125648499,179.6675727367401,186.42185711860657,"unknown","unknown",192.60709619522095,194.70910787582397,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",201.64539790153503,"unknown","unknown",207.7978014945984,"","","","",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",8.137119054794312,"unknown",27.217307329177856,"unknown",46.73727083206177,"unknown","unknown","unknown","unknown",61.387282609939575,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",77.76276707649231,"unknown","unknown","unknown","unknown",92.27765345573425,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",14.997693538665771,"unknown",43.33793544769287,"unknown",84.88934898376465,"unknown","unknown","unknown","unknown",105.10024213790894,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",136.9886748790741,"unknown","unknown","unknown","unknown",156.5572967529297,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",16.714512586593628,"unknown",43.36200952529907,"unknown",113.37722110748291,"unknown","unknown","unknown","unknown",129.48224544525146,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",186.60500407218933,"unknown","unknown","unknown","unknown",204.4059443473816,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",11.215826988220215,"unknown",37.723947286605835,"unknown",60.00531005859375,"unknown","unknown","unknown","unknown",75.95850992202759,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",100.84767627716064,"unknown","unknown","unknown","unknown",114.67939305305481,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","",""
