"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","3_1"
"518e9b8",-4736.895548820496,"unknown",-4729.805477619171,-4722.924229383469,0.0,5.9482741355896,10.068536758422852,16.043914794921875,31.02543020248413,37.50147318840027,45.464940309524536,"unknown",52.1084463596344,"unknown",58.100127935409546,64.27458381652832,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",70.80741882324219,"","unknown",77.66884779930115,142.8015697002411,149.57623076438904,"unknown","unknown",154.87006497383118,156.53828144073486,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",161.7307767868042,"unknown","unknown",168.41223812103271,"",""
"b5edd3c",-31620.409631967545,"unknown",-31614.984081029892,-31607.909292936325,0.0,5.6184046268463135,9.473616361618042,14.989708662033081,26.173696517944336,33.36421489715576,35.41811680793762,41.29520106315613,"unknown","unknown",48.07361078262329,51.727577209472656,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",57.80073642730713,"","unknown",64.99841284751892,66.8964421749115,72.91927456855774,"unknown","unknown",79.00147581100464,81.04420304298401,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.32969570159912,"unknown","unknown",93.62756252288818,"",""
"374ecf8",-187325.34891343117,"unknown",-187318.95406532288,-187312.3500790596,0.0,7.177282094955444,13.114903926849365,19.44810438156128,33.12994980812073,38.75688910484314,45.36718702316284,51.87333941459656,"unknown","unknown",59.11932897567749,62.89888119697571,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",70.11113905906677,"","unknown",76.47109460830688,95.42939686775208,"unknown",102.21175050735474,"unknown",107.72851133346558,110.19327235221863,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",115.93770670890808,"unknown","unknown",122.23455381393433,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.692651271820068,"unknown",17.56219458580017,"unknown",29.088467359542847,"unknown","unknown","unknown","unknown",44.272650957107544,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",65.49751687049866,"unknown","unknown","unknown","unknown",94.89859247207642,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-10529.697268486023,"unknown",-10523.852423667908,-10517.342204809189,0.0,5.846997499465942,14.243783712387085,21.200639009475708,33.58662462234497,40.8941216468811,43.59800124168396,50.29703330993652,"unknown","unknown",55.88984966278076,72.74506449699402,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",80.61845207214355,"","unknown",87.3265221118927,92.2749936580658,99.21953701972961,"unknown","unknown",106.4837327003479,120.27968955039978,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.38960552215576,"unknown","unknown",132.41745257377625,"",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",981662.8756322861,"unknown",981670.7528777122,"unknown",981689.1067738533,"unknown","unknown","unknown","unknown",981703.8750505447,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",981738.9124412537,"unknown","unknown","unknown","unknown",981754.6243457794,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",3569.133943796158,"unknown",3589.8775486946106,"unknown",3597.9922506809235,"unknown","unknown","unknown","unknown",3613.59947347641,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",3628.316861629486,"unknown","unknown","unknown","unknown",3643.150985956192,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"62447b9",-17781.57728624344,"unknown",-17774.82592368126,-17767.556656599045,0.0,5.763935089111328,15.399816513061523,22.2930326461792,40.16125822067261,46.877586126327515,66.41389894485474,"unknown","unknown",71.82973003387451,77.71667981147766,80.47432494163513,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",86.41617631912231,"","unknown",91.91771936416626,99.52731275558472,"unknown",105.42033219337463,"unknown",111.40310406684875,119.53925704956055,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.81785559654236,"unknown","unknown",131.41197419166565,"",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",10.645588397979736,"unknown",58.42759656906128,"unknown",75.7314624786377,"unknown","unknown","unknown","unknown",88.86777067184448,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",110.72707200050354,"unknown","unknown","unknown","unknown",127.03990054130554,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"4e53c5c",-27466.990184783936,"unknown",-27461.010798215866,-27455.2160012722,0.0,5.676417589187622,11.56581449508667,17.62911558151245,43.57376527786255,50.69332575798035,71.49070310592651,78.77905774116516,"unknown","unknown",84.29823160171509,100.91380715370178,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",106.34974479675293,"","unknown",111.93658256530762,123.53693199157715,129.30335474014282,"unknown","unknown",134.74672770500183,136.9991488456726,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",142.3955957889557,"unknown","unknown",148.84099578857422,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",11.2166588306427,"unknown",40.73873209953308,"unknown",91.9704213142395,"unknown","unknown","unknown","unknown",107.48571610450745,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",139.2578649520874,"unknown","unknown","unknown","unknown",154.73106980323792,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",12.345324277877808,"unknown",49.91888666152954,"unknown",59.04901480674744,"unknown","unknown","unknown","unknown",75.00641322135925,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",101.31816983222961,"unknown","unknown","unknown","unknown",115.49165177345276,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
