"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-68808.64868450165,-68802.52169156075,-68795.50495409966,-68788.40130972862,0.0,6.612484931945801,8.867764711380005,17.474491119384766,27.465699911117554,34.69495487213135,39.77101373672485,"unknown","unknown",45.63522219657898,51.235233783721924,53.495986461639404,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.12543773651123,"unknown",66.53235363960266,92.32631015777588,"unknown",97.54931616783142,"unknown",104.16334128379822,106.4312756061554,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",112.83506369590759,"unknown","unknown",118.35064554214478
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-3522.358515739441,-3516.710917711258,-3509.8525397777557,-3502.9297757148743,0.0,5.522673606872559,7.814658164978027,14.878837585449219,95.37553477287292,102.19556784629822,106.18475222587585,112.01241779327393,"unknown","unknown",119.12354874610901,179.56802558898926,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",185.56600499153137,"unknown",191.6698236465454,216.54620122909546,223.13243126869202,"unknown","unknown",228.66908383369446,231.20855832099915,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",238.01453161239624,"unknown","unknown",244.99481868743896
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-106628.1864438057,-106621.03593158722,-106615.38262176514,-106608.77751326561,0.0,5.6696929931640625,9.617988348007202,18.47645378112793,29.259182453155518,36.28232002258301,38.000909090042114,"unknown","unknown",45.01166367530823,50.76477074623108,57.024858713150024,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.23173570632935,"unknown",70.10767436027527,75.10197734832764,"unknown",80.70610475540161,"unknown",86.54289245605469,90.33645176887512,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",95.89220118522644,"unknown","unknown",102.16266298294067
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-7376.233392238617,-7370.698987483978,-7364.4808349609375,-7358.8646421432495,0.0,6.478402137756348,9.259926557540894,16.653563976287842,18.772440433502197,25.87991714477539,32.51893186569214,"unknown",39.03930068016052,"unknown",44.54804587364197,46.38746094703674,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",52.86623811721802,"unknown",59.14158368110657,68.56162238121033,74.35901951789856,"unknown","unknown",80.31432294845581,1388381.6488997936,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1388388.0366165638,"unknown","unknown",1388394.7443320751
"ac6f3f6",-44.95174741744995,-38.779940128326416,-30.62264919281006,-24.069464921951294,0.0,5.723282814025879,15.906122922897339,23.261492490768433,204.30479979515076,210.37586784362793,234.8168420791626,"unknown",241.2440230846405,"unknown",247.28698110580444,252.31251120567322,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",259.1072769165039,"unknown",266.0786118507385,273.6366834640503,279.0785973072052,"unknown","unknown",284.9684753417969,287.85028314590454,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",295.0635166168213,"unknown","unknown",301.0260407924652
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-9397.196487903595,-9391.822910547256,-9385.934125900269,-9379.33311343193,0.0,6.48582649230957,9.808861017227173,17.733327627182007,31.101179122924805,38.34761881828308,41.760358810424805,"unknown","unknown",47.627676248550415,54.54041123390198,56.37638545036316,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",62.845942974090576,"unknown",68.3487229347229,71.9362199306488,"unknown","unknown",77.83777785301208,85.6292679309845,87.11587333679199,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.54733633995056,"unknown","unknown",101.60294127464294
