"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-18245.80916929245,"unknown",-18239.369018793106,-18232.555338859558,0.0,7.059627056121826,3929.6845319271088,3935.807319879532,3943.1958956718445,3948.731110095978,3958.763614654541,3963.971122741699,"unknown","unknown",3969.7249405384064,3971.7712116241455,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",3978.5249030590057,"","unknown",3985.519230365753,4007.150579929352,4014.4437305927277,"unknown","unknown",4020.582667827606,4034.674173593521,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",4040.3845071792603,"unknown","unknown",4046.6786720752716,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-883.3951489925385,"unknown",-877.8307654857635,-872.1492612361908,0.0,5.981626510620117,7.847203731536865,13.08004379272461,15.218118906021118,21.936723470687866,47.308412075042725,"unknown","unknown",54.72157621383667,61.54446339607239,63.50702667236328,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.42231941223145,"","unknown",76.18355965614319,78.7222900390625,"unknown",85.56377363204956,"unknown",91.3828010559082,96.62940239906311,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.91893720626831,"unknown","unknown",109.77776455879211,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-8234.78164935112,"unknown",-8227.955084085464,-8220.686089754105,0.0,5.867188215255737,8.354361534118652,14.502824068069458,25.341037273406982,31.2997465133667,33.487632751464844,39.38101077079773,"unknown","unknown",46.54462933540344,49.09106087684631,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.42937994003296,"","unknown",62.45858383178711,74.02194595336914,79.69182252883911,"unknown","unknown",86.81966829299927,105.96573162078857,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.91530847549438,"unknown","unknown",118.7850513458252,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-442278.03778862953,"unknown",-442271.8207552433,-442264.6873996258,0.0,7.081769227981567,8.926175117492676,16.131946086883545,26.222952365875244,31.846469402313232,34.235406160354614,"unknown","unknown",39.84184217453003,45.45931696891785,47.17018270492554,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.923693895339966,"","unknown",59.999393463134766,68.83570408821106,"unknown",75.7284209728241,"unknown",83.80620837211609,86.75393414497375,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.4188220500946,"unknown","unknown",100.00740265846252,""
"ac6f3f6",-3384.042281150818,"unknown",-3378.465330839157,-3372.208799123764,0.0,5.453779935836792,17.164438724517822,23.43670105934143,25.515356063842773,30.945322275161743,74.63203597068787,80.25702714920044,"unknown","unknown",86.78374195098877,88.45252132415771,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.95497274398804,"","unknown",101.33178782463074,121.78957843780518,128.68007373809814,"unknown","unknown",134.35562467575073,135.5461175441742,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",142.2337830066681,"unknown","unknown",147.97917199134827,""
"62447b9",-298327.1179904938,"unknown",-298321.19874477386,-298315.2888827324,0.0,5.613189458847046,10.799642562866211,16.71379041671753,32.15442657470703,37.852431297302246,51.80650329589844,"unknown","unknown",57.61352276802063,63.73389387130737,84.6737368106842,91.70930624008179,102.29615902900696,"unknown",108.18802952766418,"unknown",113.72061371803284,115.7472734451294,"unknown","unknown","unknown","unknown","unknown",121.73010230064392,"unknown",127.35517525672913,136.52689743041992,"unknown",142.21355485916138,"unknown",149.34209871292114,152.72232460975647,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",159.77753591537476,"unknown","unknown",166.08173418045044,""
"20f3e2e",-1554.944412469864,"unknown",-1548.7392451763153,-1541.9494006633759,0.0,6.9623942375183105,18.3316011428833,23.673176288604736,69.67698669433594,76.38688373565674,157.2120099067688,163.20191168785095,"unknown","unknown",169.3829607963562,174.8868579864502,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",181.29086184501648,"","unknown",188.3720953464508,208.12357234954834,"unknown",215.14843368530273,"unknown",221.94865155220032,250.43540954589844,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",256.4966025352478,"unknown","unknown",263.01630687713623,""
