"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-3945.5060353279114,-3939.6912894248962,-3932.9880821704865,-3926.6637449264526,0.0,7.068325042724609,80.19108629226685,89.06531548500061,102.95377349853516,109.97573041915894,117.59090995788574,124.48879146575928,"unknown","unknown",130.2977433204651,133.03748106956482,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",140.2810788154602,"","unknown",146.21824026107788,158.85274028778076,"unknown",164.231059551239,"unknown",171.28316044807434,172.98018836975098,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",178.40441846847534,"unknown","unknown",184.94944643974304
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-344.67489767074585,-338.8530330657959,-332.88420152664185,-326.1526725292206,0.0,6.77644419670105,10.584937334060669,17.622916221618652,55.205809354782104,61.05699825286865,68.12780332565308,"unknown",74.71954226493835,"unknown",81.04745054244995,82.8208875656128,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.2496440410614,"","unknown",94.02956557273865,96.41425728797913,"unknown",102.30098581314087,"unknown",109.42992401123047,110.90554475784302,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",118.21902441978455,"unknown","unknown",125.23233366012573
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-4090.022998571396,-4083.5739097595215,-4076.3124675750732,-4069.2552382946014,0.0,6.0750343799591064,8.75336480140686,16.9630446434021,30.50672483444214,37.79613924026489,44.16912817955017,"unknown","unknown",50.50612783432007,57.049641370773315,62.980751037597656,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.08088040351868,"","unknown",76.37278652191162,105.42868661880493,"unknown",110.92823457717896,"unknown",116.64604496955872,122.6601185798645,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",129.63704562187195,"unknown","unknown",136.33808040618896
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-5873.083378314972,-5867.4655084609985,-5860.394473552704,-5854.961336612701,0.0,7.167435646057129,3740.1700196266174,3748.5457108020782,3785.9527802467346,3791.697557449341,3795.0103738307953,"unknown",3801.396691083908,"unknown",3808.56996011734,3812.1324672698975,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",3817.343118906021,"","unknown",3824.0663619041443,3826.1912684440613,3832.9823141098022,"unknown","unknown",3840.1251418590546,3852.5806856155396,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",3858.6815097332,"unknown","unknown",3865.547605276108
"ac6f3f6",-1393.9603424072266,-1388.6267251968384,-1382.3415043354034,-1375.954047203064,0.0,6.118645906448364,8.46473240852356,15.60308575630188,32.236907720565796,39.406838178634644,55.372594356536865,61.295395612716675,"unknown","unknown",67.15339422225952,68.91376256942749,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.12425017356873,"","unknown",82.67824125289917,88.32200598716736,93.87880349159241,"unknown","unknown",99.73176836967468,101.64858961105347,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.0406608581543,"unknown","unknown",113.60352301597595
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-6027.872074842453,-6020.861262559891,-6014.894064426422,-6008.449749946594,0.0,6.466021537780762,11.475292921066284,19.671313285827637,71.32778072357178,78.26900672912598,81.15690922737122,"unknown",87.8442018032074,"unknown",94.12571310997009,96.45016098022461,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.97896265983582,"","unknown",108.5316653251648,114.10252380371094,"unknown",119.60870599746704,"unknown",126.35350680351257,127.85079073905945,133.3307921886444,140.8172252178192,146.02344012260437,"unknown","unknown",151.48201155662537,153.154235124588,"unknown","unknown","unknown","unknown","unknown",160.1888451576233,"unknown",166.23544836044312
