"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-1384.9083089828491,"unknown",-1378.9984166622162,-1372.6011416912079,0.0,6.425970554351807,7.8202064037323,14.445478916168213,31.782613039016724,38.344539165496826,55.560646057128906,"unknown",62.04680109024048,"unknown",68.48901963233948,69.88385534286499,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.10157871246338,"","unknown",83.08134412765503,86.84398555755615,"unknown",93.29992341995239,"unknown",99.11372113227844,101.46986746788025,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",108.1335608959198,"unknown","unknown",114.25930333137512
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-3037.4585077762604,"unknown",-3031.255622625351,-3025.645616054535,0.0,6.765560865402222,10.322967290878296,16.377089023590088,62.65918946266174,69.10915803909302,76.47967767715454,"unknown",83.51472735404968,"unknown",89.3348376750946,107.74596810340881,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",121.8964056968689,"","unknown",127.50160360336304,244.21615362167358,"unknown",250.1992256641388,"unknown",255.62991380691528,37814.55515193939,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",37820.711007118225,"unknown","unknown",37826.936800956726
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-7035.035517454147,"unknown",-7028.8666915893555,-7021.9282331466675,0.0,6.546518087387085,8.643198490142822,14.69958233833313,26.52010226249695,33.389724254608154,40.25583219528198,"unknown",47.318904399871826,"unknown",54.57428026199341,57.592079401016235,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.22322416305542,"","unknown",70.24507451057434,77.09893321990967,"unknown",83.06121397018433,"unknown",90.10174107551575,92.90406680107117,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.24830961227417,"unknown","unknown",105.22349286079407
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-15036.5675303936,"unknown",-15029.993522405624,-15024.01216340065,0.0,5.656985759735107,7.798218011856079,13.615504741668701,27.041829109191895,34.23787784576416,37.53449058532715,44.11000370979309,"unknown","unknown",49.963852643966675,54.00582695007324,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.141759634017944,"","unknown",68.09986281394958,654.5250225067139,660.5441882610321,"unknown","unknown",666.7845275402069,673.6554877758026,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",680.0523061752319,"unknown","unknown",686.1617066860199
"ac6f3f6",-301.00986766815186,"unknown",-294.0621213912964,-288.5263521671295,0.0,5.536919116973877,9.475691080093384,16.53055238723755,18.41710877418518,24.118586540222168,37.6336784362793,43.19488215446472,"unknown","unknown",50.162758588790894,107.93829393386841,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",113.83705830574036,"","unknown",120.29897284507751,132.9384515285492,138.70492124557495,"unknown","unknown",144.2481245994568,145.58903741836548,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",150.79933428764343,"unknown","unknown",157.56109929084778
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-4071.541436433792,"unknown",-4064.438707113266,-4057.6561081409454,0.0,5.325537919998169,9.6541268825531,15.273388385772705,31.67659044265747,37.49934196472168,39.16628646850586,"unknown",45.346954345703125,"unknown",51.48025321960449,52.94119834899902,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.4844708442688,"","unknown",63.83926224708557,68.43498635292053,"unknown",73.91841411590576,"unknown",80.78276634216309,82.41150617599487,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.86794352531433,"unknown","unknown",94.34657168388367
