"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-23925.03033709526,"unknown",-23918.642431497574,-23912.23608994484,0.0,6.519213914871216,11.201711654663086,17.112132787704468,19.859017372131348,26.52293109893799,41.573527574539185,"unknown",48.063241720199585,"unknown",53.947835206985474,57.2157723903656,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.23658728599548,"","unknown",69.86171793937683,74.5937922000885,79.9112114906311,"unknown","unknown",86.63827419281006,89.91407489776611,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.75174760818481,"unknown","unknown",103.32015037536621
"b5edd3c",-100395.94109678268,"unknown",-100389.94347476959,-100383.63478779793,0.0,5.379643201828003,7.643430948257446,13.183741807937622,24.895092248916626,31.933637142181396,33.4850013256073,39.88069272041321,"unknown","unknown",45.73210835456848,47.736196517944336,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.517247915267944,"","unknown",59.212352991104126,62.508851051330566,68.79003763198853,"unknown","unknown",75.13587045669556,76.93313217163086,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.98385548591614,"unknown","unknown",89.90179991722107
"374ecf8",-22289.282322645187,"unknown",-22283.676087141037,-22277.059290647507,0.0,5.674278974533081,9.11477518081665,14.700149536132812,102.34943127632141,108.25221085548401,114.77835893630981,"unknown",120.61737275123596,"unknown",127.19421052932739,83266.72425317764,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83272.76194739342,"","unknown",83278.97811603546,83285.69405603409,"unknown",83292.35603928566,"unknown",83299.08439683914,83303.04989647865,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83309.35886383057,"unknown","unknown",83315.50144028664
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.061233282089233,"unknown",20.825881958007812,"unknown",28.953465223312378,"unknown","unknown","unknown","unknown",44.076369285583496,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",60.45656371116638,"unknown","unknown","unknown","unknown",73.9928925037384,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-77377.54502367973,"unknown",-77371.84396100044,-77366.17012906075,0.0,5.915645599365234,7.885786533355713,14.02470874786377,28.63553285598755,34.84951615333557,38.805535554885864,"unknown","unknown",44.16707801818848,51.27644896507263,54.35188317298889,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.18471574783325,"","unknown",67.03760313987732,2461.427515029907,2467.3221747875214,"unknown","unknown",2473.189881801605,2477.3854990005493,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2482.8842487335205,"unknown","unknown",2488.3090391159058
"ac6f3f6",-1864.190510749817,"unknown",-1857.1804921627045,-1850.361082315445,0.0,7.158030033111572,21.883223056793213,27.380970001220703,41.24080729484558,47.837666749954224,54.33599829673767,"unknown",61.68148851394653,"unknown",67.56180787086487,69.92321372032166,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.8150429725647,"","unknown",83.54894518852234,87.295893907547,96.15926599502563,"unknown","unknown",101.75683999061584,104.14975214004517,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.69314765930176,"unknown","unknown",117.11257219314575
"62447b9",-208879.85781669617,"unknown",-208872.93624973297,-208865.82131958008,0.0,5.424883127212524,8.14722728729248,15.234878778457642,36.19174361228943,43.21706295013428,83.29206109046936,"unknown","unknown",92.35161662101746,98.55797338485718,101.46521306037903,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.16596674919128,"","unknown",115.06682968139648,132.89738512039185,139.8253457546234,"unknown","unknown",146.40809559822083,148.50288724899292,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",155.14632034301758,"unknown","unknown",161.59891486167908
"20f3e2e",-2394.7501022815704,"unknown",-2389.212959051132,-2383.65558886528,0.0,7.231233358383179,81.37202978134155,88.3533022403717,164.8619773387909,170.92290949821472,177.8208303451538,"unknown","unknown",184.8436725139618,190.15276718139648,192.3860776424408,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",198.6845896244049,"","unknown",205.85839343070984,209.31344723701477,"unknown",215.373699426651,"unknown",222.61518502235413,224.76227569580078,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",231.76181292533875,"unknown","unknown",237.74045181274414
"4e53c5c",-3007.811368227005,"unknown",-3000.804654121399,-2993.7878336906433,0.0,6.498488903045654,12.596939086914062,19.638827562332153,45.347755908966064,51.08459448814392,59.803937673568726,66.10226440429688,"unknown","unknown",72.79735898971558,74.99528288841248,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.19699263572693,"","unknown",86.40204977989197,91.56123352050781,98.35675501823425,"unknown","unknown",104.5104353427887,106.5569384098053,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",113.32109713554382,"unknown","unknown",118.94165825843811
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-18423.66509604454,"unknown",-18417.65716767311,-18412.372631072998,0.0,5.416884183883667,15.984253406524658,22.785104274749756,43.0784330368042,49.13764405250549,52.57941746711731,"unknown","unknown",59.14796185493469,65.96442866325378,68.44400334358215,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.36931824684143,"","unknown",81.78261733055115,93.4834656715393,99.92784547805786,"unknown","unknown",107.09356880187988,108.69136786460876,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",115.48595213890076,"unknown","unknown",122.52045130729675
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-796.5701673030853,"unknown",-790.8586113452911,-784.788064956665,0.0,7.041285276412964,11.95048213005066,17.61660361289978,31.28237271308899,37.14767098426819,45.825575828552246,"unknown","unknown",51.923439502716064,58.734177589416504,61.11015748977661,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.43116593360901,"","unknown",73.50422024726868,87.2582676410675,"unknown","unknown",93.46316599845886,100.11842775344849,103.01357340812683,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.45129013061523,"unknown","unknown",116.32039523124695
"ea8c0d6",-2168.1193339824677,"unknown",-2162.6554594039917,-2155.993806362152,0.0,7.892111778259277,11.545598983764648,19.554745197296143,38.49455809593201,48.05269503593445,62.413185596466064,"unknown","unknown",70.30000829696655,77.4306709766388,80.60831832885742,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.79736566543579,"","unknown",95.42078256607056,126.38781332969666,"unknown",133.247465133667,"unknown",139.91130304336548,144.27011132240295,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",150.48737931251526,"unknown","unknown",158.1806356906891
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-238423.26083779335,"unknown",-238416.72629380226,-238410.1883099079,0.0,5.6491310596466064,25.09501051902771,30.677757740020752,47.99902105331421,53.68560528755188,60.560173988342285,"unknown",66.86879396438599,"unknown",72.82188272476196,75.47355079650879,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",81.90270113945007,"","unknown",88.27869915962219,102.83537554740906,108.62102961540222,"unknown","unknown",114.7045156955719,131.59410953521729,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",137.65142512321472,"unknown","unknown",143.37717628479004
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-123.50590395927429,"unknown",-117.44202327728271,-111.59624481201172,0.0,5.750736236572266,8.172674179077148,15.001883506774902,18.50841760635376,23.999731063842773,27.854212045669556,33.52360439300537,"unknown","unknown",39.76246929168701,41.87807846069336,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",48.42271447181702,"","unknown",54.74297046661377,62.56858468055725,"unknown","unknown",68.9955108165741,76.15112638473511,80.25129914283752,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.67830061912537,"unknown","unknown",93.52898216247559
"56ee475",-87895.22525048256,"unknown",-87888.01970553398,-87882.32843065262,0.0,6.14450216293335,1737.8719651699066,1743.356362104416,1914.6151885986328,1921.5910618305206,2162.2888565063477,"unknown","unknown",2169.1356143951416,2175.1324877738953,2216.486380815506,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2222.336211204529,"","unknown",2227.6892025470734,2298.25661277771,2304.839720726013,"unknown","unknown",2310.9419708251953,2312.4951481819153,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2318.0800890922546,"unknown","unknown",2324.227476835251
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-206383.78060007095,"unknown",-206378.03260612488,-206370.89800047874,0.0,7.135311603546143,12.89228892326355,18.472334384918213,160509.4856159687,160515.37922859192,160540.3433828354,"unknown","unknown",160545.9800889492,160552.8811826706,160556.13560581207,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",160562.99367499352,"","unknown",160569.19053816795,160571.31839346886,160576.9754037857,"unknown","unknown",160582.49557209015,160584.337120533,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",160590.91866230965,"unknown","unknown",160597.4524614811
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
