"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","4_1","5_1"
"518e9b8",-9066.795332670212,"unknown",-9060.788089036942,-9054.12240576744,0.0,6.917454719543457,24.332887411117554,31.126271724700928,33.890141010284424,41.13648509979248,48.09427785873413,"unknown",54.748905658721924,"unknown",60.74932265281677,61.8376042842865,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.53359770774841,"","unknown",73.26427221298218,76.99576258659363,82.30702519416809,"unknown","unknown",87.59750080108643,89.19624876976013,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.75924253463745,"unknown","unknown",101.33341312408447,"",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-7455.948376893997,"unknown",-7450.104571342468,-7443.093221187592,0.0,6.27417516708374,8.35703706741333,15.201444864273071,27.733176231384277,34.20465636253357,35.95308828353882,"unknown",42.04395079612732,"unknown",47.510112047195435,48.69097399711609,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.72775650024414,"","unknown",62.71756315231323,65.40943837165833,"unknown",72.34280800819397,"unknown",78.60965847969055,80.07667422294617,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.77953958511353,"unknown","unknown",92.93070006370544,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-22321.230365991592,"unknown",-22314.5882461071,-22307.477914094925,0.0,5.7949059009552,15.057103633880615,20.61291527748108,26.173856258392334,31.750255584716797,33.323434591293335,39.65760850906372,"unknown","unknown",45.84792375564575,47.59615135192871,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",54.15863561630249,"","unknown",59.446433544158936,62.069212436676025,67.35000109672546,"unknown","unknown",73.03815937042236,76.6233913898468,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.44976544380188,"unknown","unknown",89.27430748939514,"",""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-28790.685844659805,"unknown",-28783.568720817566,-28777.029688835144,0.0,5.45673680305481,6.861629247665405,13.654401302337646,15.707193374633789,21.731576919555664,23.81689167022705,29.404046058654785,"unknown","unknown",35.972344160079956,37.90229105949402,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",43.628735303878784,"","unknown",50.047807693481445,56.30664253234863,62.08112120628357,"unknown","unknown",68.0513322353363,89.21585178375244,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.69738388061523,"unknown","unknown",99.93794465065002,"",""
"ac6f3f6",-1203.5400512218475,"unknown",-1196.0717906951904,-1190.0803134441376,0.0,8.935612201690674,46.3980438709259,53.01114892959595,7244.470506668091,7251.263848781586,7367.433619737625,7373.688186883926,"unknown","unknown",7380.00120472908,7381.799057483673,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",7387.626879930496,"","unknown",7392.972923994064,7394.662128210068,7401.299624681473,"unknown","unknown",7407.219258785248,7410.15482211113,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",7415.784185886383,"unknown","unknown",7422.129515171051,7241.425138473511,""
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-13633.266228199005,"unknown",-13626.646280288696,-13620.459787607193,0.0,6.496410131454468,9.920917510986328,15.40752649307251,85.82796287536621,91.5166687965393,93.19468021392822,"unknown","unknown",99.66450810432434,105.74989151954651,108.07754707336426,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.17673134803772,"","unknown",120.95748782157898,125.305246591568,132.43129754066467,"unknown","unknown",139.31838703155518,140.90009760856628,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",147.07896256446838,"unknown","unknown",153.83049249649048,"",""
"4e53c5c",-5892.555647134781,"unknown",-5886.519322395325,-5879.917190790176,0.0,6.134517192840576,10.45842981338501,16.26980686187744,34.78024888038635,40.56121277809143,46.84611630439758,"unknown",53.724406719207764,"unknown",61.093488454818726,62.8375506401062,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.79922580718994,"","unknown",76.0226411819458,80.11837434768677,86.47758913040161,"unknown","unknown",92.27975511550903,93.84757423400879,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.78124165534973,"unknown","unknown",107.7957649230957,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
