"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","4_1","2_1"
"518e9b8",-37983.33319687843,"unknown",-37976.56737732887,-37970.599474430084,0.0,6.7772345542907715,9.118124723434448,16.22503161430359,69.37474060058594,76.06116652488708,99.23123574256897,"unknown",104.72328567504883,"unknown",110.98009753227234,113.0591733455658,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.23708915710449,"","unknown",125.04547047615051,127.38619089126587,"unknown",132.8949658870697,"unknown",140.255756855011,144.34154748916626,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",149.90832614898682,"unknown","unknown",157.12055611610413,"",""
"b5edd3c",-139316.07709050179,"unknown",-139308.9608256817,-139301.93421506882,0.0,6.088759422302246,10.560805797576904,18.50931453704834,33.48898363113403,39.78090047836304,42.64368987083435,"unknown",49.769293785095215,"unknown",56.25811266899109,58.5696280002594,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.9574921131134,"","unknown",72.06142902374268,75.80571484565735,"unknown",81.66320133209229,"unknown",87.55663108825684,90.02272367477417,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.0724790096283,"unknown","unknown",103.76079416275024,"",""
"374ecf8",-7150.162426710129,"unknown",-7144.260741710663,-7138.720930337906,0.0,7.270742654800415,10.677078008651733,19.12396550178528,41.178632497787476,47.05422401428223,68.34242677688599,"unknown",74.99671626091003,"unknown",81.12752723693848,84.7721266746521,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.71148109436035,"","unknown",97.21021294593811,107.90208697319031,113.64445972442627,"unknown","unknown",120.77164816856384,122.672030210495,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",129.22158002853394,"unknown","unknown",134.9735779762268,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",9.383838415145874,"unknown",38.79968786239624,"unknown",49.29532313346863,"unknown","unknown","unknown","unknown",66.62564277648926,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",86.01906704902649,"unknown","unknown","unknown","unknown",102.23131132125854,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-644.7902646064758,"unknown",-638.5697929859161,-633.0199143886566,0.0,6.527227878570557,11.016587972640991,18.92883610725403,35.29022288322449,42.29066729545593,50.555025577545166,"unknown",56.301971673965454,"unknown",62.84889268875122,578.9971199035645,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",585.8417384624481,"","unknown",592.1505146026611,596.7090904712677,602.3263263702393,"unknown","unknown",608.3448166847229,609.8700630664825,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",615.6493556499481,"unknown","unknown",621.8767447471619,"",""
"2541155",-253085.7883222103,"unknown",-253079.91818261147,-253074.61140298843,0.0,5.898671388626099,8.08509874343872,16.959862232208252,25.948574542999268,33.2116174697876,39.853636026382446,"unknown","unknown",46.69032526016235,52.63408184051514,55.61157488822937,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.80567455291748,"","unknown",68.11517405509949,628.6124997138977,"unknown","unknown",634.6665179729462,641.1300358772278,643.1103360652924,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",648.5793652534485,"unknown","unknown",655.6971673965454,"",""
"ac6f3f6",-164.6426661014557,"unknown",-158.61029314994812,-152.413072347641,0.0,6.53663444519043,12.952912092208862,20.622562646865845,86.32308745384216,92.24860954284668,117.47916984558105,"unknown","unknown",123.72169208526611,131.00971269607544,160.90253615379333,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",167.84718084335327,"","unknown",173.53974056243896,196.6256537437439,"unknown","unknown",203.01119089126587,210.13039875030518,213.38990020751953,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",219.0309133529663,"unknown","unknown",226.30921244621277,"",""
"62447b9",-51691.0044233799,"unknown",-51685.679349422455,-51679.835943460464,0.0,6.447216033935547,145.69918870925903,152.9988079071045,187.87988376617432,194.79260659217834,201.48351502418518,207.57927989959717,"unknown","unknown",213.40120196342468,216.63292741775513,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",223.74280834197998,"","unknown",229.99138188362122,312.85526871681213,320.09664130210876,"unknown","unknown",326.2008454799652,328.7508535385132,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",334.12494015693665,"unknown","unknown",340.1417486667633,"",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",10.39789891242981,"unknown",159.73548984527588,"unknown",169.2835612297058,"unknown","unknown","unknown","unknown",183.09287762641907,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",200.71139764785767,"unknown","unknown","unknown","unknown",214.18402671813965,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
