"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-10488.14076256752,"unknown",-10482.81185245514,-10476.29817891121,0.0,5.964802980422974,10.953974723815918,18.50786852836609,25.27316904067993,31.039997339248657,57.15042448043823,"unknown","unknown",63.205759048461914,68.51998233795166,70.87891173362732,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.73165130615234,"","unknown",84.54385137557983,87.31874251365662,"unknown",93.38856148719788,"unknown",99.45195651054382,100.83239817619324,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.48559665679932,"unknown","unknown",114.49222111701965,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-24336.81400680542,"unknown",-24331.405218839645,-24325.005855083466,0.0,6.146670579910278,9.384041547775269,17.444119691848755,19.913074493408203,27.083739280700684,52.78567099571228,"unknown",58.84709668159485,"unknown",64.64827084541321,67.69226455688477,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.26549506187439,"","unknown",81.41093039512634,87.19615578651428,"unknown",92.84492588043213,"unknown",99.59921407699585,284.39607667922974,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",291.3388125896454,"unknown","unknown",297.7292878627777,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-24284.45608139038,"unknown",-24278.36223602295,-24271.14910531044,0.0,7.299035549163818,10.954659223556519,19.808133602142334,265.98972630500793,271.7528614997864,284.59229922294617,"unknown",291.4945397377014,"unknown",298.73136925697327,551.2887766361237,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",557.4153037071228,"","unknown",564.2022931575775,894.6079783439636,"unknown",901.1442561149597,"unknown",907.8527925014496,910.5939166545868,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",917.620786190033,"unknown","unknown",923.1154673099518,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-14588.245082616806,"unknown",-14581.95311331749,-14575.348278999329,0.0,5.458965539932251,8.336477041244507,17.095576524734497,33.89418125152588,40.99108004570007,45.12734937667847,"unknown","unknown",52.031187772750854,57.34690284729004,12041.49148440361,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",12048.404198646545,"","unknown",12054.324234962463,140194.06822919846,"unknown","unknown",140201.5201101303,140207.27330446243,140222.31382203102,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",140229.3136126995,"unknown","unknown",140236.5237841606,""
"ac6f3f6",-8946.765024662018,"unknown",-8939.446605920792,-8933.840607643127,0.0,5.90237283706665,8.186530590057373,16.75042700767517,399.35914754867554,406.37907433509827,421.47450160980225,427.68306136131287,"unknown","unknown",434.6368205547333,436.3043441772461,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",443.1711642742157,"","unknown",450.37886214256287,459.99376463890076,467.318585395813,"unknown","unknown",472.73431062698364,475.5759389400482,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",481.975554227829,"unknown","unknown",488.1120398044586,""
"62447b9",-116709.0702779293,"unknown",-116702.97326159477,-116697.47542071342,0.0,6.874447822570801,12.44048023223877,19.53766703605652,42.442248582839966,49.73746919631958,53.67097473144531,59.15292930603027,"unknown","unknown",66.04705905914307,73.507248878479,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.93782544136047,"","unknown",84.28934979438782,91.37635087966919,98.19671320915222,"unknown","unknown",104.75077223777771,107.62417221069336,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",113.78663802146912,"unknown","unknown",119.5184314250946,""
"20f3e2e",-20875.288043260574,"unknown",-20869.871883630753,-20864.3992664814,0.0,6.5657548904418945,16.3875789642334,23.705358505249023,62.50090026855469,69.42013621330261,83.37941455841064,"unknown","unknown",90.26265382766724,95.68157744407654,97.74700498580933,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.87816166877747,"","unknown",110.2140781879425,114.27343106269836,"unknown",120.3400673866272,"unknown",125.97013688087463,128.0275580883026,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",134.88609957695007,"unknown","unknown",141.33504486083984,""
