"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-4575.54348731041,"unknown",-4568.4597861766815,-4562.178093194962,0.0,7.158393383026123,13.966230869293213,19.73608636856079,22.248727560043335,29.02706742286682,51.750343322753906,"unknown","unknown",58.57460641860962,64.19355130195618,67.9322280883789,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.33107852935791,"","unknown",80.43035697937012,94.41805672645569,100.82101798057556,"unknown","unknown",107.82049036026001,111.53564167022705,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",117.58467435836792,"unknown","unknown",123.66638994216919
"b5edd3c",-19523.418080091476,"unknown",-19517.8409075737,-19512.357711791992,0.0,6.109351873397827,9.009225606918335,15.013996839523315,23.986215829849243,31.256357431411743,33.20577359199524,38.654500246047974,"unknown","unknown",45.570738077163696,47.985973596572876,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.27650833129883,"","unknown",59.774657011032104,64.4337546825409,70.78442454338074,"unknown","unknown",76.76430702209473,79.24280333518982,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",85.5622627735138,"unknown","unknown",92.5605046749115
"374ecf8",-332.5629460811615,"unknown",-325.58492255210876,-319.53693199157715,0.0,6.376011848449707,62.660561323165894,68.89727258682251,103.85622453689575,110.29594779014587,114.00316286087036,119.85556983947754,"unknown","unknown",126.54968166351318,189.4959638118744,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",196.332359790802,"","unknown",202.87090754508972,6061.3149061203,6067.330365419388,"unknown","unknown",6072.881645679474,11448.577766418457,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",11454.223509788513,"unknown","unknown",11460.152807235718
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",10.051251649856567,"unknown",23.426337003707886,"unknown",33.31230139732361,"unknown","unknown","unknown","unknown",76.43518567085266,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",103.35276818275452,"unknown","unknown","unknown","unknown",122.09136700630188,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"8d2da97",-17457.223466157913,"unknown",-17451.3701171875,-17445.481583356857,0.0,7.711834192276001,12.438546895980835,18.906420946121216,29.236517190933228,34.5537211894989,41.88961482048035,"unknown","unknown",48.41902470588684,54.71969723701477,56.61660838127136,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.61369180679321,"","unknown",68.24045729637146,100.41811442375183,107.03002858161926,"unknown","unknown",113.19637608528137,114.92984890937805,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",121.17143058776855,"unknown","unknown",128.11182069778442
"2541155",-5571.918574810028,"unknown",-5566.016476392746,-5560.204498291016,0.0,7.044416666030884,12.864250898361206,19.782209396362305,31.856470584869385,38.904014587402344,43.80009722709656,"unknown",49.63312482833862,"unknown",56.43594312667847,58.50616145133972,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.27490830421448,"","unknown",71.48008012771606,379.07068514823914,385.9926564693451,"unknown","unknown",391.32757019996643,137812.59011650085,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",137818.8903813362,"unknown","unknown",137826.09241199493
"ac6f3f6",-18.203113794326782,"unknown",-11.268330097198486,-4.224995851516724,0.0,5.991459608078003,11.656974077224731,17.040071725845337,25.784805059432983,31.7486891746521,47.89022445678711,"unknown",54.38854694366455,"unknown",61.106789112091064,63.64324617385864,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.54011631011963,"","unknown",76.14020776748657,82.88508415222168,88.85417604446411,"unknown","unknown",95.95962405204773,131.46233487129211,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",138.20348119735718,"unknown","unknown",143.5004997253418
"62447b9",-115478.2292664051,"unknown",-115471.34525632858,-115464.35375905037,0.0,6.260553598403931,11.833338022232056,18.652226209640503,35.293307065963745,41.26122975349426,46.89750385284424,54.083216190338135,"unknown","unknown",59.58903980255127,62.83939838409424,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.26635408401489,"","unknown",75.63350987434387,80.07643699645996,85.49638843536377,"unknown","unknown",91.45212912559509,113.44671034812927,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",120.3896210193634,"unknown","unknown",125.84840393066406
"20f3e2e",-29681.353803634644,"unknown",-29674.630891561508,-29668.99170231819,0.0,5.886270999908447,17.69866394996643,23.371002912521362,61.22274446487427,67.95807194709778,90.58326697349548,"unknown","unknown",97.6957266330719,103.30694699287415,106.66739821434021,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.26360774040222,"","unknown",118.24183320999146,122.16801476478577,129.04826617240906,"unknown","unknown",134.41390562057495,136.22496891021729,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",143.3553445339203,"unknown","unknown",149.46755981445312
