"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-441772.5505988598,"unknown",-441767.08501172066,-441761.79981303215,0.0,6.242575407028198,9.33500361442566,16.447386264801025,34.725751638412476,40.168460845947266,61.85706186294556,"unknown","unknown",67.42958736419678,73.78853940963745,76.21710586547852,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.16761660575867,"","unknown",88.96791815757751,94.95534586906433,101.79053568840027,"unknown","unknown",108.3516035079956,111.46599411964417,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.89910984039307,"unknown","unknown",124.33427333831787,""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",11.924441814422607,"unknown",34.050100326538086,"unknown",44.03232169151306,"unknown","unknown","unknown","unknown",58.08008050918579,"unknown",71.32761478424072,"unknown","unknown","unknown","unknown",86.48772549629211,"unknown","unknown","unknown","unknown","unknown","","unknown","unknown",106.12089133262634,"unknown","unknown","unknown","unknown",120.80634117126465,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"374ecf8","unknown","unknown","unknown","unknown",0.0,"unknown",10.65559983253479,"unknown",42.67702054977417,"unknown",53.06961989402771,"unknown","unknown","unknown","unknown",69.15544176101685,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",99.38795590400696,"unknown","unknown","unknown","unknown",116.28529095649719,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"89f120b",-1547709.6686372757,"unknown",-1547703.337020874,-1547695.7861750126,0.0,7.147058725357056,10.227910995483398,17.341591835021973,41.400298833847046,47.06523776054382,54.3708598613739,"unknown",60.19206500053406,"unknown",65.66994047164917,1019.7312324047089,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1026.9313743114471,"","unknown",1033.7674021720886,174500.88388681412,174507.5512368679,"unknown","unknown",174514.50082993507,6198059.245244026,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",6198066.40948844,"unknown","unknown",6198073.521665812,-948.0891990661621
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",10.5802640914917,"unknown",49.71545052528381,"unknown",64.29402804374695,"unknown","unknown","unknown","unknown",80.50937008857727,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",98.54190015792847,"unknown","unknown","unknown","unknown",113.82048630714417,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-1751.9103395938873,"unknown",-1745.4114377498627,-1738.1321744918823,0.0,5.857976675033569,9.970112085342407,15.469363927841187,30.887125968933105,37.15046715736389,42.4491240978241,"unknown","unknown",49.361042976379395,56.35352420806885,58.80589437484741,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.44160771369934,"","unknown",71.16132235527039,82.62720227241516,"unknown",88.93254375457764,"unknown",94.74930047988892,97.03483057022095,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.07959604263306,"unknown","unknown",110.03831720352173,""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",51054.72004675865,"unknown",51083.28958082199,"unknown",51107.7553153038,"unknown","unknown","unknown","unknown",51121.18780088425,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",51140.662447452545,"unknown","unknown","unknown","unknown",51156.137580156326,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",10.02281141281128,"unknown",44.86792874336243,"unknown",57.66304326057434,"unknown","unknown","unknown","unknown",74.88254523277283,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",97.92482995986938,"unknown","unknown","unknown","unknown",114.28037071228027,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",9.35708475112915,"unknown",43.04298949241638,"unknown",58.83992838859558,"unknown","unknown","unknown","unknown",72.49393486976624,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",95.5496563911438,"unknown","unknown","unknown","unknown",110.57770705223083,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",22.340007543563843,"unknown",95.39067912101746,"unknown",112.63829469680786,"unknown","unknown","unknown","unknown",124.97677063941956,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",146.20439648628235,"unknown","unknown","unknown","unknown",162.12329411506653,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
