"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-6838.737005472183,"unknown",-6832.398321866989,-6826.192435503006,0.0,5.404961824417114,149.24455904960632,157.57254242897034,185.16562366485596,191.3036983013153,197.904390335083,"unknown","unknown",204.73609972000122,211.32433128356934,221.88911390304565,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",228.14180397987366,"","unknown",234.54592752456665,247.1276092529297,"unknown",254.0815999507904,"unknown",260.88362646102905,262.22427201271057,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",267.5179753303528,"unknown","unknown",273.50011014938354
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-3584.0545811653137,"unknown",-3578.165855407715,-3572.8896379470825,0.0,5.809717655181885,14.600394487380981,22.501374006271362,34.48463773727417,40.39350700378418,42.456804037094116,49.25875496864319,"unknown","unknown",56.31923031806946,58.24572134017944,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.35060095787048,"","unknown",71.54766893386841,74.30285096168518,81.04241728782654,"unknown","unknown",86.25180721282959,87.67402005195618,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.06723618507385,"unknown","unknown",100.72504663467407
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-70487.13362169266,"unknown",-70480.44190883636,-70473.41894841194,0.0,5.956258773803711,44.48480987548828,51.84093189239502,108.43290400505066,115.08673572540283,117.94929885864258,"unknown","unknown",123.9289162158966,130.88486695289612,163.47524452209473,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",169.63159036636353,"","unknown",176.15914702415466,279.71481704711914,"unknown","unknown",286.00987815856934,292.2303309440613,346.8826904296875,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",353.5379843711853,"unknown","unknown",360.4841320514679
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-4200.446464061737,"unknown",-4194.858543872833,-4189.072021245956,0.0,6.492299795150757,10.426351308822632,17.27538752555847,24.13676905632019,29.64532208442688,49.899203300476074,56.59473776817322,"unknown","unknown",62.01711082458496,64.17890739440918,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.80232381820679,"","unknown",76.93396592140198,78.87032580375671,84.76340436935425,"unknown","unknown",90.41967177391052,93.40639781951904,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.5048418045044,"unknown","unknown",105.48110461235046
"ac6f3f6",-51.500832080841064,"unknown",-44.552006483078,-39.02463436126709,0.0,6.140896320343018,30.528325080871582,42.57922697067261,73.76532220840454,80.90361189842224,94.63638973236084,"unknown",101.30116057395935,"unknown",107.87011122703552,110.99420619010925,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.47659635543823,"","unknown",122.84103202819824,129.22044682502747,"unknown",135.8407084941864,"unknown",141.79209327697754,144.40144681930542,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",149.94245147705078,"unknown","unknown",155.7782256603241
"62447b9",-283240.3159375191,"unknown",-283233.2322771549,-283226.16347646713,0.0,6.885969638824463,10.142712116241455,18.646415948867798,37.909342527389526,44.147947549819946,56.10412549972534,"unknown","unknown",62.75003671646118,69.36257719993591,71.95441007614136,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.49612641334534,"","unknown",84.41823673248291,98.22958898544312,"unknown","unknown",104.72529816627502,110.82363796234131,114.04337453842163,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",119.56588888168335,"unknown","unknown",125.77652311325073
"20f3e2e",-22783.576990127563,"unknown",-22777.61072564125,-22770.585008621216,0.0,6.971735000610352,10.473543643951416,19.449053049087524,73.16424632072449,79.34028553962708,82.79099106788635,"unknown","unknown",88.9451892375946,95.53861355781555,98.9451334476471,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",106.11630201339722,"","unknown",111.71171808242798,133.40462970733643,"unknown",139.94637179374695,"unknown",145.82918071746826,148.65793371200562,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",154.31410241127014,"unknown","unknown",159.9128692150116
"4e53c5c",-55.17270493507385,"unknown",-49.37630248069763,-43.25570225715637,0.0,5.661832332611084,14.106448888778687,22.174778699874878,50.99663233757019,57.23538064956665,61.15683650970459,67.89098644256592,"unknown","unknown",73.30858111381531,75.42906308174133,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.03968715667725,"","unknown",87.75250434875488,92.49675607681274,97.90397429466248,"unknown","unknown",104.02243494987488,106.91517162322998,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",113.05130863189697,"unknown","unknown",119.3458399772644
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-44012.7632727623,"unknown",-44005.66126155853,-43999.895768880844,0.0,6.993648290634155,28.325686931610107,35.91713237762451,106.48007082939148,112.13827347755432,159.50074911117554,"unknown",164.97119688987732,"unknown",171.16935348510742,174.27989649772644,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",180.2768805027008,"","unknown",186.40741539001465,196.66803574562073,"unknown",202.29272603988647,"unknown",207.9019227027893,211.51573085784912,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",217.92796564102173,"unknown","unknown",224.92609190940857
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
