"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-80063.94284319878,"unknown",-80057.24772238731,-80051.80930304527,0.0,6.079638719558716,8.351080656051636,14.913443565368652,16.582744359970093,22.336707830429077,34.94062066078186,"unknown",41.842429399490356,"unknown",47.22719478607178,57.75878024101257,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.82246160507202,"","unknown",71.0213143825531,76.32304239273071,83.4577283859253,"unknown","unknown",90.4195921421051,94.59749794006348,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.26211142539978,"unknown","unknown",106.79607486724854
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-57814.476928949356,"unknown",-57808.0721950531,-57802.173602342606,0.0,6.378014802932739,8.082627534866333,14.807806015014648,25.28044557571411,32.4346878528595,34.11527132987976,40.1313796043396,"unknown","unknown",47.33435249328613,49.019535064697266,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.371981620788574,"","unknown",61.93824338912964,64.9892988204956,"unknown",70.36435627937317,"unknown",76.01392102241516,77.82640433311462,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.90635752677917,"unknown","unknown",90.30644917488098
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-69420.52802801132,"unknown",-69414.67453670502,-69407.71545696259,0.0,6.707773208618164,9.383635997772217,16.18427348136902,27.597342252731323,34.02906036376953,51.44854164123535,57.823779582977295,"unknown","unknown",63.71380090713501,65.81715989112854,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.68477964401245,"","unknown",78.95385456085205,110.7723741531372,117.7961630821228,"unknown","unknown",124.63650369644165,131.12698698043823,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",137.16468024253845,"unknown","unknown",144.06640434265137
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-537.0359737873077,"unknown",-530.9116327762604,-524.469185590744,0.0,7.248680114746094,8.523611783981323,14.117597579956055,15.566914081573486,21.938358545303345,38.40655446052551,44.307457447052,"unknown","unknown",51.36023807525635,53.82013010978699,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.70570707321167,"","unknown",65.4128348827362,68.55401468276978,74.93825888633728,"unknown","unknown",80.40664386749268,89.36354994773865,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.63980770111084,"unknown","unknown",103.61943173408508
"ac6f3f6",-3351.266912460327,"unknown",-3344.0185012817383,-3337.6630182266235,0.0,5.949985980987549,15.392539262771606,22.10548448562622,37.845670223236084,44.418946981430054,46.90831923484802,54.0298867225647,"unknown","unknown",60.03182935714722,65.50111174583435,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.40802335739136,"","unknown",77.69803929328918,79.79773664474487,86.55403399467468,"unknown","unknown",91.93106508255005,132.8639943599701,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",138.13932847976685,"unknown","unknown",145.17583298683167
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-4449.205565690994,"unknown",-4441.350958585739,-4434.4514372348785,0.0,7.0419769287109375,9.870284795761108,15.449842929840088,35.10461783409119,42.31638789176941,44.54297375679016,"unknown","unknown",50.44282126426697,57.51872658729553,61.59232234954834,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.73767948150635,"","unknown",75.96592712402344,81.38233852386475,87.83388233184814,"unknown","unknown",93.70003485679626,95.23846554756165,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.69849944114685,"unknown","unknown",108.45000886917114
"4e53c5c",-8620.399861097336,"unknown",-8615.095234394073,-8609.485201358795,0.0,7.210224628448486,13.534197568893433,19.65092921257019,44.96461796760559,50.86081027984619,53.37429404258728,60.597167015075684,"unknown","unknown",67.61291790008545,70.44557428359985,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.07234740257263,"","unknown",84.14280581474304,87.78673577308655,93.39882850646973,"unknown","unknown",98.8754620552063,102.06800031661987,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.56369185447693,"unknown","unknown",114.70735025405884
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-50802.67031908035,"unknown",-50795.02786278725,-50788.828353881836,0.0,5.828240633010864,2275.5107963085175,2282.3308432102203,2327.306559562683,2333.810406446457,2342.001835823059,"unknown",2347.485025405884,"unknown",2354.2906591892242,2358.279148578644,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2363.696151971817,"","unknown",2370.8833475112915,2374.9319880008698,"unknown",2381.5799446105957,"unknown",2387.3437507152557,2390.8031482696533,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2397.3983178138733,"unknown","unknown",2403.8505721092224
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-5677.332590341568,"unknown",-5670.804630279541,-5664.025104045868,0.0,7.290001392364502,10.344707250595093,17.423043489456177,36.13923001289368,42.557084798812866,48.91246438026428,"unknown","unknown",55.477705001831055,62.7262749671936,68.24945998191833,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.52089834213257,"","unknown",79.7605528831482,83.72301197052002,"unknown","unknown",89.21209645271301,95.06747627258301,97.29891347885132,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.14910769462585,"unknown","unknown",110.7793836593628
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-474.4821562767029,"unknown",-468.1223945617676,-461.73265528678894,0.0,7.289310455322266,11.922592163085938,18.290571212768555,19.810526847839355,25.163299798965454,44.55399751663208,"unknown","unknown",51.70303153991699,57.87909770011902,72.98865675926208,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.86996722221375,"","unknown",85.94137954711914,90.59462118148804,"unknown",96.83218717575073,"unknown",103.24074816703796,112.69375348091125,118.59608864784241,122.29280042648315,"unknown","unknown",128.95481419563293,134.82760167121887,136.86781311035156,"unknown","unknown","unknown","unknown","unknown",142.31513118743896,"unknown",148.34696912765503
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-731.2896757125854,"unknown",-724.7894787788391,-717.890561580658,0.0,6.354581594467163,7.675104856491089,13.056683778762817,22.12315058708191,27.76734209060669,32.21798300743103,"unknown",39.04024291038513,"unknown",45.438634395599365,47.55519986152649,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.36115384101868,"","unknown",58.861889600753784,67.90968012809753,"unknown","unknown",73.80152416229248,79.81625032424927,82.58533358573914,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.32515239715576,"unknown","unknown",94.61221313476562
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-1829.8638768196106,"unknown",-1824.2443754673004,-1817.074741601944,0.0,6.637249946594238,10.688859701156616,17.683538675308228,45.01283025741577,51.87570118904114,57.73359227180481,"unknown",62.993314027786255,"unknown",69.2961995601654,71.53572130203247,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.24112486839294,"","unknown",83.40473890304565,92.51339149475098,"unknown",98.2694947719574,"unknown",104.31069231033325,114.44540286064148,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.66592597961426,"unknown","unknown",126.48083925247192
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-10581.985669851303,"unknown",-10574.818190097809,-10569.291308403015,0.0,7.161719560623169,755.1525707244873,762.3129727840424,1528.0723702907562,1535.2842962741852,1542.2945621013641,"unknown",1547.9872961044312,"unknown",1554.8114881515503,1558.973926782608,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1565.1266033649445,"","unknown",1571.9468224048615,1575.4347035884857,1582.7864201068878,"unknown","unknown",1588.2184371948242,1590.2570717334747,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1597.1490716934204,"unknown","unknown",1604.0601398944855
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a35b75",-88.81070280075073,"unknown",-82.71248960494995,-77.06160402297974,0.0,6.0601301193237305,8.373750925064087,15.195254802703857,16.876699447631836,23.737666130065918,37.57987356185913,"unknown",44.26142597198486,"unknown",50.203368186950684,52.328731298446655,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.397441148757935,"","unknown",66.70095467567444,68.99746966362,"unknown",74.42993664741516,"unknown",80.95745539665222,82.84753179550171,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.12017369270325,"unknown","unknown",95.67920899391174
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
