"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_1","2_1"
"518e9b8",-8770.742156267166,"unknown",-8764.873931407928,-8758.51386475563,0.0,5.575784921646118,7.034661531448364,12.5373055934906,14.822674989700317,21.497599840164185,45.43638038635254,"unknown",51.60240983963013,"unknown",57.89741396903992,64.50922274589539,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.90869665145874,"","unknown",77.76501560211182,85.78347873687744,91.92678022384644,"unknown","unknown",98.97853183746338,100.49125742912292,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.47334408760071,"unknown","unknown",112.83433103561401,"",""
"b5edd3c",-197312.6655333042,"unknown",-197307.11499261856,-197301.586881876,0.0,5.829057455062866,8.755745887756348,14.925766706466675,24.34605574607849,29.64265489578247,31.411824464797974,38.26213502883911,"unknown","unknown",43.64710450172424,45.27626180648804,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",51.45169472694397,"","unknown",57.85333251953125,59.88939070701599,65.65164804458618,"unknown","unknown",71.12545800209045,73.43709325790405,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.02467703819275,"unknown","unknown",85.81379699707031,"",""
"374ecf8",-2839.110386133194,"unknown",-2832.7417435646057,-2825.9568679332733,0.0,6.684143543243408,10.549634218215942,17.042776823043823,26.83494758605957,33.9801070690155,36.014591693878174,41.40178966522217,"unknown","unknown",47.73385715484619,49.51995253562927,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",54.959470987319946,"","unknown",61.63692903518677,64.94386649131775,72.20183992385864,"unknown","unknown",78.76118969917297,80.64384722709656,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.98755598068237,"unknown","unknown",93.77273392677307,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",18.695330142974854,"unknown",35.486008405685425,"unknown",44.27081561088562,"unknown","unknown","unknown","unknown",65.368417263031,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",158.87759590148926,"unknown","unknown","unknown","unknown",174.90988397598267,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-1818.574212551117,"unknown",-1811.2906022071838,-1805.0055363178253,0.0,6.217250347137451,9.078537464141846,14.757664203643799,23.19005250930786,28.925724029541016,30.70427441596985,37.776516914367676,"unknown","unknown",44.26885914802551,45.752665758132935,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",52.241621255874634,"","unknown",58.45655560493469,65.02673172950745,73.18860197067261,"unknown","unknown",78.54564356803894,80.90730094909668,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.24754452705383,"unknown","unknown",92.46992492675781,"",""
"2541155",-97885.64515662193,"unknown",-97879.61628270149,-97874.10339212418,0.0,6.163421630859375,8.268007040023804,15.254590511322021,26.95027446746826,33.170676946640015,34.709129333496094,"unknown",40.73903298377991,"unknown",46.26834416389465,48.04068565368652,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.270376682281494,"","unknown",59.48946785926819,2508.336686372757,2513.960924386978,"unknown","unknown",2519.466708421707,25878.0551776886,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",25885.56341934204,"unknown","unknown",25891.417110919952,"",""
"ac6f3f6",-15.359072208404541,"unknown",-9.355218648910522,-2.3823351860046387,0.0,7.299651861190796,9.992326259613037,15.796916723251343,27.652787446975708,34.97486352920532,41.19108200073242,47.145875453948975,"unknown","unknown",53.02968883514404,58.46694278717041,65.01015067100525,66.64216375350952,"unknown",72.70206356048584,"unknown",79.53244161605835,81.99717426300049,"unknown","unknown","unknown","unknown","unknown",88.67944431304932,"unknown",95.65835285186768,103.00830507278442,110.12983655929565,"unknown","unknown",117.1474027633667,118.65374088287354,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",125.50970578193665,"unknown","unknown",130.81830215454102,"",""
"62447b9",-7300.5692093372345,"unknown",-7293.761233091354,-7286.59673333168,0.0,6.416290760040283,9.457895994186401,16.043089866638184,39.900776624679565,47.04298686981201,53.01870799064636,"unknown","unknown",59.818862438201904,65.56600260734558,67.52326393127441,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.31359195709229,"","unknown",80.02514791488647,93.91533851623535,"unknown","unknown",99.63357710838318,105.4402117729187,108.42834687232971,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.78297519683838,"unknown","unknown",121.58611822128296,"",""
"20f3e2e",-475.6069700717926,"unknown",-469.1004252433777,-462.57315373420715,0.0,6.973918199539185,11.553852796554565,18.106106758117676,54.587390422821045,61.874701738357544,85.64133977890015,"unknown","unknown",91.77375864982605,97.48207902908325,99.38857865333557,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.30274415016174,"","unknown",112.51117467880249,123.89701581001282,"unknown","unknown",131.4300355911255,136.83989071846008,142.24457216262817,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",148.8489203453064,"unknown","unknown",155.37076783180237,"",""
