"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-9533.822085857391,-9526.885172843933,-9519.864310026169,-9512.63470196724,0.0,5.9773736000061035,21.565589427947998,29.63365936279297,103951.43780684471,103956.9772746563,103969.55849647522,"unknown",103976.36713814735,"unknown",103982.3123869896,103991.67784237862,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",103998.13762354851,"unknown",104005.0325744152,104036.54327440262,"unknown",104043.0085721016,"unknown",104048.60690808296,104050.80035352707,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104057.61683869362,"unknown","unknown",104063.83964562416
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-3803.335938692093,-3796.227778673172,-3790.3536171913147,-3783.840838909149,0.0,6.227902412414551,8.670007228851318,16.83476495742798,31.87286877632141,38.89152002334595,49.678410053253174,"unknown",55.344932317733765,"unknown",61.65524363517761,62.99202823638916,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.07692837715149,"unknown",75.4870126247406,77.2826292514801,"unknown",83.40967059135437,"unknown",89.32543230056763,91.72853684425354,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.7422571182251,"unknown","unknown",104.2264039516449
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-18920.94457745552,-18913.670187950134,-18908.153562307358,-18902.243346214294,0.0,5.855812072753906,7.706869840621948,15.78813123703003,28.323179244995117,35.35439109802246,49.11043357849121,"unknown",56.375572681427,"unknown",62.62595295906067,83.79673075675964,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.51823830604553,"unknown",96.04922699928284,105.78610944747925,"unknown","unknown",111.68808722496033,117.79635047912598,119.40262842178345,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",125.6016685962677,"unknown","unknown",131.86841702461243
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-290254.28229379654,-290247.33108592033,-290241.69032239914,-290235.96375107765,0.0,6.5685875415802,8.852643013000488,17.855234384536743,19.682672262191772,26.733545780181885,38.434552907943726,44.863882303237915,"unknown","unknown",51.564345836639404,53.62251567840576,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.06775403022766,"unknown",65.81445813179016,69.68348336219788,76.18328762054443,"unknown","unknown",82.19952988624573,83.91859412193298,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.21329092979431,"unknown","unknown",96.45261311531067
"ac6f3f6",-4149.491570234299,-4143.5648312568665,-4137.704550266266,-4131.485279798508,0.0,5.876775741577148,9.886826276779175,17.13101363182068,36.25438737869263,41.938257455825806,45.38040208816528,"unknown","unknown",52.637109994888306,58.55138802528381,61.395592212677,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.26104927062988,"unknown",75.5286169052124,84.9659035205841,91.69888401031494,"unknown","unknown",98.93754363059998,100.83271479606628,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.64582109451294,"unknown","unknown",114.7387022972107
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-9145.425552845001,-9138.76391363144,-9131.305268764496,-9125.542834758759,0.0,6.53587794303894,10.567228078842163,17.478195667266846,41.57833242416382,47.76051640510559,50.93013048171997,"unknown","unknown",56.26373529434204,63.38469648361206,65.06923174858093,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.5302414894104,"unknown",77.2977921962738,80.39442181587219,"unknown","unknown",86.2538230419159,91.55236625671387,94.41584324836731,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.19464492797852,"unknown","unknown",107.46424961090088
"4e53c5c",-8154.452982902527,-8147.91379070282,-8141.492469072342,-8135.348975658417,0.0,7.186378240585327,11.593028545379639,18.657800674438477,40.347153663635254,45.96489143371582,49.274598121643066,"unknown",55.22156095504761,"unknown",60.72226691246033,63.109684228897095,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.32908535003662,"unknown",75.69756197929382,96.7310004234314,"unknown",102.58042621612549,"unknown",109.7849817276001,111.19071435928345,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.68027973175049,"unknown","unknown",124.36158227920532
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
