"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-268.61674785614014,-262.0803475379944,-255.19263768196106,-249.58099913597107,0.0,7.2553746700286865,9.225149154663086,14.644567489624023,25.34752058982849,32.188350200653076,34.54287767410278,40.3974986076355,"unknown","unknown",46.40022277832031,48.029353618621826,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",53.57781910896301,"unknown",59.058764696121216,60.7479681968689,67.82762789726257,"unknown","unknown",74.00091743469238,76.40326762199402,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",82.71564817428589,"unknown","unknown",89.33805203437805,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-2488.55055975914,-2482.541771888733,-2476.1663031578064,-2470.7524654865265,0.0,5.898433446884155,7.710607051849365,14.997013330459595,28.078275442123413,34.271799087524414,36.04135346412659,43.34262561798096,"unknown","unknown",50.40698838233948,54.73461103439331,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.268871784210205,"unknown",65.55493140220642,72.90083932876587,"unknown",78.63702630996704,"unknown",85.03263187408447,87.25167417526245,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.55882525444031,"unknown","unknown",98.73994946479797,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-3023.0047554969788,-3016.3157954216003,-3009.8085522651672,-3003.8998577594757,0.0,6.763654470443726,10.040725469589233,17.051992177963257,25.678523063659668,32.437702894210815,37.962252616882324,"unknown","unknown",44.31116533279419,50.461836099624634,54.072014570236206,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.13674712181091,"unknown",66.87819623947144,69.12602138519287,75.20238661766052,"unknown","unknown",82.36155200004578,85.4973611831665,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.27504420280457,"unknown","unknown",99.17740941047668,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-65976.8983578682,-65969.68409705162,-65963.41409826279,-65957.81794834137,0.0,7.2337799072265625,8.74256157875061,14.244760990142822,23.40560555458069,28.89987015724182,30.799203872680664,37.460065603256226,"unknown","unknown",44.04529023170471,45.55270576477051,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",51.87445855140686,"unknown",58.744890451431274,60.75057816505432,66.49824595451355,"unknown","unknown",72.93776273727417,74.28050494194031,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.10396480560303,"unknown","unknown",87.31251502037048,""
"ac6f3f6",-6367.958337068558,-6360.580016613007,-6355.211684465408,-6348.515822172165,0.0,5.874435186386108,10.057575225830078,15.610611915588379,36.47935080528259,43.098928689956665,45.23098683357239,50.613510847091675,"unknown","unknown",56.36567139625549,58.61433434486389,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",65.13506627082825,"unknown",71.81018304824829,78.91428136825562,85.14116764068604,"unknown","unknown",92.36330151557922,95.17812633514404,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",100.69931268692017,"unknown","unknown",106.49577903747559,""
"62447b9",-6199.938958644867,-6193.038242816925,-6186.057467222214,-6180.25161075592,0.0,6.319157600402832,9.195542335510254,16.430260181427002,30.155488967895508,36.95601296424866,41.49349927902222,"unknown","unknown",46.908952951431274,53.61243224143982,56.06337237358093,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.41641426086426,"unknown",68.57738137245178,74.43857860565186,81.74544882774353,"unknown","unknown",88.61534810066223,90.8757917881012,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",96.91418027877808,"unknown","unknown",103.41874766349792,""
"20f3e2e",-16010.857561349869,-16003.949877262115,-15998.54184794426,-15992.395448446274,0.0,5.839241027832031,11.10804033279419,18.166908264160156,58.30904960632324,63.860491037368774,67.1710114479065,"unknown",73.17064785957336,"unknown",79.14045143127441,80.69757914543152,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",87.55212330818176,"unknown",93.95648884773254,102.71196603775024,108.07446551322937,"unknown","unknown",114.26229476928711,119.30078506469727,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",126.4593608379364,"unknown","unknown",131.75159168243408,""
"4e53c5c",-119.40774440765381,-112.52643132209778,-105.48462247848511,-99.35817790031433,0.0,7.110909700393677,12.231103897094727,18.17636203765869,34.236133337020874,41.597734451293945,44.09944033622742,"unknown",50.38318157196045,"unknown",55.78114032745361,57.56627321243286,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.244256019592285,"unknown",69.61885261535645,75.49918246269226,82.25470638275146,"unknown","unknown",88.31142258644104,90.90667843818665,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.2113184928894,"unknown","unknown",104.7694616317749,""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-6776.034331083298,-6768.521217823029,-6761.989221334457,-6755.986084222794,0.0,6.203601121902466,8.327833414077759,13.829491138458252,29.111583948135376,34.730488300323486,47.199304819107056,"unknown","unknown",53.60465407371521,59.23813724517822,63.97711205482483,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.85869264602661,"unknown",76.27407360076904,80.14646530151367,86.68900322914124,"unknown","unknown",93.1232042312622,94.62437582015991,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",100.91719841957092,"unknown","unknown",106.52176570892334,""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-1082.8298344612122,-1076.8519344329834,-1070.3035066127777,-1063.689813375473,0.0,5.847153663635254,10.136929750442505,16.53225827217102,53.6248517036438,59.304620027542114,69.54457831382751,"unknown","unknown",75.3543815612793,81.75183939933777,83.69207239151001,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.1465072631836,"unknown",95.7150387763977,99.76424789428711,105.58337306976318,"unknown","unknown",112.37350583076477,114.7233190536499,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",120.61017107963562,"unknown","unknown",125.86319041252136,""
"ea8c0d6",-2203884.947624922,-2203878.103741646,-2203872.514539242,-2203867.178262949,0.0,5.970332622528076,8.480892181396484,15.15513277053833,26.14816641807556,32.15262794494629,35.69587540626526,"unknown","unknown",42.6131591796875,48.74598550796509,51.02784490585327,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",57.88249969482422,"unknown",64.57617449760437,76.30097103118896,82.6140775680542,"unknown","unknown",89.59099268913269,91.45491170883179,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.27135753631592,"unknown","unknown",104.77413129806519,-1143795.6880319118
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-1285.4872653484344,-1279.379299402237,-1273.177585363388,-1266.4843974113464,0.0,5.9764769077301025,18.556913137435913,25.83378767967224,72.58095908164978,78.93597626686096,82.2505533695221,87.5368914604187,"unknown","unknown",93.04042387008667,107.99873375892639,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",115.21290946006775,"unknown",122.3203706741333,127.15990853309631,133.08661127090454,"unknown","unknown",138.51385021209717,141.06383633613586,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",146.87769556045532,"unknown","unknown",153.30156183242798,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
