"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","4_1"
"518e9b8",-19387.30234646797,-19380.947015285492,-19375.01243543625,-19367.926861524582,0.0,7.3423168659210205,18.770840883255005,25.841313362121582,41.31697607040405,48.41897439956665,50.11178493499756,56.81647968292236,"unknown","unknown",63.31137442588806,65.78053641319275,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.55856156349182,"","unknown",79.0576741695404,80.81942510604858,87.17496061325073,"unknown","unknown",93.58854293823242,96.4211654663086,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.91087889671326,"unknown","unknown",109.8338713645935,"",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-25339.421244859695,-25332.782437086105,-25327.430284261703,-25321.69171309471,0.0,7.219340801239014,8.722283840179443,14.894238710403442,27.448997735977173,33.531949043273926,35.85405707359314,42.528706789016724,"unknown","unknown",49.744469165802,51.053343296051025,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.1144335269928,"","unknown",64.62041211128235,68.43536472320557,"unknown",74.66559052467346,"unknown",80.67946577072144,82.14526677131653,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.3089554309845,"unknown","unknown",94.98180294036865,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-232857.54391264915,-232851.37214565277,-232845.03369951248,-232839.08612060547,0.0,5.886977195739746,15.389499425888062,22.76067566871643,35.158979177474976,41.34458613395691,54.85679244995117,"unknown","unknown",61.47196555137634,68.48164772987366,70.34998869895935,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.25792026519775,"","unknown",84.05067086219788,87.10881567001343,93.05513191223145,"unknown","unknown",98.83418846130371,103.99293351173401,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.24861288070679,"unknown","unknown",117.00308585166931,"",""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-72490.93308448792,-72484.06081843376,-72477.5913515091,-72471.88081049919,0.0,6.917483329772949,9.623327493667603,16.700292825698853,27.72849750518799,35.078972816467285,37.42188239097595,43.95929455757141,"unknown","unknown",50.01229166984558,53.843329191207886,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.52199840545654,"","unknown",65.92029881477356,23133.159712791443,23140.02281856537,"unknown","unknown",23145.605214595795,23147.54344558716,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",23153.720032930374,"unknown","unknown",23159.204861164093,"",""
"ac6f3f6",-1190.6460058689117,-1184.4515516757965,-1179.1308963298798,-1173.4925739765167,0.0,6.802945137023926,1258.0776829719543,1265.3019564151764,1348.2080144882202,1355.2429451942444,1357.5177006721497,"unknown",1364.7408628463745,"unknown",1370.6913001537323,1372.0183572769165,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1379.0960445404053,"","unknown",1385.8785676956177,1387.9451336860657,1394.1590616703033,"unknown","unknown",1400.145833492279,1401.3890075683594,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1408.281527042389,"unknown","unknown",1413.8692700862885,"",""
"62447b9",-477411.47716093063,-477404.79751062393,-477399.4601857662,-477392.25659775734,0.0,5.95588493347168,9.120980024337769,15.103650569915771,41.608911991119385,47.218549489974976,60.81590127944946,"unknown","unknown",66.36828899383545,73.39114356040955,78.22921180725098,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.98890590667725,"","unknown",91.53017830848694,115.32681131362915,"unknown",120.97593998908997,"unknown",128.23088097572327,135.70660853385925,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",142.55766916275024,"unknown","unknown",148.78165817260742,"",""
"20f3e2e",-4146.215815067291,-4140.068853378296,-4132.794047117233,-4126.821792602539,0.0,5.3590381145477295,9.955715417861938,15.679087400436401,551.8976140022278,557.2690768241882,559.4298856258392,"unknown","unknown",565.1828165054321,571.0887544155121,574.9710140228271,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",581.3035426139832,"","unknown",588.4872567653656,591.9226410388947,"unknown",598.1541802883148,"unknown",605.2719700336456,606.8079080581665,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",612.9173283576965,"unknown","unknown",619.2952201366425,"",""
"4e53c5c",-441460.92024350166,-441455.42632722855,-441449.81162309647,-441444.04832458496,0.0,7.182960271835327,12.845393419265747,19.232319593429565,55.60094881057739,63.04222297668457,68.34890055656433,"unknown",75.49532294273376,"unknown",81.84690999984741,84.81122279167175,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.69393253326416,"","unknown",97.49022722244263,101.76066374778748,108.63776993751526,"unknown","unknown",114.75245118141174,116.88262581825256,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",122.71664500236511,"unknown","unknown",129.4255177974701,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-58244.9407389164,-58238.94112801552,-58231.47613573074,-58224.669325351715,0.0,6.9787774085998535,216.2917332649231,222.6782524585724,4237.526450872421,4244.051681995392,4257.983174324036,"unknown","unknown",4263.477750778198,4270.137169837952,6264.080109596252,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",6270.819113254547,"","unknown",6277.31228685379,6974.720099925995,6981.204443693161,"unknown","unknown",6988.105661392212,6989.586211204529,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",6994.938988447189,"unknown","unknown",7000.945149183273,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-44.59489727020264,-38.285398960113525,-31.715938329696655,-24.597243547439575,0.0,6.597174882888794,10.313730478286743,17.271114587783813,35.785152196884155,41.27332329750061,43.74799680709839,"unknown","unknown",50.58074235916138,56.0106725692749,58.23842763900757,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.99751043319702,"","unknown",70.34863209724426,222.0137460231781,"unknown",228.08646655082703,"unknown",234.13689398765564,235.97621726989746,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",242.01953554153442,"unknown","unknown",248.0773630142212,"",""
