"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","5_1"
"518e9b8",-2146.899896621704,"unknown",-2140.970163822174,-2134.3324117660522,0.0,6.176985025405884,8.357285022735596,15.074732542037964,28.147765636444092,33.658191204071045,36.370182514190674,43.32381772994995,"unknown","unknown",49.728893995285034,52.056838035583496,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.08584499359131,"","unknown",64.83094525337219,67.3942334651947,73.27980399131775,"unknown","unknown",79.93044710159302,81.13636708259583,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.18086004257202,"unknown","unknown",95.53181791305542,"",""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",13.383636236190796,"unknown",38.06005525588989,"unknown",47.70737838745117,"unknown","unknown","unknown","unknown",61.505903005599976,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",80.85773277282715,"unknown","unknown","unknown","unknown",95.7751932144165,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"374ecf8","unknown","unknown","unknown","unknown",0.0,"unknown",9.559717178344727,"unknown",31.452847480773926,"unknown",57.73238968849182,"unknown","unknown","unknown","unknown",74.35467672348022,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",109.1241466999054,"unknown","unknown","unknown","unknown",124.99253416061401,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",13.359346151351929,"unknown",27.70282483100891,"unknown",36.532493114471436,"unknown","unknown","unknown","unknown",50.341981649398804,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",67.46363925933838,"unknown","unknown","unknown","unknown",82.93976020812988,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-12939.667491674423,"unknown",-12932.90709066391,-12926.30474114418,0.0,6.40864634513855,6599.425815582275,6605.301805496216,6627.159639835358,6633.2064616680145,6639.504071712494,6645.571689605713,"unknown","unknown",6651.914315462112,6683.786168813705,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",6689.600884914398,"","unknown",6695.713456869125,6961.389409542084,6967.517804861069,"unknown","unknown",6974.209860563278,6975.529098033905,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",6981.787466287613,"unknown","unknown",6989.084454774857,"",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",8.680243730545044,"unknown",30.539074420928955,"unknown",43.831623792648315,"unknown","unknown","unknown","unknown",60.210222244262695,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",949.2965588569641,"unknown","unknown","unknown","unknown",962.9747910499573,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",21.631197929382324,"unknown",53.49429631233215,"unknown",73.12336754798889,"unknown","unknown","unknown","unknown",92.67929315567017,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",115.52378392219543,"unknown","unknown","unknown","unknown",131.48273420333862,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",11.751598596572876,"unknown",60.03280830383301,"unknown",82.6955738067627,"unknown","unknown","unknown","unknown",99.79199957847595,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",122.09346127510071,"unknown","unknown","unknown","unknown",138.40281748771667,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",18.053829193115234,"unknown",77.91891503334045,"unknown",89.35859894752502,"unknown","unknown","unknown","unknown",105.33491635322571,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",140.2254822254181,"unknown","unknown","unknown","unknown",154.78563356399536,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"4e53c5c","unknown","unknown","unknown","unknown",0.0,"unknown",15.342994689941406,"unknown",46.242706298828125,"unknown",67.72177791595459,"unknown","unknown","unknown","unknown",81.43584203720093,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",114.14252066612244,"unknown","unknown","unknown","unknown",130.79737854003906,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",10.891617774963379,"unknown",60.089303493499756,"unknown",75.38083791732788,"unknown","unknown","unknown","unknown",89.5262885093689,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",109.61664152145386,"unknown","unknown","unknown","unknown",126.15297627449036,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c",-3291.188928127289,"unknown",-3284.6732897758484,-3278.94180059433,0.0,7.181664705276489,23.51630735397339,28.978602409362793,35.86069703102112,42.146976709365845,65.66956090927124,"unknown","unknown",72.53789114952087,78.36816549301147,79.9336006641388,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.61946415901184,"","unknown",92.11952805519104,129.05615639686584,135.5141851902008,"unknown","unknown",141.16939425468445,143.28382015228271,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",149.80419945716858,"unknown","unknown",156.8051152229309,"",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",12.505598306655884,"unknown",47.748239278793335,"unknown",60.91591811180115,"unknown","unknown","unknown","unknown",77.49507093429565,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",104.19654107093811,"unknown","unknown","unknown","unknown",119.12788581848145,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
