"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","7_otro_1"
"518e9b8",-8320.88373875618,"unknown",-8314.839432239532,-8308.8278465271,0.0,6.84047794342041,8.30484914779663,15.447484493255615,39.24803853034973,46.15673875808716,57.65026497840881,64.56592273712158,"unknown","unknown",70.77061367034912,85.04505348205566,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.47018098831177,"","unknown",96.46555471420288,98.93354272842407,104.373708486557,"unknown","unknown",109.7343270778656,10886.103872776031,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",10892.848365545273,"unknown","unknown",10899.458895683289,"",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-15388.213048934937,"unknown",-15382.826568841934,-15377.203271627426,0.0,6.442970275878906,9.23713755607605,16.381362915039062,18.728243827819824,24.330135107040405,66.24897885322571,"unknown",72.01986050605774,"unknown",78.94233560562134,82.62336134910583,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.62536215782166,"","unknown",96.23769521713257,101.14893960952759,"unknown",108.17088341712952,"unknown",115.12112641334534,173.1690034866333,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",178.62253379821777,"unknown","unknown",185.54234218597412,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-10192.937898159027,"unknown",-10186.63493680954,-10179.533282279968,0.0,5.905884027481079,7.59364914894104,13.732559204101562,25.278977155685425,31.164156675338745,37.43585777282715,43.481526374816895,"unknown","unknown",49.917524576187134,52.61506009101868,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.63237166404724,"","unknown",64.20779347419739,67.89981031417847,74.47398018836975,"unknown","unknown",81.51203513145447,83.51713919639587,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.24600887298584,"unknown","unknown",96.94137978553772,"",""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-29234.612785577774,"unknown",-29227.384353399277,-29221.380539417267,0.0,6.045565128326416,7.3260369300842285,13.532109260559082,19.913981676101685,25.477016925811768,35.34954047203064,40.67892122268677,"unknown","unknown",46.1243040561676,48.57393026351929,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.50953936576843,"","unknown",61.36903762817383,66.55859518051147,"unknown","unknown",72.46780562400818,79.4245274066925,81.34366345405579,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.88050365447998,"unknown","unknown",93.23828482627869,"",""
"ac6f3f6",-1013.4322218894958,"unknown",-1007.3249371051788,-1000.691737651825,0.0,5.602003335952759,7.818811655044556,13.479478359222412,35.623822927474976,41.746389865875244,62.44090795516968,68.98842906951904,"unknown","unknown",75.70566725730896,79.7505693435669,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.83142161369324,"","unknown",91.3180103302002,100.74322056770325,107.21831774711609,"unknown","unknown",113.8341281414032,116.38844227790833,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",122.75087404251099,"unknown","unknown",129.16200971603394,"",""
"62447b9",-2402.0133187770844,"unknown",-2396.354492664337,-2390.7239911556244,0.0,6.6421332359313965,9.028698682785034,16.20139765739441,78.97101354598999,85.19907689094543,88.56075072288513,"unknown","unknown",95.29892468452454,102.51267075538635,105.08920550346375,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.03787422180176,"","unknown",118.75142931938171,125.33405804634094,"unknown","unknown",131.09499645233154,137.09533190727234,139.53300070762634,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",145.87128615379333,"unknown","unknown",151.47240281105042,"",""
"20f3e2e",-16227.738261699677,"unknown",-16220.595265865326,-16213.34143447876,0.0,5.390033960342407,9.500389337539673,14.867941856384277,37.5899875164032,43.495885610580444,49.168208599090576,"unknown","unknown",55.41679668426514,61.24795341491699,62.83984565734863,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.37418580055237,"","unknown",74.93587684631348,78.5935435295105,"unknown","unknown",84.81215524673462,90.21353769302368,92.0345709323883,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.94682598114014,"unknown","unknown",104.37697100639343,"",""
