"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","7_otro_1"
"518e9b8",-132644.66980147362,"unknown",-132638.25874710083,-132631.70663523674,0.0,6.433251619338989,10.187592029571533,16.633111715316772,18.758153438568115,24.133870363235474,60.89269733428955,"unknown",67.16447973251343,"unknown",73.91300535202026,76.46682715415955,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.71299600601196,"","unknown",89.35824656486511,91.99204778671265,"unknown",98.43278551101685,"unknown",104.87609267234802,113.40654873847961,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",119.31681990623474,"unknown","unknown",124.91299653053284,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-2751.8442256450653,"unknown",-2745.4909110069275,-2739.877765893936,0.0,7.506543874740601,33.43521785736084,40.57093167304993,43.68464636802673,50.89867115020752,63.25460886955261,"unknown",68.78843665122986,"unknown",74.43113088607788,76.3764853477478,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.08500862121582,"","unknown",89.16317820549011,99.1423032283783,"unknown",105.77352499961853,"unknown",111.49793791770935,115.01890230178833,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",121.72590756416321,"unknown","unknown",127.39502024650574,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-173442.41424155235,"unknown",-173435.2725365162,-173429.71471834183,0.0,5.568218469619751,7.4686925411224365,13.229845762252808,19.35437035560608,26.16131091117859,30.334553718566895,"unknown",36.096545457839966,"unknown",42.19905209541321,44.38086199760437,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",50.75394034385681,"","unknown",57.43312311172485,61.65272641181946,"unknown",68.49617266654968,"unknown",73.80721402168274,76.75770211219788,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.60740685462952,"unknown","unknown",90.16589641571045,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-328878.5048120022,"unknown",-328872.4735765457,-328865.34862709045,0.0,6.267767906188965,7.950997829437256,14.244821786880493,15.435797929763794,21.525282382965088,32.588781118392944,"unknown","unknown",38.93458914756775,44.90279483795166,46.98772120475769,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.77347683906555,"","unknown",59.90352487564087,64.42443227767944,70.44347810745239,"unknown","unknown",76.55159854888916,82.75105690956116,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.00744247436523,"unknown","unknown",97.20844554901123,""
"ac6f3f6",-1100.4740426540375,"unknown",-1094.5638926029205,-1089.3119106292725,0.0,7.2621729373931885,39.54568314552307,46.22386026382446,63.36711883544922,70.0840516090393,107.24752759933472,"unknown","unknown",113.48869013786316,119.74916672706604,123.15469026565552,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",130.11575293540955,"","unknown",136.47967886924744,170.6870744228363,177.46552872657776,"unknown","unknown",183.64554405212402,186.53243160247803,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",191.80193209648132,"unknown","unknown",198.44602346420288,""
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-11016.847030878067,"unknown",-11009.835020542145,-11002.535915613174,0.0,5.443946838378906,16.298444032669067,23.093793630599976,40.76540017127991,46.241682291030884,49.003990650177,"unknown",55.00892615318298,"unknown",61.9329297542572,68.8474988937378,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.229238986969,"","unknown",81.94077920913696,108.00343656539917,"unknown",114.152658700943,"unknown",119.85790848731995,123.6939115524292,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",129.17362785339355,"unknown","unknown",135.13755464553833,""
"4e53c5c",-835.9465050697327,"unknown",-828.5651814937592,-822.6972649097443,0.0,7.340678453445435,11.510761499404907,18.11354660987854,32.21133613586426,38.999828577041626,41.01900291442871,"unknown",46.56136608123779,"unknown",53.32678699493408,55.779624223709106,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.46176338195801,"","unknown",69.59040403366089,72.01276445388794,78.41736507415771,"unknown","unknown",84.1589150428772,85.7328953742981,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",91.2321605682373,"unknown","unknown",97.43135857582092,""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-52508.32071876526,"unknown",-52501.459731817245,-52495.719272851944,0.0,7.232972860336304,13.873301029205322,20.963215827941895,39.64061999320984,46.11033773422241,48.76296877861023,"unknown","unknown",55.52762842178345,61.96918296813965,64.40007829666138,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.17811489105225,"","unknown",77.02569651603699,82.74411296844482,"unknown","unknown",89.73265767097473,96.08819532394409,99.09494614601135,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",104.54245805740356,"unknown","unknown",110.74560880661011,""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-6693.636607885361,"unknown",-6688.060695171356,-6682.5418956279755,0.0,5.979828119277954,9.622421264648438,14.987782955169678,24.95677614212036,32.04281258583069,35.21590733528137,"unknown","unknown",41.58376145362854,47.512255907058716,51.78234052658081,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.742950201034546,"","unknown",63.371756076812744,70.5467779636383,"unknown",76.6476263999939,"unknown",83.67120265960693,86.61924815177917,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.87883114814758,"unknown","unknown",98.41588973999023,""
"ea8c0d6",-4052.6372430324554,"unknown",-4047.0802409648895,-4040.3752353191376,0.0,7.03361177444458,10.200956344604492,16.469882011413574,35.27861261367798,41.87187051773071,50.49425506591797,"unknown","unknown",55.79251551628113,62.90956974029541,72.63840937614441,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.53412890434265,"","unknown",84.20275449752808,93.15046668052673,"unknown","unknown",99.2537829875946,104.80719876289368,109.73584938049316,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",115.12067580223083,"unknown","unknown",120.93481469154358,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-178189.68530607224,"unknown",-178183.39591670036,-178176.73804044724,0.0,5.667943716049194,11.245679378509521,16.719433307647705,25.956735849380493,32.81615614891052,48.8778600692749,"unknown",55.79974055290222,"unknown",62.87442469596863,74.99459886550903,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.18516206741333,"","unknown",88.65928220748901,132.88252449035645,"unknown","unknown",139.88851499557495,147.10637307167053,183.54763293266296,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",190.2467393875122,"unknown","unknown",195.6223840713501,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
