"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","4_1"
"518e9b8",-173384.99949264526,"unknown",-173378.66045331955,-173372.8474137783,0.0,6.1901328563690186,8814.463297367096,8821.570873975754,8823.33022761345,8829.812442779541,8847.02637052536,"unknown",8854.290333509445,"unknown",8859.801018476486,8880.421316862106,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",8886.861024618149,"","unknown",8892.909752845764,8896.335611104965,"unknown",8902.280002593994,"unknown",8907.735251426697,8909.90837097168,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",8915.258849143982,"unknown","unknown",8922.51630806923,"",""
"b5edd3c",-107266.41584205627,"unknown",-107259.08046126366,-107252.08669304848,0.0,5.761731147766113,8.551125764846802,15.310396909713745,22.337698698043823,28.9223530292511,35.09646153450012,"unknown",41.39452123641968,"unknown",46.73266530036926,48.37556052207947,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",54.60373139381409,"","unknown",60.8862566947937,63.54042911529541,"unknown",69.74118638038635,"unknown",75.60154843330383,77.63229465484619,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",84.34744811058044,"unknown","unknown",91.09478282928467,"",""
"374ecf8",-45227.15063095093,"unknown",-45156.80095744133,-45089.644859313965,0.0,6.3807220458984375,8.271058559417725,13.761564493179321,28.9526526927948,34.8839795589447,52.017258167266846,"unknown",58.86680817604065,"unknown",64.90322661399841,66.6805374622345,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.44988107681274,"","unknown",80.2407476902008,103.21152472496033,"unknown",109.28669261932373,"unknown",114.81839919090271,116.81036162376404,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",122.25212788581848,"unknown","unknown",128.8137538433075,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",39.352670431137085,"unknown",47.52295541763306,"unknown",973.7088532447815,"unknown","unknown","unknown","unknown",989.4708824157715,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",1017.2876996994019,"unknown","unknown","unknown","unknown",1032.2242114543915,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-63254.02964544296,"unknown",-63247.68713235855,-63240.39783191681,0.0,5.423491716384888,8.99734115600586,14.92407512664795,25.7741916179657,33.133938789367676,42.80771851539612,"unknown",49.17096543312073,"unknown",54.56980776786804,56.08804726600647,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.88547897338867,"","unknown",69.56196165084839,76.16472911834717,"unknown",83.27826046943665,"unknown",89.20739364624023,90.8219575881958,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",96.87253022193909,"unknown","unknown",103.76883697509766,"",""
"ac6f3f6",-77.59872055053711,"unknown",-70.76574468612671,-64.51937651634216,0.0,5.900451421737671,29.88400650024414,36.968597650527954,48.735435247421265,55.17411732673645,59.303404808044434,"unknown","unknown",65.9919044971466,73.31700158119202,143.96324801445007,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",150.4386203289032,"","unknown",157.26570892333984,162.90792775154114,"unknown","unknown",169.91620182991028,176.63000345230103,197.96133947372437,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",204.00244522094727,"unknown","unknown",211.42558002471924,"",""
"62447b9",-1731306.0009467602,"unknown",-1731299.6591641903,-1731293.4046869278,0.0,6.399999380111694,21.746559619903564,28.16555953025818,42.77208709716797,49.19699835777283,74.52417588233948,"unknown","unknown",81.54653024673462,87.41839838027954,94.17429423332214,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99.6680498123169,"","unknown",106.04293584823608,146.64928126335144,"unknown","unknown",153.39210057258606,159.6173837184906,161.7002191543579,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",167.7886826992035,"unknown","unknown",173.94298195838928,"",""
"20f3e2e",-19226.30869102478,"unknown",-19220.72508788109,-19213.59761786461,0.0,6.049706697463989,22.57821488380432,29.153362274169922,54.298211336135864,61.385672092437744,69.52118444442749,75.41222643852234,"unknown","unknown",81.8162612915039,83.06608486175537,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.74800181388855,"","unknown",95.43961334228516,99.19055914878845,105.24582576751709,"unknown","unknown",111.23664236068726,113.00866341590881,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",119.0777518749237,"unknown","unknown",125.78041100502014,"",""
