"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-31477.766709327698,"unknown",-31472.283682107925,-31466.853176355362,0.0,6.740671873092651,14987.10737657547,14994.121613502502,14996.463346004486,15003.032506465912,15043.247170686722,"unknown","unknown",15049.194056987762,15055.20529961586,15056.799504041672,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",15062.303221940994,"unknown",15069.31525683403,15071.366373538971,"unknown","unknown",15077.941148519516,15084.641287326813,15086.913412809372,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",15092.35936331749,"unknown","unknown",15098.964167833328
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-41620.774196863174,"unknown",-41613.66934633255,-41607.16019821167,0.0,6.446313381195068,12.037263631820679,19.431360721588135,274.2902903556824,280.37819027900696,284.5854606628418,"unknown",291.7326498031616,"unknown",299.06418108940125,300.39691281318665,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",306.36189818382263,"unknown",312.48252868652344,314.82972598075867,"unknown",320.89621901512146,"unknown",327.7278187274933,329.79470443725586,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",336.48883605003357,"unknown","unknown",341.8752119541168
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-52484.068796396255,"unknown",-52477.542046546936,-52471.00922322273,0.0,6.863074541091919,11.375839233398438,19.649601697921753,52.22560405731201,57.71401047706604,63.922980546951294,"unknown","unknown",70.50765204429626,76.12701177597046,78.65452790260315,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",84.43661546707153,"unknown",90.90578532218933,106.67840719223022,"unknown",113.73555898666382,"unknown",120.56125736236572,123.33700323104858,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",128.91818499565125,"unknown","unknown",135.60657477378845
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-65863.10383701324,"unknown",-65857.26598954201,-65851.87180638313,0.0,5.527088165283203,7.629119157791138,15.491455554962158,29.414844751358032,34.789153814315796,37.14682745933533,"unknown","unknown",42.522053480148315,49.29566717147827,280797.8437013626,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",280804.43714022636,"unknown",280811.33959150314,305418.6795613766,"unknown","unknown",305425.52154302597,305432.7093143463,305438.1195883751,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",305443.7091984749,"unknown","unknown",305450.6735084057
"ac6f3f6",-3714.0085933208466,"unknown",-3707.9232306480408,-3701.773271560669,0.0,5.891988515853882,8.43492341041565,16.50760293006897,39.63207030296326,45.76072835922241,51.10851263999939,"unknown",57.723161935806274,"unknown",63.60833549499512,65.06506395339966,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.48254632949829,"unknown",76.68074774742126,83.5993001461029,90.18557810783386,"unknown","unknown",96.06287693977356,97.53604459762573,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",103.03406167030334,"unknown","unknown",108.19788265228271
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-45084.05137062073,"unknown",-45078.689514160156,-45071.93477678299,0.0,6.151733160018921,9.466803789138794,16.843109369277954,36.201016426086426,42.060662508010864,44.49716567993164,"unknown","unknown",51.39573693275452,57.064223766326904,59.92196798324585,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",65.70286107063293,"unknown",72.26500749588013,77.81923532485962,"unknown",85.02430939674377,"unknown",91.02684259414673,92.85733294487,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.87856888771057,"unknown","unknown",104.72342920303345
