"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-1573.0475585460663,"unknown",-1566.1210527420044,-1559.7615287303925,0.0,5.902570962905884,15912.526875257492,15920.324289798737,83897.37897396088,83902.82507419586,83910.31713795662,"unknown","unknown",83917.22457718849,83923.83050012589,83926.29187583923,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",83933.11849927902,"unknown",83939.02748584747,83941.819065094,"unknown","unknown",83947.21269202232,83954.37376761436,83956.01916837692,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",83963.10572004318,"unknown","unknown",83968.83546614647
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-5842.064495563507,"unknown",-5834.925019979477,-5828.381937503815,0.0,6.338640213012695,12.780582189559937,18.75589919090271,32.117486238479614,39.288941860198975,46.51905417442322,"unknown",52.62233543395996,"unknown",59.114569902420044,62.023953676223755,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.73040413856506,"unknown",74.0791027545929,83.45933270454407,"unknown","unknown",89.64209699630737,94.94092106819153,101.53847646713257,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",107.08191418647766,"unknown","unknown",114.09555053710938
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-2995.865269422531,"unknown",-2988.9321627616882,-2983.2051255702972,0.0,6.996034383773804,55.498493671417236,62.48358988761902,155.2550892829895,162.1927535533905,170.58852314949036,"unknown","unknown",176.41383290290833,182.00480556488037,216.0468292236328,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",222.12105345726013,"unknown",228.07010126113892,250.3301854133606,"unknown","unknown",256.59982085227966,263.61088371276855,282.8456060886383,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",289.30136728286743,"unknown","unknown",296.1570014953613
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-6330.868750572205,"unknown",-6324.491149425507,-6319.062828779221,0.0,5.418854236602783,6.877396583557129,12.685281753540039,14.056476354598999,19.602152824401855,30.162806510925293,"unknown","unknown",36.46865248680115,43.58479905128479,47.87234807014465,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",53.21511721611023,"unknown",58.9345645904541,62.41961121559143,67.98314189910889,"unknown","unknown",74.95464158058167,136692.30870199203,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",136698.373180151,"unknown","unknown",136705.235973835
"ac6f3f6",-15.552597284317017,"unknown",-9.07162356376648,-2.0669853687286377,0.0,6.307640790939331,9.685860633850098,16.419966459274292,83.72357249259949,90.72810387611389,93.10533261299133,100.28149676322937,"unknown","unknown",107.07556319236755,114.93360733985901,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",120.47015571594238,"unknown",127.44236373901367,169.50965929031372,"unknown",175.1701807975769,"unknown",181.2232735157013,182.76784491539001,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",189.31744837760925,"unknown","unknown",195.6483392715454
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-50095.20275640488,"unknown",-50089.441135406494,-50083.98144817352,0.0,6.418267250061035,14.548538208007812,21.28685760498047,89.41669726371765,95.18940925598145,99.20340371131897,"unknown","unknown",105.15678668022156,110.69701075553894,112.49203205108643,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",117.98558926582336,"unknown",125.1641902923584,142.8182351589203,"unknown",148.28121042251587,"unknown",155.3143937587738,161.67613887786865,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",167.881019115448,"unknown","unknown",173.21324110031128
"4e53c5c",-2017.714468717575,"unknown",-2011.1600134372711,-2004.7928552627563,0.0,6.425425052642822,11.184353590011597,18.543885946273804,48.282803535461426,55.00344228744507,61.34564399719238,67.76020407676697,"unknown","unknown",73.8672547340393,75.81697678565979,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.91794466972351,"unknown",88.94022607803345,93.16943550109863,100.2719497680664,"unknown","unknown",106.79770874977112,108.66394853591919,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",113.91860294342041,"unknown","unknown",119.24757051467896
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-25156.52143883705,"unknown",-25150.062804937363,-25143.55526328087,0.0,6.317598581314087,10.019044637680054,15.668139696121216,57.39307498931885,63.28265857696533,80.18477392196655,"unknown","unknown",87.32611727714539,94.27810549736023,97.46205449104309,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",103.88368082046509,"unknown",110.73416423797607,140.95061135292053,"unknown","unknown",147.13435912132263,152.98295331001282,155.40376543998718,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",162.56011486053467,"unknown","unknown",168.02117705345154
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
