"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_otro_1","2_1"
"518e9b8",-5544.890917778015,"unknown",-5538.7091608047485,-5531.865942001343,0.0,5.863533973693848,27.262261629104614,35.15885949134827,46.33493709564209,52.43015480041504,66.89795780181885,"unknown","unknown",72.65637540817261,79.65846610069275,84.10654211044312,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",89.57024955749512,"","unknown",96.20169258117676,99.03369665145874,"unknown",106.10960507392883,"unknown",111.73329377174377,119.72003364562988,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.2755560874939,"unknown","unknown",131.95168161392212,"",""
"b5edd3c",-205324.40271925926,"unknown",-205318.19172883034,-205311.6393070221,0.0,6.168516159057617,8.785592555999756,17.091574907302856,29.127257823944092,35.20094585418701,37.805830240249634,"unknown","unknown",43.255850076675415,48.80533719062805,51.53605675697327,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",58.299922943115234,"","unknown",65.51137804985046,68.5708634853363,"unknown","unknown",75.2445375919342,81.6526403427124,84.54910063743591,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.44079971313477,"unknown","unknown",97.52384567260742,"",""
"374ecf8",-7124.105930089951,"unknown",-7118.271084547043,-7111.657945632935,0.0,6.311770439147949,14.673993349075317,22.76790452003479,42.33139252662659,47.67395544052124,66.01269292831421,"unknown",72.09208250045776,"unknown",79.20618176460266,149.51037335395813,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",155.94105195999146,"","unknown",162.9402129650116,171.07399010658264,"unknown","unknown",177.81579899787903,184.0036051273346,230.21912002563477,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",235.7456865310669,"unknown","unknown",241.61647725105286,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",20.313613891601562,"unknown",41.814775705337524,"unknown",53.6854453086853,"unknown","unknown","unknown","unknown",68.76021790504456,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",88.51650142669678,"unknown","unknown","unknown","unknown",160.32848286628723,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-5460.412504196167,"unknown",-5454.422211408615,-5447.605007648468,0.0,6.4806342124938965,8.75983476638794,16.93962788581848,24.479454517364502,29.947448253631592,35.106637954711914,"unknown",42.04289746284485,"unknown",48.17936706542969,50.4230318069458,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",57.68395662307739,"","unknown",64.89586234092712,68.96212840080261,"unknown",74.22108268737793,"unknown",80.79084801673889,83.09497857093811,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.15886521339417,"unknown","unknown",96.20204067230225,"",""
"2541155",-19602.718613147736,"unknown",-19596.279913187027,-19590.45101237297,0.0,5.820231676101685,82975.55848050117,82983.66029906273,82992.88518595695,82999.19059228897,83006.6555697918,"unknown","unknown",83013.82598900795,83020.26193523407,83023.27362823486,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",83028.95322608948,"","unknown",83035.37541127205,83038.63827967644,"unknown","unknown",83044.0787165165,83049.72400188446,83052.90127491951,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83059.67410469055,"unknown","unknown",83066.14966845512,"",""
"ac6f3f6",-20246.34732556343,"unknown",-20239.273609161377,-20232.679859876633,0.0,5.766096115112305,7.566244840621948,14.973494529724121,29.837217569351196,35.69021677970886,42.47634768486023,"unknown","unknown",48.40641450881958,54.712209701538086,57.134583950042725,63.3105525970459,65.92695116996765,"unknown",72.84125638008118,"unknown",79.02141189575195,80.9234082698822,86.35951042175293,88.11573386192322,"unknown","unknown",93.76282024383545,"unknown","",100.5916006565094,106.55610632896423,118.09614658355713,123.69997572898865,"unknown","unknown",129.08514785766602,131.91031956672668,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",137.30400800704956,"unknown","unknown",144.46540689468384,"",""
"62447b9",-287850.49544739723,"unknown",-287843.91041636467,-287837.9428515434,0.0,6.672810316085815,12.305025339126587,19.614661931991577,55.419471979141235,60.98619818687439,65.98689699172974,"unknown","unknown",72.78987431526184,78.52648258209229,80.77794599533081,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",86.581782579422,"","unknown",93.5400767326355,112.88923573493958,"unknown","unknown",118.7022500038147,125.29546785354614,127.58589458465576,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",134.1821768283844,"unknown","unknown",140.36208510398865,"",""
"20f3e2e",-57063.45772051811,"unknown",-57056.451503276825,-57049.396058321,0.0,5.970948696136475,10.301353931427002,18.757631540298462,35.454124450683594,41.113335609436035,46.08833122253418,"unknown","unknown",52.76781177520752,59.362351417541504,60.94219470024109,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",67.46388339996338,"","unknown",74.51663565635681,80.76607704162598,"unknown","unknown",86.65244483947754,92.44622278213501,94.15787720680237,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.63757967948914,"unknown","unknown",106.3294985294342,"",""
