"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","3_1","5_1","2_1"
"518e9b8",-2180.8712918758392,"unknown",-2173.8181931972504,-2168.456092119217,0.0,6.381919860839844,9.191956281661987,16.15432643890381,38.72282886505127,45.39357852935791,62.639055252075195,"unknown",68.71045207977295,74.18582701683044,76.47967863082886,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",83.19611239433289,"unknown","unknown",89.14760494232178,"","",""
"b5edd3c",-4517.87740445137,"unknown",-4511.091954469681,-4504.200301647186,0.0,5.475042343139648,18.081206798553467,26.181171417236328,65.19121527671814,70.96868419647217,79.76328635215759,"unknown",85.48507881164551,91.49503946304321,93.69082307815552,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",100.8378369808197,"unknown","unknown",107.88464903831482,"","",""
"374ecf8",-50.391215801239014,"unknown",-43.40072202682495,-37.3368444442749,0.0,6.69512677192688,11.113003015518188,19.597718715667725,47.18676018714905,53.59226179122925,61.33831596374512,"unknown",68.03145813941956,74.56213903427124,77.87947726249695,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",83.51763582229614,"unknown","unknown",90.01290845870972,"","",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",13.79913592338562,"unknown",55.377227783203125,"unknown",108.21482157707214,"unknown","unknown","unknown",135.92551016807556,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"8d2da97",-9396.334198474884,"unknown",-9390.022659540176,-9383.302524328232,0.0,6.676672458648682,12.650532722473145,21.011067867279053,45.741201877593994,51.7176411151886,59.57464289665222,"unknown",64.98818826675415,70.58915948867798,73.3567328453064,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",80.39807724952698,"unknown","unknown",86.05198931694031,"","",""
"2541155",-15412.270539283752,"unknown",-15406.745376110077,-15400.995391607285,0.0,6.845948934555054,18.890399932861328,26.43205976486206,41.12656855583191,47.79108428955078,60.5219783782959,66.3560426235199,"unknown",71.8105537891388,73.51693606376648,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",79.8223397731781,"unknown","unknown",86.55806517601013,"","",""
"ac6f3f6",-352842.82080698013,"unknown",-352836.98835635185,-352831.2877135277,0.0,6.124990940093994,13.160969018936157,20.752245903015137,40.969391107559204,47.48670434951782,65.94932150840759,72.820072889328,"unknown",80.05420994758606,82.20978593826294,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",89.3479151725769,"unknown","unknown",94.72356748580933,"","",""
"62447b9",-79726.37351679802,"unknown",-79720.57756304741,-79713.94804787636,0.0,7.113134384155273,10.435819625854492,17.96175265312195,36.94174551963806,42.798672676086426,58.68062162399292,"unknown",65.0123291015625,72.28531742095947,74.21049475669861,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",80.31845378875732,"unknown","unknown",85.89009761810303,"","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",11.988569498062134,"unknown",67.78403925895691,"unknown",154.21065831184387,"unknown","unknown","unknown",169.66062712669373,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"4e53c5c",-3754.3821263313293,"unknown",-3747.56800031662,-3741.558594226837,0.0,6.934278964996338,14.570186376571655,22.709917545318604,48.287222146987915,53.907835483551025,65.01976728439331,72.04489588737488,"unknown",77.58275961875916,79.98282170295715,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.21417951583862,"unknown","unknown",94.05162525177002,"","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",61.82369089126587,"unknown",174.79459023475647,"unknown",191.26637816429138,"unknown","unknown","unknown",206.6885528564453,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-11613.385953426361,"unknown",-11607.944417953491,-11602.473494291306,0.0,6.155003786087036,13.371550798416138,20.597216367721558,41.764153242111206,48.15435171127319,55.43896269798279,"unknown",62.31033372879028,68.60933566093445,73.39698314666748,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",79.64911794662476,"unknown","unknown",85.57528710365295,"","",""
"ea8c0d6",-14740.85526394844,"unknown",-14735.255505561829,-14729.16594004631,0.0,6.462059020996094,11.897451162338257,19.701546907424927,140.18300771713257,146.64016318321228,162.901957988739,"unknown",169.9141788482666,176.80933022499084,178.80903387069702,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",184.14579391479492,"unknown","unknown",189.8244273662567,"","",""
"7cf831f",-69.4585120677948,"unknown",-63.54579401016235,-57.33522391319275,0.0,5.866612195968628,7.615918397903442,16.177884578704834,98.65171837806702,105.8362545967102,120.46842670440674,"unknown",125.96988368034363,131.55786800384521,137.6320984363556,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",144.41132855415344,"unknown","unknown",149.79570531845093,"","",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
