"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","cont_2","cont_3","2_1","2_2"
"518e9b8",-757.3453466892242,"unknown",-750.4656405448914,-744.4895296096802,0.0,6.098478555679321,35.01961064338684,42.83923006057739,100.03420114517212,106.01302886009216,113.77302670478821,"unknown",120.91071057319641,127.29887533187866,128.7124183177948,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",134.85301613807678,"unknown","unknown",140.6302046775818,"","","",""
"b5edd3c",-23344.94352030754,"unknown",-23338.00063419342,-23331.267822027206,0.0,947813.7545468807,255947.47751784325,947824.0624630451,947839.0581352711,947845.0986337662,947855.4732542038,"unknown",947861.1948451996,947868.0426836014,947871.6094377041,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",947877.3315472603,"unknown","unknown",947883.3767297268,947807.8549573421,947816.7562084198,128935.87361001968,671645.7458589077
"374ecf8",-10424.848108530045,"unknown",-10418.930867433548,-10412.283680200577,0.0,6.130345821380615,7.756710052490234,15.22215986251831,27.975024700164795,34.07538366317749,50.09039855003357,"unknown",55.852680683135986,62.65352535247803,64.29810333251953,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",70.76767253875732,"unknown","unknown",77.8390691280365,"","","",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",29.917434453964233,"unknown",86.24071907997131,"unknown",106.25379633903503,"unknown","unknown","unknown",122.65454506874084,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-106156.73989105225,"unknown",-106151.41337513924,-106144.55334544182,0.0,5.756731986999512,100.67148971557617,108.40973114967346,123.45647406578064,129.88530778884888,153.80125308036804,160.2747926712036,"unknown",166.10083198547363,167.657808303833,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",174.42620420455933,"unknown","unknown",181.2427899837494,"","","",""
"ac6f3f6",-15.308477640151978,"unknown",-8.199299335479736,-1.8457553386688232,0.0,5.258209943771362,13.115118741989136,20.523184299468994,52.010244607925415,58.14541578292847,70.06413269042969,"unknown",77.14379978179932,82.33665537834167,83.92213892936707,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",91.26953411102295,"unknown","unknown",98.50342392921448,"","","",""
"62447b9",-261586.36216807365,"unknown",-261579.8939523697,-261572.85682868958,0.0,6.301035165786743,8.536505222320557,15.79871916770935,36.44481039047241,42.30452346801758,85.10209679603577,90.91946721076965,"unknown",97.86657357215881,100.73419547080994,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",106.62086844444275,"unknown","unknown",112.50109577178955,"","","",""
"20f3e2e",-431.5797929763794,"unknown",-424.229061126709,-417.8354105949402,0.0,5.778273820877075,19.160470962524414,27.568317651748657,113.77376437187195,121.1839325428009,194.60227298736572,199.96270871162415,"unknown",205.60619974136353,208.55203294754028,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",214.038179397583,"unknown","unknown",220.76111245155334,"","","",""
"4e53c5c",-4009.1932561397552,"unknown",-4002.415264606476,-3997.2273528575897,0.0,5.390884160995483,12.830682277679443,20.345866918563843,42.05549454689026,48.865198850631714,59.31876873970032,66.31570291519165,"unknown",72.58979487419128,74.65808033943176,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",81.02590799331665,"unknown","unknown",87.7465193271637,"","","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-13039.193826675415,"unknown",-13033.392218828201,-13027.7866897583,0.0,6.530956506729126,77.61063551902771,84.85965371131897,103.163738489151,108.86388039588928,115.94194626808167,"unknown",121.62007761001587,128.77076816558838,133.06117749214172,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",140.4578628540039,"unknown","unknown",147.06592106819153,"","","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-509007.5022799969,"unknown",-509000.4361627102,-508994.14237356186,0.0,293648.707934618,293466.0031812191,293880.0073490143,293912.4870095253,293980.83107972145,294010.74498176575,"unknown",294045.10838127136,294055.92008280754,294060.0912387371,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",294066.1323111057,"unknown","unknown",294074.0793156624,293692.82918810844,"",-249271.15099215508,293439.25925827026
"ea8c0d6",-290743.15017056465,"unknown",-290737.7902288437,-290732.1009378433,0.0,6.916389226913452,29.678223609924316,42.00072121620178,73.16418409347534,81.3294792175293,107.10441279411316,"unknown",114.15441513061523,121.30694341659546,124.27065324783325,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",131.0543177127838,"unknown","unknown",136.83788752555847,"","","",""
"7cf831f",-42704.728081703186,"unknown",-42697.608278274536,-42690.34803080559,0.0,5.69654393196106,17.60788869857788,26.31863808631897,44.921027421951294,51.79247164726257,130.22065687179565,"unknown",136.2640082836151,142.154137134552,145.90700793266296,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",151.628089427948,"unknown","unknown",158.13222432136536,"","","",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-16.47593879699707,"unknown",-10.802963256835938,-3.70487904548645,0.0,5.851400852203369,7.606739282608032,15.644963264465332,26.77249026298523,33.10295844078064,53.51966953277588,59.6277916431427,"unknown",65.6862998008728,67.12873125076294,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.12804841995239,"unknown","unknown",80.93550539016724,"","","",""
"56ee475",-5398959.4398880005,"unknown",-5398952.616171598,-5398946.91582942,0.0,6.078455686569214,37949.82061266899,37958.43092131615,37972.39480686188,37978.96417784691,37992.6353366375,37999.24194645882,"unknown",38004.85569190979,38006.85710477829,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",38013.487003088,"unknown","unknown",38018.865943193436,"","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-34308.87103128433,"unknown",-34302.32835936546,-34295.812217473984,0.0,6.544959783554077,15571.181033849716,15579.523850917816,15600.834345579147,15606.732825517654,517334.6912024021,"unknown",517340.1928405762,517346.0086238384,517410.90814471245,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",517418.06059384346,"unknown","unknown",517424.74996328354,"","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-75.53347301483154,"unknown",-69.21292042732239,-63.097278118133545,0.0,6.666985511779785,10.779992818832397,17.549853086471558,497.2577340602875,503.1757037639618,543.4973392486572,550.5185158252716,"unknown",556.6825230121613,563.1193587779999,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",569.3635156154633,"unknown","unknown",576.3199381828308,"","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc",-20940.940861940384,"unknown",-20935.328401088715,-20928.13477730751,0.0,5.630897045135498,10.337896823883057,17.48812246322632,36.540323972702026,43.14240312576294,88.36593627929688,"unknown",94.35579490661621,100.83986806869507,104.82766151428223,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",111.6742353439331,"unknown","unknown",117.7344262599945,"","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-1007.3089046478271,"unknown",-1001.1932535171509,-994.9640910625458,0.0,7.4234559535980225,12.563321590423584,20.43642544746399,34.90362906455994,42.11135959625244,51.63997220993042,57.83739376068115,"unknown",63.59121108055115,66.12682485580444,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",72.71847605705261,"unknown","unknown",79.84146237373352,"","","",""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-39616.51208496094,"unknown",-39611.161480903625,-39604.60557222366,0.0,5.461022615432739,10.593780755996704,17.499632120132446,28.96871280670166,35.78602170944214,52.89920520782471,"unknown",58.45777440071106,64.31799864768982,66.4317193031311,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.52668881416321,"unknown","unknown",80.00303530693054,"","","",""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81",-62396.80025911331,"unknown",-62391.43969011307,-62385.63847088814,0.0,6.661784410476685,8.546746492385864,17.346769332885742,27.03814721107483,33.145642042160034,39.21062088012695,46.263641119003296,"unknown",52.12814927101135,54.005699157714844,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",60.36591172218323,"unknown","unknown",68.49624037742615,"","","",""
"bf983ba",-40.019620418548584,"unknown",-33.4354727268219,-26.66044330596924,0.0,5.904414176940918,8.669527292251587,15.632002830505371,22.620636224746704,29.483322381973267,33.84531903266907,40.590402364730835,"unknown",46.61554980278015,50.30854558944702,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",56.90888524055481,"unknown","unknown",64.11628746986389,"","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
