"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1"
"518e9b8",-6098.228816509247,"unknown",-6092.02109503746,-6086.161518096924,0.0,6.741585969924927,14.18145489692688,22.589575052261353,34.53822660446167,41.67099118232727,50.9544951915741,"unknown",57.60149049758911,62.88879752159119,64.6742889881134,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",72.24078869819641,"unknown","unknown",79.02621722221375,""
"b5edd3c",-1052892.5654900074,"unknown",-1052885.5460169315,-1052878.6013140678,0.0,7.166948556900024,12.195228815078735,21.02273416519165,38.63896679878235,44.317675828933716,51.59888792037964,57.47576665878296,"unknown",63.32067394256592,65.59580135345459,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.76915454864502,"unknown","unknown",78.92749285697937,-3069.6382398605347
"374ecf8",-4386.50572180748,"unknown",-4380.763602972031,-4373.6873099803925,0.0,5.446768045425415,12.877074956893921,21.263119220733643,36.75756883621216,43.55563950538635,64.76168298721313,70.34007334709167,"unknown",75.64218664169312,86.24306607246399,92.53633403778076,100.35825681686401,"unknown",106.82289052009583,112.66041278839111,114.85208368301392,"unknown","unknown","unknown","unknown",120.6666259765625,"unknown",126.35913252830505,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",12.074731588363647,"unknown",81.52645421028137,"unknown",93.9541084766388,"unknown","unknown","unknown",116.6885416507721,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-802.7398319244385,"unknown",-797.4215703010559,-790.5239028930664,0.0,6.985182285308838,11.144653081893921,18.919337272644043,34.39196062088013,41.550562143325806,48.8801372051239,54.33376955986023,"unknown",59.58354663848877,62.07309317588806,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",68.50176358222961,"unknown","unknown",74.98140263557434,""
"2541155",-13681.184629201889,"unknown",-13674.320795297623,-13667.266216754913,0.0,6.678355693817139,7.994225263595581,16.68850803375244,28.71667790412903,35.687681436538696,1418.592930316925,"unknown",1424.0642704963684,1430.3568906784058,2769.4382586479187,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",2775.828563451767,"unknown","unknown",2781.9145402908325,""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",9.262728691101074,"unknown",34.29366397857666,"unknown",99.60651397705078,"unknown","unknown","unknown",151.8961238861084,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"62447b9",-107094.3051431179,"unknown",-107087.94272375107,-107082.19205784798,0.0,6.198360204696655,8.268006086349487,15.189127206802368,36.66976237297058,42.559146881103516,99.01389074325562,105.49139833450317,"unknown",111.98391890525818,116.29895305633545,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",123.44802927970886,"unknown","unknown",129.0809817314148,""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",14.567695379257202,"unknown",52.702890157699585,"unknown",72.31922745704651,"unknown","unknown","unknown",87.13693881034851,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
