"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","5_1"
"518e9b8",-6719.41851067543,"unknown",-6713.105693101883,-6707.7013421058655,0.0,5.421276092529297,7.075547218322754,14.424760580062866,17.504737854003906,23.36794662475586,139.88883113861084,"unknown",146.04184794425964,152.15356373786926,165.54645442962646,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",172.24835991859436,"unknown","unknown",177.6098349094391,"",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-16730.91993165016,"unknown",-16725.02122449875,-16718.479807138443,0.0,5.623879671096802,8.369413137435913,15.66188907623291,18.38317370414734,23.75969910621643,37.64281368255615,"unknown",44.278379678726196,51.05041146278381,52.91237139701843,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",58.48348426818848,"unknown","unknown",65.72393298149109,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-75519.45031642914,"unknown",-75512.39111018181,-75505.94721126556,0.0,6.054110765457153,14.54337215423584,22.491042852401733,27.815768718719482,34.9621844291687,47.130385398864746,53.591562271118164,"unknown",60.79784941673279,67.68514347076416,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.51539254188538,"unknown","unknown",80.83950424194336,"",""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-17441.136178970337,"unknown",-17434.011921405792,-17428.1612906456,0.0,6.038456678390503,9.019752264022827,17.691304683685303,28.527217388153076,35.236674547195435,41.799113273620605,"unknown",48.60643720626831,55.27939558029175,60.54877161979675,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",67.32254099845886,"unknown","unknown",73.10931158065796,"",""
"ac6f3f6",-576.6115672588348,"unknown",-569.7239270210266,-562.6331632137299,0.0,6.663037300109863,2861.5929861068726,2868.404175758362,2921.69491147995,2928.8184328079224,2971.133278608322,2976.576498746872,"unknown",2983.207653284073,2998.959007501602,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",3004.458289384842,"unknown","unknown",3010.334571123123,"",""
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-909.0669770240784,"unknown",-902.4826776981354,-895.7861526012421,0.0,7.162396430969238,19.825517654418945,27.977617740631104,72.0885009765625,78.03262281417847,174243.5423412323,"unknown",174249.9993469715,174257.14596939087,174258.90180635452,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",174265.1319758892,"unknown","unknown",174271.1099538803,"",""
"4e53c5c",-1923.182268857956,"unknown",-1916.6505727767944,-1910.8214840888977,0.0,6.59714937210083,15.274945974349976,24.054582118988037,69.73490834236145,75.6759684085846,91.56917238235474,"unknown",97.74187111854553,103.96696400642395,106.65512490272522,113.41987323760986,119.13077211380005,126.0575704574585,"unknown",132.93011665344238,134.82578325271606,"unknown","unknown","unknown","unknown",142.27124404907227,"unknown",149.47809314727783,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-4203.768552303314,"unknown",-4197.169452905655,-4190.325878858566,0.0,6.901532888412476,8.430662631988525,15.174365282058716,43.75670266151428,49.52617859840393,59.96035170555115,66.00111198425293,"unknown",72.60776591300964,74.49086236953735,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",80.28979134559631,"unknown","unknown",86.19663548469543,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-41007.76684141159,"unknown",-41001.84690761566,-40996.14476633072,0.0,5.6269848346710205,9.486266374588013,18.250293016433716,64.59870982170105,70.22795820236206,105.41725420951843,"unknown",112.27344274520874,119.34786629676819,121.56449127197266,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",127.29384589195251,"unknown","unknown",132.60890316963196,-31986.97529578209,""
"ea8c0d6",-510149.0864701271,"unknown",-510143.0558974743,-510134.83292269707,0.0,5.582977533340454,9.887614727020264,16.754760026931763,42.22705602645874,49.58228945732117,141.47299432754517,148.02405714988708,"unknown",155.069518327713,157.6515531539917,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",163.79958033561707,"unknown","unknown",170.4514617919922,"",""
"7cf831f",-2939.9294199943542,"unknown",-2932.8108098506927,-2925.971502304077,0.0,7.142483234405518,6379.6533579826355,6387.125524520874,6393.845690011978,6400.745463848114,6412.39511179924,"unknown",6418.181055307388,6425.186325550079,6428.823365211487,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",6435.819030046463,"unknown","unknown",6442.579057693481,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-1848.636165857315,"unknown",-1842.082006931305,-1835.5638554096222,0.0,6.192485570907593,7.774278402328491,15.233764171600342,25.222243070602417,31.46845006942749,55.06060576438904,"unknown",61.01876735687256,67.47032594680786,69.15063714981079,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.76187705993652,"unknown","unknown",81.46484208106995,"",""
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
