"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","4_1","2_2"
"518e9b8",-20801.6431016922,"unknown",-20794.566925287247,-20788.72830057144,0.0,7.097797155380249,8.47724199295044,15.426715612411499,28.636250495910645,35.77487301826477,44.78494906425476,51.5940899848938,"unknown",57.450843811035156,59.578173875808716,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.93893909454346,"unknown","unknown",71.19665002822876,"","",""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",14.213725566864014,"unknown",33.684550046920776,"unknown",46.608867168426514,"unknown","unknown","unknown",62.672945499420166,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"374ecf8","unknown","unknown","unknown","unknown",0.0,"unknown",9.979787588119507,"unknown",36.13596296310425,"unknown",59.452492475509644,"unknown","unknown","unknown",95.2934079170227,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"89f120b",-829.6909334659576,"unknown",-648.5731408596039,-465.32550406455994,0.0,6.90631628036499,15.77011513710022,24.28129005432129,48.77301621437073,55.447025775909424,83.6498908996582,92.46871185302734,"unknown",99.10591173171997,141.23452043533325,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",147.7603394985199,"unknown","unknown",153.8633794784546,"","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",9.393153667449951,"unknown",30.911251068115234,"unknown",50.272581815719604,"unknown","unknown","unknown",65.81379294395447,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"8d2da97",-9117.59084057808,"unknown",-9111.507015228271,-9105.705117940903,0.0,7.2246925830841064,12.291257381439209,19.974137544631958,32.54372477531433,38.76883101463318,48.244194746017456,55.42072296142578,"unknown",61.532182693481445,63.80334162712097,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",70.1366696357727,"unknown","unknown",75.54348754882812,"","",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",11.14247727394104,"unknown",31.978618621826172,"unknown",52.112157344818115,"unknown","unknown","unknown",69.73254156112671,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",24.001874923706055,"unknown",53.54845190048218,"unknown",72.21996808052063,"unknown","unknown","unknown",89.478506565094,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",137.9368793964386,"unknown",184.53072929382324,"unknown",201.9290599822998,"unknown","unknown","unknown",227.5108232498169,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",11.876017332077026,"unknown",69.60522484779358,"unknown",148.61171579360962,"unknown","unknown","unknown",162.9182689189911,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
