"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-3483.330169200897,"unknown",-3477.384665966034,-3470.672507047653,0.0,6.465773344039917,8.356183528900146,16.779674768447876,85.71132063865662,91.46275496482849,106.17740082740784,111.87844133377075,"unknown",119.03215026855469,120.66700673103333,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",127.44416546821594,"unknown","unknown",134.20357418060303
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-60964.26320695877,"unknown",-60958.43231129646,-60952.15305805206,0.0,6.882830381393433,8.823274612426758,16.70684552192688,34.67388606071472,40.41446256637573,57.284509897232056,63.19760537147522,"unknown",69.71753931045532,71.32777428627014,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.34908890724182,"unknown","unknown",84.0972843170166
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-151.62903928756714,"unknown",-146.1229705810547,-139.23516368865967,0.0,7.109805583953857,8.509830951690674,17.4907865524292,25.0586838722229,31.685285806655884,34.60514807701111,41.72984051704407,"unknown",48.564197063446045,56.726332664489746,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.792524576187134,"unknown","unknown",70.08559727668762
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-36.27118444442749,"unknown",-29.188738584518433,-22.457090854644775,0.0,6.6370604038238525,8.10774278640747,15.894605875015259,18.13956308364868,23.59912896156311,28.195507049560547,34.68402814865112,"unknown",40.78573393821716,43.308170557022095,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",50.01947999000549,"unknown","unknown",55.7120361328125
"ac6f3f6",-16.00316023826599,"unknown",-10.024549961090088,-3.7802345752716064,0.0,6.969472169876099,20.406915426254272,28.183082580566406,40.20642948150635,46.31007719039917,55.285056829452515,61.52759146690369,"unknown",67.67816424369812,69.23731732368469,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.23657441139221,"unknown","unknown",82.7787082195282
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-22099.471088171005,"unknown",-22093.68338251114,-22087.997454881668,0.0,6.1992738246917725,54.4255793094635,62.507840394973755,84.01866245269775,90.77545642852783,109.81010127067566,116.74526190757751,"unknown",123.6112310886383,126.42093968391418,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",139.17725372314453,"unknown","unknown",161.87665677070618
"4e53c5c",-4225.292764902115,"unknown",-4219.884693622589,-4212.97319483757,0.0,5.7977614402771,15.032588481903076,22.444185972213745,34.47936296463013,41.3427939414978,49.29931402206421,"unknown",55.371174573898315,61.474605083465576,63.585612773895264,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.6563663482666,"unknown","unknown",75.99111104011536
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-87379.60282063484,"unknown",-87371.90765142441,-87366.4782075882,0.0,8.292264223098755,29.24612331390381,37.52107858657837,51.72189664840698,58.054203748703,68.27811217308044,75.29925203323364,"unknown",82.49889874458313,84.21291160583496,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",91.237464427948,"unknown","unknown",97.31251001358032
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-3008.408336877823,"unknown",-3001.8021013736725,-2996.199716567993,0.0,5.940513372421265,12.264842510223389,20.10799479484558,63.29661226272583,69.19432163238525,88.34359216690063,94.26192569732666,"unknown",100.3903112411499,103.00976896286011,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",110.05270719528198,"unknown","unknown",116.91290616989136
"ea8c0d6",-281477.385951519,"unknown",-281471.34220576286,-281464.21324920654,0.0,6.6609063148498535,9.25255560874939,17.20640754699707,64.35977244377136,69.89990425109863,79.29608845710754,85.60624670982361,"unknown",91.19772005081177,93.39596199989319,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.75038433074951,"unknown","unknown",105.82830309867859
"7cf831f",-1742.7957928180695,"unknown",-1736.770500421524,-1729.8368599414825,0.0,6.554382801055908,1039.0471692085266,1047.6385469436646,1058.041000843048,1065.1370103359222,1163.0036990642548,1169.5001759529114,"unknown",1175.9108397960663,1188.0151286125183,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",1193.7672798633575,"unknown","unknown",1199.5745067596436
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-14504.831825017929,"unknown",-14498.676927089691,-14492.480460643768,0.0,6.637924909591675,8.405525207519531,15.860510110855103,20.959458827972412,26.399295806884766,33.5476598739624,"unknown",39.62114691734314,45.23439693450928,3407.931079149246,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",3414.544009208679,"unknown","unknown",3420.5599184036255
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-31.281195402145386,"unknown",-24.708170652389526,-18.66944670677185,0.0,6.8365159034729,13.608958721160889,21.058252334594727,31.639482498168945,38.81972789764404,47.734604358673096,"unknown",53.27064919471741,60.31203079223633,63.78716731071472,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.19621181488037,"unknown","unknown",76.20503354072571
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-8308.869145154953,"unknown",-8302.427508831024,-8296.415973186493,0.0,5.5074121952056885,10.978325128555298,18.97831106185913,27.989121198654175,35.02651023864746,41.41729974746704,"unknown",47.27272081375122,53.37488341331482,59.83717083930969,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",65.43332648277283,"unknown","unknown",72.28830361366272
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
