"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-2269.8589477539062,-2263.4943902492523,-2256.8998925685883,-2250.948102712631,0.0,7.21986198425293,9.822649955749512,15.246604681015015,24.60185670852661,31.318523168563843,62.79175066947937,"unknown",69.218510389328,75.82618474960327,78.91389751434326,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",85.07108068466187,"unknown","unknown",90.87054562568665
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-5437.45724272728,-5431.960020780563,-5426.288136720657,-5419.9361345767975,0.0,6.7027904987335205,8.856279611587524,17.021579027175903,24.110786199569702,30.250383853912354,38.60078191757202,"unknown",44.40945053100586,50.0930278301239,53.22548985481262,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",59.78309178352356,"unknown","unknown",66.29429721832275
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-83155.4055583477,-83148.94303369522,-83142.79284286499,-83136.24926996231,0.0,5.680351495742798,62.38917565345764,69.66875052452087,77.86687016487122,83.58845710754395,100.19683337211609,"unknown",106.46197772026062,112.12119793891907,114.88306212425232,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",120.63415718078613,"unknown","unknown",125.82086157798767
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-8125.3921847343445,-8118.973336696625,-8112.361343860626,-8105.954765081406,0.0,6.628941535949707,9.988725185394287,16.838414669036865,27.362673044204712,32.582204818725586,34.68778991699219,40.80000972747803,"unknown",47.090110301971436,48.912522077560425,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",55.23007130622864,"unknown","unknown",61.12556028366089
"ac6f3f6",-21.534103393554688,-15.129672765731812,-8.610812425613403,-2.5684995651245117,0.0,5.517105340957642,14.972845315933228,22.060381174087524,38.118037700653076,44.60168147087097,58.2917366027832,65.62754893302917,"unknown",72.15011501312256,97.42902612686157,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",103.77049016952515,"unknown","unknown",110.97680449485779
"62447b9",-1782291.0663502216,-1782285.6725583076,-1782278.849743843,-1782272.8354821205,0.0,6.6232311725616455,11.173323154449463,16.453503608703613,42.41949009895325,48.42831301689148,71.46482014656067,77.56898593902588,"unknown",84.54879522323608,88.42922139167786,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",94.4012520313263,"unknown","unknown",100.5946044921875
"20f3e2e",-38320.4093272686,-38314.39796543121,-38308.037794828415,-38301.325439453125,0.0,6.513184309005737,15.456482172012329,21.923930168151855,48.86234092712402,54.30479907989502,64.12424325942993,"unknown",71.49793839454651,77.15901899337769,80.40750908851624,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.58357882499695,"unknown","unknown",93.33552694320679
