"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1"
"518e9b8",-752.8908219337463,-746.8551173210144,-739.5816712379456,-733.7611629962921,0.0,6.250627040863037,30.557300806045532,36.67301416397095,106.21928095817566,112.41226100921631,166.416522026062,171.9399344921112,"unknown",178.13794946670532,180.76190185546875,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",186.48411321640015,"unknown","unknown",192.42032766342163,""
"b5edd3c",-59732.938281297684,-59725.74190115929,-59719.3581264019,-59712.60607647896,0.0,5.909684658050537,9.460885524749756,14.676622152328491,20.331282377243042,26.18868136405945,27.831669569015503,34.34439945220947,"unknown",40.61254572868347,42.63078427314758,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",48.26398515701294,"unknown","unknown",53.9459342956543,""
"374ecf8",-65083.90249824524,-65077.50807404518,-65070.37237453461,-65064.4554142952,0.0,6.901689052581787,8.946890830993652,15.548436880111694,21.004956483840942,28.04853582382202,31.167333841323853,36.9499876499176,"unknown",43.01691246032715,45.266605377197266,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",52.418750286102295,"unknown","unknown",59.540316581726074,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-64133.555127859116,-64127.46168756485,-64121.950461387634,-64116.22311615944,0.0,5.902287721633911,10.220465660095215,17.443178415298462,24.528038024902344,31.775522708892822,38.92583990097046,44.881229400634766,"unknown",50.58998203277588,57.14533591270447,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.40595269203186,"unknown","unknown",69.92850637435913,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-9416.952585220337,-9410.706543922424,-9404.266101360321,-9398.546417236328,0.0,6.2865684032440186,12.746304512023926,19.545613288879395,25.879210233688354,33.0919394493103,35.99703335762024,43.2533495426178,"unknown",50.475123167037964,61.030505418777466,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.04289031028748,"unknown","unknown",73.41431283950806,""
"ac6f3f6",-3544.5994777679443,-3537.826983690262,-3530.706983089447,-3524.4449207782745,0.0,7.039966344833374,16.59120011329651,22.438052892684937,33.91723942756653,40.06314206123352,47.9405677318573,54.945974588394165,"unknown",60.811124086380005,67.37756204605103,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.3095076084137,"unknown","unknown",78.94483637809753,""
"62447b9",-120679.44108986855,-120673.5465760231,-120668.00043392181,-120661.08225536346,0.0,5.40014386177063,11.400275230407715,18.591501474380493,28.681769847869873,35.38868260383606,38.92986536026001,45.1596474647522,"unknown",52.27725887298584,54.65015149116516,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.34439754486084,"unknown","unknown",67.47308897972107,""
"20f3e2e",-1467.2751178741455,-1460.6654524803162,-1453.8273198604584,-1448.266065120697,0.0,6.173171043395996,35.33304142951965,41.31173634529114,59.44606900215149,65.22444367408752,74.61689829826355,80.67830991744995,"unknown",87.16543316841125,88.87555480003357,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",95.61079907417297,"unknown","unknown",100.85751962661743,""
"4e53c5c",-3085.89009809494,-3080.5112335681915,-3074.889848947525,-3069.3325488567352,0.0,6.422009706497192,17.568034648895264,24.0595703125,39.02010941505432,44.718584299087524,57.53535532951355,64.72088432312012,"unknown",71.32472825050354,73.2118968963623,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",79.93708562850952,"unknown","unknown",86.2931764125824,""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-1489.0960068702698,-1481.9247143268585,-1476.0889472961426,-1469.264407157898,0.0,6.492173433303833,12.661030292510986,17.990984678268433,38.44756841659546,44.16235136985779,47.663095235824585,53.510358810424805,"unknown",59.50344681739807,61.339611291885376,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.45312452316284,"unknown","unknown",73.03691673278809,""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-27341.912571907043,-27335.329065561295,-27328.260320663452,-27321.637073516846,0.0,5.479951858520508,23.127574920654297,30.24764084815979,40.372807025909424,47.22543954849243,53.89612054824829,60.897157430648804,"unknown",67.27652835845947,69.49877905845642,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.11575126647949,"unknown","unknown",81.47980690002441,""
"ea8c0d6",-141916.378967762,-141909.7969136238,-141903.0436589718,-141896.29754567146,0.0,7.102741003036499,10.733757257461548,16.215192317962646,22.325363874435425,27.568159103393555,47.834113359451294,53.43204975128174,"unknown",58.961467027664185,62.66980314254761,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.29309749603271,"unknown","unknown",75.27827548980713,""
"7cf831f",-187750.5262117386,-187744.85137081146,-187738.42519164085,-187732.4725279808,0.0,6.743164300918579,13.176053524017334,19.85597801208496,29.31129264831543,35.688042640686035,87.26088094711304,94.25457787513733,"unknown",99.93355059623718,109.24340534210205,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",114.7013955116272,"unknown","unknown",121.17775011062622,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
