"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-9264.628652572632,"unknown",-9257.458062648773,-9250.941219329834,0.0,7.58827805519104,68.0187361240387,75.49782729148865,88.47625541687012,95.26771712303162,103.26421189308167,"unknown",108.69549489021301,114.24815130233765,124.6315553188324,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",130.8628487586975,"unknown","unknown",136.48953199386597
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-10398.763170480728,"unknown",-10392.649813652039,-10385.948316812515,0.0,5.837985277175903,10.064089298248291,18.61018705368042,29.414764642715454,35.93413019180298,46.13868832588196,"unknown",51.72111964225769,58.78071928024292,60.81686568260193,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.86651635169983,"unknown","unknown",73.48665118217468
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-8862.254624843597,"unknown",-8855.876600265503,-8850.523584365845,0.0,7.265013694763184,11.894487857818604,20.21707844734192,55.84948992729187,62.03403186798096,81.27593445777893,86.71488308906555,"unknown",93.14754319190979,95.62767004966736,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.52951788902283,"unknown","unknown",106.95828819274902
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-13.54975700378418,"unknown",-7.962164640426636,-1.4279086589813232,0.0,5.7902443408966064,7.221836566925049,15.1116623878479,28.012088775634766,35.11750841140747,41.553147315979004,"unknown",47.91225600242615,54.98475885391235,56.693650245666504,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.49065828323364,"unknown","unknown",69.7314829826355
"ac6f3f6",-3494.0665531158447,"unknown",-3486.0488755702972,-3480.5448789596558,0.0,6.744089841842651,11.733659982681274,19.658976078033447,64.63419675827026,70.4142096042633,77.04478144645691,"unknown",83.1833872795105,89.39420342445374,387.6011986732483,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",394.1385934352875,"unknown","unknown",399.5524754524231
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-10224.67574262619,"unknown",-10217.783499002457,-10210.720211267471,0.0,5.95628547668457,11.57726240158081,19.483174085617065,37987.43081712723,37993.286984205246,38020.949295282364,38026.429763793945,"unknown",38032.564853429794,38041.7418487072,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",38048.32383990288,"unknown","unknown",38055.18294715881
"4e53c5c",-21409.87169957161,"unknown",-21403.558205127716,-21396.860667467117,0.0,7.392961025238037,15.461021423339844,22.392940998077393,41.81162762641907,47.66974902153015,62.17276382446289,"unknown",67.7029345035553,73.16001749038696,76.9686028957367,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.07287263870239,"unknown","unknown",89.95304942131042
