"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-5408.959239721298,"unknown",-5403.149285793304,-5396.305890083313,0.0,7.004945993423462,18.31829309463501,25.281978607177734,29.891276121139526,36.85169458389282,78.95681405067444,86.29222440719604,"unknown",93.39199423789978,95.06876230239868,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",102.15620684623718,"unknown","unknown",108.56245613098145
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-181945.30876612663,"unknown",-181938.42521119118,-181931.40603494644,0.0,7.37048602104187,10.048933982849121,16.586431980133057,27.78470802307129,34.40040946006775,49.138405561447144,56.32406497001648,"unknown",62.97050333023071,64.69473552703857,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.0493483543396,"unknown","unknown",76.77242732048035
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-66984.95717525482,"unknown",-66979.05432653427,-66972.19161748886,0.0,7.22401762008667,9.51306700706482,15.74323558807373,21.04012632369995,27.29700517654419,30.330008029937744,36.43054795265198,"unknown",42.74867582321167,47.88552284240723,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",53.43260884284973,"unknown","unknown",59.796600580215454
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-17910.021888017654,"unknown",-17902.823348522186,-17896.16856122017,0.0,5.470304727554321,7.5084967613220215,13.026647329330444,15.171446561813354,22.079176902770996,26.97058606147766,32.96332097053528,"unknown",38.345052003860474,377.7686290740967,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",383.75095438957214,"unknown","unknown",390.21419191360474
"ac6f3f6",-4681.673015832901,"unknown",-4674.696497678757,-4667.454566240311,0.0,5.887717962265015,14.053863525390625,20.072625875473022,40.20085692405701,46.35742712020874,77.1563048362732,"unknown",82.9101791381836,88.73351168632507,95.16745734214783,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",100.40977239608765,"unknown","unknown",107.26803159713745
"62447b9",-189933.59207558632,"unknown",-189927.16590428352,-189921.0391817093,0.0,6.000628709793091,8.28903079032898,14.388538360595703,25.659621953964233,31.963316440582275,54.94107151031494,61.64836764335632,"unknown",67.54677104949951,77.91699695587158,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",84.34673595428467,"unknown","unknown",90.28526043891907
"20f3e2e",-7110.930870056152,"unknown",-7105.236659288406,-7099.021629571915,0.0,6.145814895629883,11.439086437225342,18.094199895858765,58.837915897369385,65.06504416465759,69.67070841789246,75.82396483421326,"unknown",82.12551689147949,84.24175477027893,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",91.28656029701233,"unknown","unknown",97.27143144607544
"4e53c5c",-693.5991020202637,"unknown",-687.9445631504059,-681.7294743061066,0.0,7.083221435546875,15.608841180801392,22.469136953353882,54.16028904914856,60.7912073135376,67.84360432624817,74.72361135482788,"unknown",81.84741163253784,83.72813606262207,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",89.59530806541443,"unknown","unknown",95.97994351387024
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-26725.807151317596,"unknown",-26719.26542210579,-26713.45378756523,0.0,6.472975492477417,9.14348816871643,16.395456552505493,95.1780469417572,100.49998712539673,119.21167707443237,125.52167963981628,"unknown",132.1702160835266,133.93105959892273,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",140.41142058372498,"unknown","unknown",145.70110154151917
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-7001.572630643845,"unknown",-6995.553975105286,-6990.119945526123,0.0,7.150205135345459,10.325491905212402,15.718598127365112,29.190953254699707,36.098515033721924,40.73838949203491,45.96691083908081,"unknown",52.51996445655823,54.5046591758728,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.11850428581238,"unknown","unknown",67.38729119300842
"ea8c0d6",-109146.02546262741,"unknown",-109139.81971240044,-109133.2853012085,0.0,6.510294675827026,10.116338014602661,15.4158456325531,119.15718293190002,125.0205500125885,143.62085247039795,150.45901203155518,"unknown",157.37140369415283,159.33342266082764,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",165.679270029068,"unknown","unknown",171.17657279968262
"7cf831f",-2065.820237159729,"unknown",-2059.9533038139343,-2054.256477355957,0.0,7.536091327667236,13.365686416625977,19.888280868530273,36.78711152076721,43.794328927993774,48.865375995635986,55.83651375770569,"unknown",62.35900163650513,64.60332465171814,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.84795832633972,"unknown","unknown",78.02542901039124
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-491.1623203754425,"unknown",-485.5697193145752,-478.6815242767334,0.0,5.421708822250366,61.3002564907074,67.90374302864075,76.42357158660889,82.95148992538452,85.64991736412048,92.70060300827026,"unknown",99.33403491973877,104.99501490592957,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",111.45554065704346,"unknown","unknown",116.78008246421814
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-8431.746297121048,"unknown",-8425.533287525177,-8418.592289686203,0.0,5.88260817527771,19.493874311447144,26.350406885147095,37.698124408721924,43.95732593536377,107.90894317626953,114.17474961280823,"unknown",121.28191709518433,124.31327533721924,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",130.18234181404114,"unknown","unknown",136.10621285438538
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-24492.169410467148,"unknown",-24486.324300289154,-24480.700741767883,0.0,6.954345226287842,54.333903551101685,60.677701234817505,64.04642033576965,70.10456967353821,124.57223272323608,130.85484337806702,"unknown",137.7482557296753,145.87407445907593,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",152.26516199111938,"unknown","unknown",157.6632924079895
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","",""
