"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","7_1"
"518e9b8",-2801.4914586544037,"unknown",-2795.203757047653,-2788.992416381836,0.0,7.051492691040039,18.70865511894226,26.3907573223114,33.83749222755432,40.52176260948181,58.85313534736633,65.33192372322083,"unknown",72.10722255706787,77.22614240646362,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",83.56841993331909,"unknown","unknown",88.93406820297241,""
"b5edd3c",-281651.8675804138,"unknown",-281645.4746658802,-281638.5816421509,0.0,13.657044887542725,1164.2898592948914,1172.1550002098083,1185.3784182071686,1191.8623502254486,1194.7278091907501,1201.5488069057465,"unknown",1207.8664243221283,1209.61874127388,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",1215.155837059021,"unknown","unknown",1220.5764849185944,""
"374ecf8",-7184.356087684631,"unknown",-7177.944251775742,-7172.158971071243,0.0,6.007068872451782,10.500534772872925,18.873491764068604,47.31754732131958,53.05901622772217,65.68130230903625,72.45294761657715,"unknown",78.49978590011597,81.9150276184082,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.76355600357056,"unknown","unknown",93.81829857826233,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,6.757132053375244,10.980079650878906,18.261584997177124,39.643494606018066,46.32717418670654,53.46708393096924,59.849822998046875,"unknown",66.44203472137451,94.4377601146698,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",99.77194905281067,"unknown","unknown",104.98942399024963,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-27446.47728419304,"unknown",-27440.875985383987,-27434.338413238525,0.0,6.762754678726196,8.286726951599121,15.826233863830566,23.635454416275024,29.478692531585693,40.37459588050842,"unknown",45.732566118240356,52.232173204422,54.558358907699585,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.809874534606934,"unknown","unknown",68.94299721717834,""
"ac6f3f6",-15.340421915054321,"unknown",-8.946870565414429,-2.335162878036499,0.0,6.775017738342285,9.186272382736206,16.84981632232666,40.18096423149109,46.278727293014526,61.04690194129944,"unknown",66.32979249954224,73.32947754859924,81.93773198127747,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.44636225700378,"unknown","unknown",94.26770758628845,""
"62447b9",-939284.1479098797,"unknown",-939277.2729053497,-939269.828461647,0.0,6.259570121765137,12.23781681060791,20.849689960479736,38.85766792297363,45.530839681625366,53.11925673484802,59.145769119262695,"unknown",66.03930497169495,68.92625331878662,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.43390583992004,"unknown","unknown",81.07732486724854,""
"20f3e2e",-47034.5303337574,"unknown",-47028.6228556633,-47023.322764635086,0.0,6.7325050830841064,22.993072986602783,30.252857446670532,121.72086000442505,127.1050443649292,150.617285490036,157.3128798007965,"unknown",163.25046586990356,165.02555751800537,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",170.97481226921082,"unknown","unknown",177.06753063201904,""
