"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-104994.37182426453,"unknown",-104988.35430574417,-104982.0490128994,0.0,5.85351037979126,46.599791049957275,55.44219350814819,57.84855842590332,63.71852493286133,72.8040041923523,78.46900153160095,"unknown",84.02080917358398,85.99874544143677,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",91.34957504272461,"unknown","unknown",96.86762070655823
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-3235.10747051239,"unknown",-3227.1340816020966,-3220.181578874588,0.0,7.055535316467285,9.381105661392212,16.305903434753418,24.374980211257935,30.270584106445312,33.9351921081543,40.065253257751465,"unknown",46.83747172355652,49.06330919265747,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",56.0053493976593,"unknown","unknown",61.30010008811951
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-35419.42775154114,"unknown",-35413.23612737656,-35406.881980895996,0.0,7.072730302810669,10.920340299606323,18.929627418518066,29.875100135803223,36.78246259689331,39.33357787132263,45.78963327407837,"unknown",52.20470666885376,55.963484048843384,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.662161350250244,"unknown","unknown",68.73785591125488
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-137089.82750225067,"unknown",-137083.39330124855,-137076.57085990906,0.0,6.069580078125,9.96513557434082,19.674870014190674,81511.12425303459,81517.86978530884,81523.5042681694,81530.64495563507,"unknown",81536.44218540192,81544.86137032509,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",81551.21605563164,"unknown","unknown",81557.66568231583
"ac6f3f6",-450.01545095443726,"unknown",-444.11170840263367,-438.24057054519653,0.0,6.538508892059326,25.05439829826355,32.40047001838684,53.11890435218811,60.29499316215515,65.87309145927429,71.54456329345703,"unknown",77.37032747268677,79.56756615638733,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",86.17148184776306,"unknown","unknown",91.60200071334839
"62447b9",-118971.97345328331,"unknown",-118965.26559710503,-118959.53705620766,0.0,5.4655601978302,8.314662218093872,17.220285177230835,35.3504159450531,41.059789419174194,50.89485144615173,57.6987419128418,"unknown",63.9303879737854,66.54181146621704,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.45834708213806,"unknown","unknown",80.28394269943237
"20f3e2e",-20256.430925369263,"unknown",-20249.71321296692,-20243.736752986908,0.0,6.500389814376831,15.670978546142578,22.610240697860718,44.14200258255005,50.43518280982971,62.267948627471924,69.57185482978821,"unknown",76.68573832511902,79.05850076675415,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",84.57908892631531,"unknown","unknown",90.79125380516052
