"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-15498.998266220093,"unknown",-15493.058581113815,-15487.63588309288,0.0,6.858747720718384,26.0379421710968,31.903199434280396,1090.467208147049,1096.2076156139374,1119.3075976371765,1126.0256097316742,"unknown",1132.354736328125,1135.9917249679565,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",1142.7812337875366,"unknown","unknown",1148.49000954628
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-41077.09061193466,"unknown",-41071.33918476105,-41065.5906932354,0.0,5.92180609703064,8.667248725891113,15.280686378479004,17.462324857711792,22.86886429786682,41.400755167007446,"unknown",48.59229803085327,54.0981342792511,55.639371395111084,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.568394899368286,"unknown","unknown",69.48371815681458
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-54615.739964962006,"unknown",-54608.67362642288,-54601.826930999756,0.0,6.275326728820801,21.94675612449646,27.915851593017578,117.67618775367737,124.33490633964539,130.57689785957336,"unknown",136.178640127182,143.3209626674652,148.29663753509521,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",155.34385919570923,"unknown","unknown",161.65332126617432
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-306.0112886428833,"unknown",-299.03791189193726,-293.26968717575073,0.0,6.338245868682861,3194.5623989105225,3200.1166718006134,3201.5455470085144,3208.6686267852783,3218.3978838920593,"unknown",3225.367917776108,3230.983095407486,3236.304543495178,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",3241.6335656642914,"unknown","unknown",3247.3264586925507
"ac6f3f6",-1594.1759133338928,"unknown",-1588.3614566326141,-1581.5836672782898,0.0,6.765517950057983,19.451935291290283,26.440815210342407,147.35060787200928,152.97933197021484,161.00440216064453,167.56766629219055,"unknown",173.56143140792847,175.84350991249084,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",182.6856472492218,"unknown","unknown",189.18625617027283
"62447b9",-332570.20103001595,"unknown",-332563.2832355499,-332557.0683219433,0.0,6.306229591369629,9.046462059020996,15.583755731582642,34.5515353679657,41.300748348236084,81.59299302101135,"unknown",88.05920267105103,93.53225708007812,95.79463791847229,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",101.42771673202515,"unknown","unknown",107.3568058013916
"20f3e2e",-23511.746940612793,"unknown",-23505.857671022415,-23500.462813854218,0.0,6.450812339782715,25.065351486206055,30.632404088974,57.354684591293335,64.35054802894592,74.70212602615356,81.26220369338989,"unknown",88.1998519897461,90.46460914611816,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",96.28041791915894,"unknown","unknown",103.61383366584778
