"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-44976.680184841156,-44969.584284067154,-44963.7708337307,-44957.907531023026,0.0,6.838210344314575,8.307053089141846,14.360762357711792,24.198959827423096,31.4329617023468,38.746161460876465,"unknown",44.59899067878723,51.98008346557617,56.61970543861389,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",63.53797650337219,"unknown","unknown",69.98266100883484
"b5edd3c",-22798.26589989662,-22791.655900001526,-22786.242796182632,-22778.999905347824,0.0,7.263080596923828,13.794569969177246,19.323848724365234,29.0901460647583,35.84751081466675,40.93781280517578,"unknown",47.44556427001953,53.68152379989624,56.154940366744995,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.42484450340271,"unknown","unknown",67.75576782226562
"374ecf8",-10345.480746507645,-10339.726732730865,-10333.067056655884,-10325.728128671646,0.0,5.73415470123291,7.95085597038269,14.483176231384277,22.21731925010681,28.371761560440063,44.99517369270325,"unknown",50.827934980392456,57.34237241744995,59.3148467540741,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.2541012763977,"unknown","unknown",71.86308193206787
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",9.014983415603638,"unknown",118.37885904312134,"unknown",133.94802904129028,"unknown","unknown","unknown",177.54585719108582,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-26341.80974173546,-26335.120859622955,-26329.6822514534,-26323.38153886795,0.0,7.193512439727783,16.580543756484985,21.922713041305542,31.6443932056427,38.720752477645874,44.184606313705444,"unknown",49.92317843437195,56.37934708595276,57.86237907409668,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.0749294757843,"unknown","unknown",70.76144647598267
"ac6f3f6",-23.492295026779175,-16.563395261764526,-9.898953914642334,-2.7129175662994385,0.0,6.559014797210693,52.20889902114868,58.614819049835205,70.5794665813446,76.45214056968689,88.29254674911499,"unknown",94.12099575996399,100.26629948616028,102.1943006515503,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",108.46342635154724,"unknown","unknown",114.28379201889038
"62447b9",-205588.03761315346,-205582.2831645012,-205576.44691061974,-205569.3116106987,0.0,6.792687654495239,9.467039108276367,15.758218050003052,39.39677047729492,45.38151550292969,97.62182879447937,"unknown",103.3063633441925,109.6221923828125,111.50919556617737,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",118.56646609306335,"unknown","unknown",124.39936566352844
"20f3e2e",-4192.338981151581,-4186.973277330399,-4180.146949768066,-4173.842662334442,0.0,5.409728765487671,11.086649656295776,17.591968297958374,48.01545786857605,53.868534326553345,81.41582703590393,"unknown",88.03813576698303,94.22858476638794,114.45290923118591,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",119.9514946937561,"unknown","unknown",125.35453081130981
