"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1"
"518e9b8",-26814.134214639664,"unknown",-26807.18748998642,-26801.277093172073,0.0,6.337944030761719,12.126561403274536,20.92542862892151,26.05681824684143,32.49043393135071,45.1632878780365,"unknown",50.88086271286011,56.36603856086731,57.99139094352722,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",65.15257477760315,"unknown","unknown",71.69847226142883,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-20967.970581531525,"unknown",-20961.430847644806,-20954.231215953827,0.0,6.480152606964111,79.19345259666443,86.2326557636261,89.39893174171448,94.92831540107727,119.70981907844543,"unknown",126.44934177398682,132.1028606891632,133.60758686065674,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",139.4222059249878,"unknown","unknown",145.6208884716034,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-8743.157219409943,"unknown",-8737.037507295609,-8730.274917602539,0.0,6.589335918426514,9.203052997589111,16.675323247909546,30.16623544692993,36.16776442527771,46.59141421318054,"unknown",53.09465265274048,60.057058572769165,63.07285666465759,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.61196756362915,"unknown","unknown",76.3875675201416,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-13391.66658115387,"unknown",-13385.679369688034,-13378.632530927658,0.0,6.803311347961426,9.009978532791138,16.59685492515564,27.044979572296143,32.232661724090576,36.5089898109436,"unknown",42.450815200805664,48.87653303146362,54.758641719818115,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.36493444442749,"unknown","unknown",68.48341202735901,""
"ac6f3f6",-23.908968448638916,"unknown",-18.59225368499756,-11.630967378616333,0.0,7.17425274848938,18.891143560409546,26.657066345214844,73.75713419914246,79.05845475196838,119.39506149291992,125.88626146316528,"unknown",132.51721000671387,141.68525218963623,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",148.90237021446228,"unknown","unknown",154.30577421188354,""
"62447b9",-30105.739801883698,"unknown",-30100.36373615265,-30094.62509727478,0.0,5.995264291763306,7.753405570983887,15.71709942817688,30.963642120361328,37.92169451713562,67.63347673416138,"unknown",73.10935473442078,79.74119758605957,88.07247281074524,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",95.17340779304504,"unknown","unknown",102.37705850601196,""
"20f3e2e",-1211.9626944065094,"unknown",-1205.503945350647,-1199.3836421966553,0.0,6.038555145263672,11.60316801071167,19.236403942108154,38.3891384601593,45.43296194076538,52.85273313522339,"unknown",58.81719398498535,65.66791009902954,67.39537787437439,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.75749683380127,"unknown","unknown",79.19032144546509,""
"4e53c5c",-32447.840903043747,"unknown",-32441.266677379608,-32435.405141592026,0.0,6.246721029281616,23.346468925476074,30.778968572616577,59.349637508392334,66.71025037765503,79.73348140716553,85.44063639640808,"unknown",91.59560942649841,94.3594696521759,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",100.08779883384705,"unknown","unknown",106.17690896987915,""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-4484.154372692108,"unknown",-4478.461138010025,-4472.96600651741,0.0,5.546617269515991,8.363027572631836,15.711459875106812,31.597212076187134,38.74751925468445,65.21074485778809,"unknown",72.02265000343323,78.54769015312195,79.92400550842285,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",86.74362373352051,"unknown","unknown",93.48486948013306,""
