"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","2_1","5_1","4_1","4_2"
"518e9b8",-19790.72426700592,"unknown",-19785.320335388184,-19778.143664360046,0.0,5.836980104446411,22.191555976867676,27.462539196014404,64.78634786605835,70.50029158592224,94.13459992408752,"unknown",100.91489267349243,106.29444670677185,119.19930815696716,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",124.59106421470642,"unknown","unknown",131.25809621810913,"","","",""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",15.240311622619629,"unknown",30.303040981292725,"unknown",44.92716956138611,"unknown","unknown","unknown",59.02749013900757,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"374ecf8",-1988733.705821991,"unknown",-1988728.243335247,-1988722.7277202606,0.0,5.978647947311401,13.878648042678833,20.605879545211792,31.247459173202515,37.90740180015564,61.60734272003174,67.65837168693542,"unknown",73.4823100566864,75.73380517959595,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",82.70866441726685,"unknown","unknown",89.52503037452698,-5739.072437286377,"","",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",12.646252155303955,"unknown",28.218478202819824,"unknown",49.764891624450684,"unknown","unknown","unknown",65.34680938720703,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"8d2da97",-3002.3171031475067,"unknown",-2996.3983840942383,-2989.1790404319763,0.0,6.888882875442505,716.90571808815,723.3105125427246,731.7080760002136,738.6277160644531,642907.6881957054,"unknown",642914.8112254143,642921.2011771202,642923.8417322636,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",642930.3464808464,"unknown","unknown",642935.8670723438,"",637535.0412917137,"",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",10.71195101737976,"unknown",18.05070686340332,"unknown",35.72592759132385,"unknown","unknown","unknown",58.418517112731934,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",8.424748659133911,"unknown",91.99159622192383,"unknown",134.40796041488647,"unknown","unknown","unknown",154.1754469871521,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",10.352574586868286,"unknown",32.53699564933777,"unknown",61.549466609954834,"unknown","unknown","unknown",76.69195008277893,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",57.048290491104126,"unknown",83.06806468963623,"unknown",106.2445719242096,"unknown","unknown","unknown",120.36435961723328,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"4e53c5c","unknown","unknown","unknown","unknown",0.0,"unknown",15.87431812286377,"unknown",43.42646813392639,"unknown",65.36788201332092,"unknown","unknown","unknown",79.06100988388062,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",79.87456202507019,"unknown",102.00517344474792,"unknown",126.26743173599243,"unknown","unknown","unknown",145.33828616142273,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c",-16029.199078559875,"unknown",-16023.152611970901,-16017.066004514694,0.0,6.083579063415527,106.74934077262878,113.9832751750946,132.53326177597046,138.71750330924988,179.8095543384552,186.9723720550537,"unknown",193.16231203079224,317.6799569129944,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",325.1515784263611,"unknown","unknown",331.84963512420654,"","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",24.95538640022278,"unknown",42.70982527732849,"unknown",75.73591947555542,"unknown","unknown","unknown",89.51756501197815,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"ea8c0d6","unknown","unknown","unknown","unknown",0.0,"unknown",11.658948421478271,"unknown",39.94858384132385,"unknown",102.62449765205383,"unknown","unknown","unknown",119.03686809539795,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",263526.03210163116,"unknown",1219166.5661067963,"unknown",1219189.5927262306,"unknown","unknown","unknown",1219204.7798082829,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"41f497c",-4453.308490753174,"unknown",-4447.179162740707,-4440.286212921143,0.0,5.67313289642334,11.122931957244873,16.764121532440186,39.98756694793701,46.24211263656616,55.5985689163208,61.15728998184204,"unknown",67.33246040344238,69.19393062591553,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",75.74566674232483,"unknown","unknown",81.9135308265686,"","","",""
