"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1"
"518e9b8",-25215.66161084175,"unknown",-25209.097374677658,-25202.841220617294,0.0,6.630340814590454,525.0225269794464,530.706166267395,532.1508939266205,538.9898071289062,3380.992119550705,"unknown",3388.056619644165,3394.336839914322,3481.4872801303864,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",3487.4486384391785,"unknown","unknown",3494.314686059952,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-38403.19812774658,"unknown",-38396.712720394135,-38389.59360909462,0.0,6.255047559738159,17.349730968475342,23.87277603149414,28.869911909103394,34.92971110343933,56.18824577331543,"unknown",61.67523550987244,68.82567143440247,75.87647938728333,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",82.02511215209961,"unknown","unknown",88.51676535606384,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-133638.44008159637,"unknown",-133631.82914924622,-133625.85012960434,0.0,6.398534536361694,8.368456602096558,14.919049501419067,1117.7277126312256,1123.5605762004852,1134.673148393631,"unknown",1140.962296962738,1147.3501224517822,1148.9618635177612,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",1155.5511782169342,"unknown","unknown",1162.6280727386475,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-254062.12014102936,"unknown",-254056.83146595955,-254051.17339372635,0.0,5.314595460891724,10.49525237083435,17.34100365638733,29.32903265953064,36.115559101104736,43.10362887382507,"unknown",48.691569805145264,55.13803005218506,56.601253509521484,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",63.45248317718506,"unknown","unknown",70.19652199745178,""
"ac6f3f6",-43573.367174863815,"unknown",-43566.59628033638,-43559.38899755478,0.0,6.270073413848877,25.64097309112549,31.989102125167847,59.531615018844604,65.77088356018066,77.48299789428711,"unknown",83.54063677787781,90.051926612854,92.18321442604065,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",99.49067759513855,"unknown","unknown",105.3712522983551,""
"62447b9",-1754422.7162163258,"unknown",-1754417.1806073189,-1754410.2535793781,0.0,6.488040447235107,11.039818525314331,17.910565614700317,29.197848558425903,36.06504487991333,45.09869194030762,"unknown",50.93387842178345,56.52329158782959,58.498778343200684,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.63646388053894,"unknown","unknown",72.51793813705444,""
"20f3e2e",-22298.44547200203,"unknown",-22291.807558059692,-22286.409077644348,0.0,6.972704887390137,21.53267550468445,27.58470320701599,44.14971351623535,49.51742172241211,64.61281824111938,"unknown",71.63418626785278,78.54697251319885,80.27420783042908,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.30617952346802,"unknown","unknown",94.60565233230591,""
