"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","7_1","2_1"
"518e9b8",-5564.412361860275,"unknown",-5558.791435956955,-5552.525103569031,0.0,6.044519424438477,11.416132926940918,18.603733777999878,121.5152633190155,134.9988353252411,140.6429591178894,146.37278771400452,"unknown",152.68942880630493,154.8783950805664,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",160.9548261165619,"unknown","unknown",167.0027368068695,"",""
"b5edd3c",-28203.487820148468,"unknown",-28197.810714244843,-28191.892300367355,0.0,6.911342620849609,11.067136287689209,18.32661461830139,39.76621437072754,45.44332218170166,50.01454043388367,56.77254939079285,"unknown",63.487509965896606,65.2010543346405,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",71.83536911010742,"unknown","unknown",77.80010223388672,"",""
"374ecf8",-9681.901513338089,"unknown",-9675.950073480606,-9668.915397405624,0.0,6.113015174865723,10.431735754013062,16.092028379440308,47.088391065597534,53.63287281990051,59.37928104400635,66.42781233787537,"unknown",72.72968697547913,74.29499006271362,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",80.648197889328,"unknown","unknown",87.51485538482666,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",21.285531044006348,"unknown",62.39999294281006,"unknown",87.8505790233612,"unknown","unknown","unknown",132.80636835098267,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-10282.514678239822,"unknown",-10276.601524114609,-10270.378864049911,0.0,6.229276895523071,9.804929256439209,15.8716459274292,38.41333508491516,45.055331230163574,58.78015160560608,65.01937055587769,"unknown",72.30770540237427,73.89179134368896,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",80.31888675689697,"unknown","unknown",86.93448376655579,"",""
"2541155",-5771.938855886459,"unknown",-5765.840440988541,-5760.126367807388,0.0,6.823538780212402,8.239485502243042,15.12079668045044,32.01000213623047,39.39149069786072,46.57757115364075,52.73284411430359,"unknown",58.64657115936279,60.97043800354004,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.76600384712219,"unknown","unknown",73.47675013542175,"",""
"ac6f3f6",-16.082642555236816,"unknown",-8.992809057235718,-1.79231858253479,0.0,6.394660472869873,9.612797737121582,15.866822242736816,17.873054027557373,24.382450819015503,78.8337516784668,84.51624894142151,"unknown",90.81883215904236,93.99563717842102,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",100.68197441101074,"unknown","unknown",107.05494928359985,"",""
"62447b9",-368936.0086071491,"unknown",-368928.8416647911,-368922.1338467598,0.0,6.690114736557007,11.24834942817688,18.422267198562622,54.19839429855347,60.07974648475647,131.95410418510437,138.70342206954956,"unknown",145.0155065059662,177.79123711585999,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",184.22961378097534,"unknown","unknown",190.05223155021667,"",""
"20f3e2e",-37832.46823501587,"unknown",-37825.76995038986,-37819.2422516346,0.0,6.595832109451294,20.597527265548706,26.78046703338623,86.26181244850159,92.48034644126892,126.56678414344788,133.85718178749084,"unknown",140.34980249404907,142.78144764900208,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",149.63267636299133,"unknown","unknown",154.95663046836853,"",""
