"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","7_1","3_1"
"518e9b8",-2318.1948432922363,"unknown",-2312.0600559711456,-2305.900388240814,0.0,6.8711934089660645,11.339357852935791,19.318471908569336,34.42978763580322,40.664228200912476,49.15673041343689,56.33293175697327,"unknown",63.37780785560608,66.48807978630066,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.22997117042542,"unknown","unknown",79.10758423805237,"","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-2554.482906103134,"unknown",-2548.229822874069,-2541.2254395484924,0.0,5.550877094268799,7.8160834312438965,15.72744369506836,19.09099793434143,25.592843055725098,33.18338966369629,40.166959047317505,"unknown",47.960246086120605,50.521299600601196,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",57.09148621559143,"unknown","unknown",63.13395285606384,"","",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-188.56197381019592,"unknown",-182.61606216430664,-176.50178265571594,0.0,6.288396835327148,7.959448337554932,16.30536127090454,25.811833381652832,32.88860511779785,37.45918416976929,43.04785466194153,"unknown",48.91443705558777,51.231360912323,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",56.96037745475769,"unknown","unknown",63.301563024520874,"","",""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-383.2929310798645,"unknown",-377.47172379493713,-371.74886417388916,0.0,6.762952566146851,15.715335607528687,24.102932929992676,36.52853584289551,43.594547510147095,68.19652557373047,75.53442358970642,"unknown",81.02314901351929,88.37092733383179,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",95.62249851226807,"unknown","unknown",102.74134802818298,"","",""
"ac6f3f6",-48.699145793914795,"unknown",-42.755974531173706,-37.32478928565979,0.0,7.149385213851929,9.385228633880615,17.696175575256348,54.86158728599548,60.842244386672974,5927.440991401672,5933.873603582382,"unknown",5941.197762966156,5943.023884057999,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",5949.791378259659,"unknown","unknown",5956.748801231384,"","",""
"62447b9",-24612.315111637115,"unknown",-24606.893360853195,-24600.60371875763,0.0,5.794374942779541,8.839980125427246,16.62137222290039,30.280787467956543,37.238441944122314,67.97989058494568,74.32259011268616,"unknown",81.23959851264954,83.08378481864929,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",89.94537448883057,"unknown","unknown",97.00805687904358,"","",""
"20f3e2e",-2577.547331571579,"unknown",-2570.784495830536,-2565.061404466629,0.0,6.744531631469727,31.960262775421143,39.15464758872986,63.60867142677307,70.68649649620056,92.13607096672058,99.46398901939392,"unknown",105.67313838005066,107.24269437789917,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",113.51949524879456,"unknown","unknown",120.72075629234314,"","",""
"4e53c5c",-102.26666378974915,"unknown",-97.0332453250885,-91.79212236404419,0.0,6.7452309131622314,17.633660793304443,26.396021366119385,50.90781044960022,57.59140396118164,68.41316246986389,74.17397689819336,"unknown",80.09315514564514,81.90942907333374,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.65387487411499,"unknown","unknown",93.9117522239685,"","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-38779.616206884384,"unknown",-38773.317603349686,-38767.6453101635,0.0,6.55011773109436,11.112865447998047,19.73349690437317,41.84791803359985,47.70919060707092,56.810709953308105,62.96820783615112,"unknown",68.98999333381653,70.93247246742249,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",78.10166478157043,"unknown","unknown",83.39115500450134,"","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-12048.889448404312,"unknown",-12042.824396848679,-12036.274817466736,0.0,6.002262115478516,9.380316972732544,16.970263957977295,42.672123193740845,50.018590211868286,56.00299882888794,62.50362849235535,"unknown",68.95694422721863,71.0000307559967,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.67334866523743,"unknown","unknown",83.94227838516235,"","",""
"ea8c0d6",-622428.3850374222,"unknown",-622422.9008898735,-622416.3884730339,0.0,6.762108325958252,10.637895822525024,18.69873070716858,50.36081886291504,56.02445077896118,65.11703395843506,71.71141481399536,"unknown",77.26150465011597,79.3561806678772,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",86.36926317214966,"unknown","unknown",92.9295699596405,"","",""
"7cf831f",-1043.5030517578125,"unknown",-1037.8706448078156,-1031.0389606952667,0.0,6.815910816192627,149.32557201385498,157.14929246902466,172.16137504577637,178.16564464569092,185.01061248779297,190.64426922798157,"unknown",197.05917596817017,202.6394805908203,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",208.8643238544464,"unknown","unknown",215.12518095970154,"","",""
