"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-23074.529544830322,-23069.029014110565,-23063.034736394882,-23057.15180516243,0.0,6.920624256134033,11.16021466255188,17.543084144592285,20.83078145980835,27.316285610198975,34.60744786262512,40.7695574760437,"unknown",47.093207120895386,49.987308502197266,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",55.81650710105896,"unknown","unknown",62.783453702926636
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-7825.299923658371,-7819.026128292084,-7813.289350271225,-7806.164214849472,0.0,6.714973449707031,8.586403608322144,14.135478973388672,34.90493679046631,41.62107181549072,47.08854055404663,54.22245240211487,"unknown",59.86780261993408,61.28376793861389,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",68.1525366306305,"unknown","unknown",75.26326751708984
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-81757.78219509125,-81752.41197991371,-81745.84335899353,-81739.79561114311,0.0,6.858536958694458,93.28887128829956,100.18506574630737,128.775737285614,135.7779266834259,142.60123753547668,148.27176547050476,"unknown",154.83302187919617,162.71526789665222,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",168.3942482471466,"unknown","unknown",173.8124704360962
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-10077.816907644272,-10072.417182922363,-10065.633883237839,-10059.506503343582,0.0,5.907307386398315,11.426689863204956,17.773242473602295,77.0412847995758,84.2009379863739,92.3154845237732,98.98492813110352,"unknown",105.23388361930847,109.10476326942444,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",115.41962957382202,"unknown","unknown",121.33774304389954
"ac6f3f6",-525.0920522212982,-342.9538035392761,-161.1390883922577,-19.068245887756348,0.0,42.25927376747131,197.17660331726074,203.7727301120758,910.5375940799713,917.4020521640778,924.8107092380524,932.1155867576599,"unknown",938.114305973053,948.6071116924286,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",958.507744550705,"unknown","unknown",965.5116951465607
"62447b9",-206501.3976881504,-206494.7910606861,-206487.52073311806,-206481.48857831955,0.0,5.427821636199951,13.036339282989502,18.455917835235596,34.87798047065735,42.28658604621887,48.883209228515625,55.11593770980835,"unknown",61.350008726119995,64.15510082244873,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",70.86951422691345,"unknown","unknown",77.27404117584229
"20f3e2e",-24854.192441940308,-24848.461522579193,-24842.436285495758,-24836.145230054855,0.0,7.4172303676605225,31.720028400421143,37.49025774002075,61.04045844078064,67.74318599700928,75.37388181686401,81.62002110481262,"unknown",88.73104906082153,90.57606673240662,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",96.13115382194519,"unknown","unknown",101.83603572845459
