"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1","4_1"
"518e9b8",-37695.70245504379,"unknown",-37688.500076293945,-37682.650222063065,0.0,5.627861738204956,9.280467987060547,17.773552179336548,28.69511389732361,34.87694954872131,44.501734256744385,"unknown",50.575581789016724,56.72688436508179,59.77050232887268,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.19951391220093,"unknown","unknown",72.20792317390442,"",""
"b5edd3c",-194250.8136560917,"unknown",-194244.72392201424,-194239.0132882595,0.0,6.509375333786011,10.979118824005127,19.622835159301758,29.397165775299072,34.900460958480835,40.13696765899658,47.09854865074158,"unknown",53.90841603279114,55.662270069122314,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.287397146224976,"unknown","unknown",68.88892817497253,"",""
"374ecf8",-85944.09418916702,"unknown",-85938.08063483238,-85932.42514371872,0.0,5.709526538848877,8.897860527038574,16.348140001296997,29.678393125534058,35.442864656448364,41.21107530593872,46.70485234260559,"unknown",53.18630337715149,54.83459734916687,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.16533589363098,"unknown","unknown",66.50948119163513,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",39.31206154823303,"unknown",60.72928214073181,"unknown",78.91133165359497,"unknown","unknown","unknown",93.60929751396179,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-15.043843269348145,"unknown",-9.151511907577515,-2.766251802444458,0.0,6.926431179046631,9.603172779083252,18.257699012756348,28.676790475845337,33.99225616455078,40.68781852722168,"unknown",46.451608180999756,52.32280731201172,54.44083094596863,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.39004611968994,"unknown","unknown",67.48037338256836,"",""
"2541155",-11404.76790523529,"unknown",-11397.537559270859,-11391.73788690567,0.0,5.412990093231201,6.986920595169067,15.196735620498657,26.591871976852417,32.24355697631836,37.02164626121521,43.20218896865845,"unknown",50.43012619018555,52.116944551467896,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",58.42642331123352,"unknown","unknown",64.69096183776855,"",""
"ac6f3f6",-5550.505727291107,"unknown",-5543.512714385986,-5536.7131469249725,0.0,6.504498243331909,9.949422359466553,18.054330825805664,31.483525276184082,37.16908931732178,45.93975806236267,"unknown",52.72318911552429,58.017268896102905,61.26248526573181,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",68.20695400238037,"unknown","unknown",75.52746248245239,"",""
"62447b9",-665747.9125225544,"unknown",-665742.1302559376,-665735.3555877209,0.0,5.705914497375488,10.560404539108276,18.703311443328857,33.52854013442993,40.5658438205719,48.40586519241333,55.28377103805542,"unknown",62.34373092651367,69.93927359580994,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",76.06659984588623,"unknown","unknown",81.93092083930969,"",""
"20f3e2e",-16451.31023454666,"unknown",-16445.930354356766,-16439.294126033783,0.0,6.971358299255371,13.726884603500366,22.68763041496277,62.228838205337524,68.8260703086853,137.0699110031128,143.72659850120544,"unknown",150.63159227371216,152.82901096343994,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",159.47365951538086,"unknown","unknown",166.0879671573639,"",""
"4e53c5c",-92878.71686577797,"unknown",-92871.73385763168,-92865.75545740128,0.0,5.620797634124756,12.650742292404175,20.009859800338745,39.89725089073181,45.21767616271973,55.83234715461731,"unknown",62.42371344566345,67.87863421440125,70.09713363647461,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.14836359024048,"unknown","unknown",84.33072423934937,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-16514.906228780746,"unknown",-16507.723101615906,-16501.812215328217,0.0,7.004568338394165,9.63984727859497,16.549898862838745,34.703572511672974,41.584981203079224,54.14368534088135,60.489962339401245,"unknown",66.78611993789673,70.0693564414978,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",76.20948672294617,"unknown","unknown",82.92143368721008,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-4192.0836482048035,"unknown",-4185.479704856873,-4178.457540988922,0.0,5.639336347579956,10.721543312072754,18.05314588546753,43.091819763183594,48.65074014663696,56.18605852127075,62.86545372009277,"unknown",68.66563034057617,70.96447610855103,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.71356725692749,"unknown","unknown",83.70852375030518,"",""
"ea8c0d6",-414974.95095324516,"unknown",-414968.26824855804,-414962.779750824,0.0,6.2983925342559814,9.614950895309448,18.064045906066895,31.968072414398193,38.66949510574341,50.417654037475586,56.609575033187866,"unknown",62.92469024658203,65.57657027244568,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",72.68605542182922,"unknown","unknown",78.07707047462463,"",""
"7cf831f",-83635.64112305641,"unknown",-83629.98843502998,-83623.33786129951,0.0,6.153036117553711,34.35878610610962,41.90591073036194,61.84561777114868,68.43159341812134,122.8238365650177,129.6584665775299,"unknown",136.1694474220276,139.16565704345703,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",145.2268226146698,"unknown","unknown",151.914044380188,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-273.97645592689514,"unknown",-268.3623275756836,-262.3996226787567,0.0,7.153939723968506,49.59239983558655,57.23179531097412,63.90223050117493,69.35463166236877,74.64332365989685,"unknown",80.66235971450806,86.15837979316711,87.39228820800781,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",93.3286817073822,"unknown","unknown",98.74514079093933,"",""
"56ee475",-6428.495172023773,"unknown",-6423.124006509781,-6417.401158094406,0.0,6.1920599937438965,9.033885717391968,17.07485604286194,26.880706787109375,32.165536880493164,36.04695010185242,43.19670605659485,"unknown",49.96838116645813,52.30860185623169,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",57.90325093269348,"unknown","unknown",63.63224172592163,"",""
"916c172",-640.2691280841827,"unknown",-633.0881068706512,-627.6138048171997,0.0,5.448856353759766,100.69355607032776,109.32083201408386,1672.586061000824,1679.0020027160645,2251.886658191681,"unknown",2260.3331921100616,2266.2263016700745,2301.8010833263397,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",2308.2029576301575,"unknown","unknown",2315.0334973335266,"",""
"d9696dd",-578179.9565916061,"unknown",-578172.8373031616,-578167.3082036972,0.0,6.818840980529785,13.787606954574585,22.726911544799805,58.80701732635498,64.83100748062134,73.08679270744324,80.23363256454468,"unknown",87.08586621284485,89.77689552307129,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",97.04463124275208,"unknown","unknown",104.25799107551575,"",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-3886.2802033424377,"unknown",-3879.306183576584,-3874.000720977783,0.0,5.850015163421631,12.231739521026611,19.9472758769989,267014.14350152016,267021.4939558506,267027.2756392956,267033.2719285488,"unknown",267040.0991640091,267042.28320527077,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",267048.74562335014,"unknown","unknown",267055.1636531353,"",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-1965.2541460990906,"unknown",-1958.6455190181732,-1952.9366776943207,0.0,6.662658452987671,23.113983392715454,30.323402404785156,43.81347846984863,49.2084858417511,67.2215485572815,73.68997859954834,"unknown",79.40458154678345,81.19497227668762,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.0598692893982,"unknown","unknown",92.36602282524109,"",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-307184.1765232086,"unknown",-307178.1041276455,-307171.6314535141,0.0,6.626986503601074,11.849052906036377,19.923229217529297,37.833698749542236,44.00072979927063,88.57488083839417,"unknown",95.40818333625793,101.01150012016296,103.48731827735901,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",110.2792763710022,"unknown","unknown",116.59394097328186,"",""
"47dcadc",-4967.1906042099,"unknown",-4960.714119434357,-4953.785894393921,0.0,6.51062798500061,17.097452878952026,25.041143894195557,53.06635069847107,59.53485894203186,69.1847198009491,74.54512810707092,"unknown",80.01653051376343,83.4905412197113,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",89.98169803619385,"unknown","unknown",96.35176968574524,"",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
