"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","cont_2","2_1","2_2"
"518e9b8",-7352.597852230072,"unknown",-7346.323845863342,-7340.446879148483,0.0,5.3879618644714355,7.009170770645142,14.092967748641968,44.43060350418091,50.76713800430298,55.062260150909424,61.732908964157104,"unknown",67.56577920913696,70.50386810302734,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",76.47852635383606,"unknown","unknown",82.0613796710968,"","",""
"b5edd3c",-139612.29639601707,"unknown",-139605.98200702667,-139600.55788445473,0.0,6.728584289550781,9.993439435958862,18.492225885391235,31.136390924453735,38.49707746505737,42.836143016815186,49.920417070388794,"unknown",56.118037700653076,58.27582025527954,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",64.70708894729614,"unknown","unknown",71.28723621368408,"","",""
"374ecf8",-1605.3409502506256,"unknown",-1600.1495478153229,-1593.2918016910553,0.0,6.45674204826355,11.926472425460815,21.548243761062622,40.57746934890747,47.753310680389404,52.191808223724365,58.79606533050537,"unknown",65.88924670219421,67.65354776382446,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.01301336288452,"unknown","unknown",80.01421070098877,"","",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.157092809677124,"unknown",32.99005174636841,"unknown",52.717214584350586,"unknown","unknown","unknown",68.23751163482666,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"8d2da97",-608958.8910484314,"unknown",-608952.5468242168,-608945.9265928268,0.0,536726.5131869316,536720.6091885567,536736.6234972477,536748.1281847954,536753.8979282379,536758.6286268234,536765.5734286308,"unknown",536771.1440386772,536773.507199049,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",536780.905718565,"unknown","unknown",536787.5712046623,536729.0477509499,-12351.222922325134,530358.6399142742
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",12.569139003753662,"unknown",35.74467968940735,"unknown",48.59922814369202,"unknown","unknown","unknown",62.65375781059265,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",9.993166446685791,"unknown",35.402766704559326,"unknown",48.81433725357056,"unknown","unknown","unknown",63.9218065738678,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"62447b9",-111045.51957893372,"unknown",-111038.81583380699,-111032.69027614594,0.0,5.661257266998291,10.653123617172241,19.254948616027832,35.283329010009766,41.39634084701538,77.56420350074768,83.63311672210693,"unknown",89.82202315330505,96.86535930633545,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",102.22415208816528,"unknown","unknown",107.61894297599792,"","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",14.12508749961853,"unknown",41.82697653770447,"unknown",58.8072144985199,"unknown","unknown","unknown",74.37864017486572,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"4e53c5c",-446976.4986464977,"unknown",-446970.81666374207,-446964.24037361145,0.0,5.650330543518066,14.303938627243042,23.242820024490356,48.46587872505188,55.59114360809326,64.11337399482727,69.69707179069519,"unknown",75.82942748069763,79.69752407073975,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",85.49851751327515,"unknown","unknown",92.71757912635803,"","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",19691.98612499237,"unknown",19720.744820594788,"unknown",19732.700215101242,"unknown","unknown","unknown",19747.418799638748,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",14.93197512626648,"unknown",48.467958211898804,"unknown",62.21192121505737,"unknown","unknown","unknown",78.26244688034058,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
