"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","3_1","3_2","2_1"
"518e9b8",-46.915295362472534,"unknown",-41.17121863365173,-34.587449073791504,0.0,6.283872365951538,13.070811986923218,19.90739393234253,33.71772074699402,40.28232550621033,55.98800325393677,"unknown",62.39649534225464,68.55445551872253,71.05472993850708,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.3824245929718,"unknown","unknown",82.7370707988739,"","",""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",9.962806701660156,"unknown",28.399466037750244,"unknown",44.388805627822876,"unknown","unknown","unknown",1876.1512596607208,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"374ecf8","unknown","unknown","unknown","unknown",0.0,"unknown",15.164761781692505,"unknown",49.74947643280029,"unknown",83.23303413391113,"unknown","unknown","unknown",98.35878682136536,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"89f120b","unknown","unknown","unknown","unknown",0.0,604290.3699607849,1049470.2047467232,1049477.0686688423,1049493.2850604057,1049500.4841938019,1049532.4094514847,1049538.0776519775,"unknown",1049544.3513054848,1049546.2638633251,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",1049552.3458945751,"unknown","unknown",1049558.4122691154,604467.3949141502,1047022.0025074482,""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",14.077921390533447,"unknown",37.6538622379303,"unknown",72.1349663734436,"unknown","unknown","unknown",86.69660139083862,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"8d2da97",-213.0326704978943,"unknown",-206.8258020877838,-200.93281054496765,0.0,6.936024904251099,11.981977224349976,17.758114099502563,39.66595673561096,46.75196123123169,58.251402378082275,"unknown",65.17678499221802,71.2749228477478,73.39559483528137,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",79.24879574775696,"unknown","unknown",84.83473610877991,"","",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",15.892059326171875,"unknown",10409.541131019592,"unknown",10423.699002981186,"unknown","unknown","unknown",10441.21079993248,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",11.595752477645874,"unknown",40.6439528465271,"unknown",58.753058433532715,"unknown","unknown","unknown",72.86435508728027,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",22.52183222770691,"unknown",63.28407526016235,"unknown",105.27052211761475,"unknown","unknown","unknown",121.36204862594604,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",17.670095205307007,"unknown",73.34245085716248,"unknown",96.62000226974487,"unknown","unknown","unknown",110.3780996799469,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"4e53c5c","unknown","unknown","unknown","unknown",0.0,"unknown",17.005857944488525,"unknown",57.028764963150024,"unknown",85.07398629188538,"unknown","unknown","unknown",98.39204454421997,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"ac6ecda","unknown","unknown","unknown","unknown",0.0,"unknown",17.53992772102356,"unknown",57.30698227882385,"unknown",112.22946190834045,"unknown","unknown","unknown",128.03234791755676,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",16.00576949119568,"unknown",66.21454644203186,"unknown",86.04208445549011,"unknown","unknown","unknown",103.35813117027283,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"b8ec123",-2494289.6767749786,"unknown",-2494284.366784334,-2494277.710827112,0.0,6.478790283203125,13.40853762626648,20.353151082992554,48.218366861343384,54.483951568603516,68.75951504707336,"unknown",75.66756868362427,81.8958511352539,85.95165991783142,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",92.78020930290222,"unknown","unknown",99.59939813613892,"","",-2394394.183465004
