"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-11075.701121091843,"unknown",-11070.497625112534,-11063.884836673737,0.0,5.279031753540039,10.027550458908081,18.628576040267944,43.18752408027649,49.71512222290039,60.2860848903656,"unknown",67.87289476394653,73.09276151657104,76.35596370697021,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.81641840934753,"unknown","unknown",87.95246863365173
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-34574.028619766235,"unknown",-34568.25836062431,-34563.09058856964,0.0,5.251744031906128,41.27973484992981,48.98255228996277,56.432385206222534,62.83753418922424,72.43597650527954,"unknown",78.15326523780823,83.35502076148987,102.69202327728271,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",109.1706030368805,"unknown","unknown",116.03979158401489
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-120.58726215362549,"unknown",-114.54508471488953,-109.02116417884827,0.0,6.488752841949463,8.454233646392822,15.865047454833984,24.316879987716675,29.61664366722107,35.96912717819214,"unknown",41.789884090423584,48.29841351509094,50.95743417739868,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",57.72834300994873,"unknown","unknown",63.76422882080078
"ac6f3f6",-1689.7140412330627,"unknown",-1684.1480839252472,-1677.4272902011871,0.0,7.0249128341674805,10.658658742904663,18.49802851676941,26.5078067779541,32.25774073600769,38.60461735725403,"unknown",45.7192006111145,51.28628087043762,53.543309926986694,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.12161135673523,"unknown","unknown",66.55635261535645
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-19.59495449066162,"unknown",-13.905203104019165,-6.969243764877319,0.0,5.6075217723846436,12.87322211265564,21.228434801101685,61.128543853759766,67.29192972183228,96.35574102401733,"unknown",103.4098768234253,110.28382611274719,113.07077503204346,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",118.36738061904907,"unknown","unknown",124.35195350646973
"4e53c5c",-13641.260246753693,"unknown",-13635.549993276596,-13630.141247272491,0.0,6.521970510482788,22.699509143829346,31.483323097229004,46.94333291053772,53.375367164611816,63.413384199142456,70.40027070045471,"unknown",76.80656433105469,80.38352942466736,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",87.51275038719177,"unknown","unknown",94.03762936592102
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-316.15128207206726,"unknown",-309.45195031166077,-303.40854263305664,0.0,5.8655383586883545,9.925731182098389,17.16462540626526,27.08664345741272,32.742706537246704,42.461217641830444,"unknown",48.86449694633484,54.77709650993347,56.838921308517456,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.98531889915466,"unknown","unknown",69.76187944412231
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
