"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1","4_1"
"518e9b8",-20434.97038793564,"unknown",-20428.674550533295,-20421.49528813362,0.0,6.6485114097595215,3921.848933696747,3928.2513716220856,3932.716102361679,3938.4103350639343,3954.127178668976,"unknown",3961.0280566215515,3967.135398387909,3968.7606856822968,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",3974.2765412330627,"unknown","unknown",3980.150877714157,"",""
"b5edd3c",-60778.37128448486,"unknown",-60772.117878198624,-60766.24251961708,0.0,7.284870147705078,9.677167177200317,16.694993257522583,23.293707370758057,30.272475004196167,34.87293481826782,"unknown",41.96661710739136,47.80904173851013,53.62915515899658,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.70155358314514,"unknown","unknown",66.14371085166931,"",""
"374ecf8",-270.6610255241394,"unknown",-265.0122399330139,-259.13306498527527,0.0,5.535619020462036,13179.701098680496,13186.591444253922,13192.972052812576,13199.682275295258,13214.523288965225,13220.692481994629,"unknown",13226.05023241043,13227.77729010582,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",13233.159441232681,"unknown","unknown",13238.807266235352,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.423415184020996,"unknown",22.553354024887085,"unknown",38.84287905693054,"unknown","unknown","unknown",53.64906048774719,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-35938.86256861687,"unknown",-35932.051565647125,-35926.35206723213,0.0,6.38757061958313,7.747433185577393,14.515714406967163,18.619820594787598,23.99867844581604,27.90729260444641,"unknown",33.54040741920471,39.1004421710968,40.883352756500244,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",46.384936571121216,"unknown","unknown",53.50414776802063,"",""
"ac6f3f6",-13244.841377735138,"unknown",-13238.731321573257,-13232.077561378479,0.0,5.946942090988159,46.50969743728638,53.52415227890015,61.34128522872925,68.03447103500366,72.91974353790283,80.04588031768799,"unknown",85.51542544364929,90.35150623321533,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",97.53593754768372,"unknown","unknown",104.75963401794434,"",""
"62447b9",-211274.5327489376,"unknown",-211268.1735880375,-211262.69012403488,0.0,5.3531293869018555,31.620778799057007,38.89234948158264,50.74094319343567,56.37724709510803,99.51978635787964,"unknown",107.35330843925476,113.66421890258789,140.79530477523804,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",148.13583159446716,"unknown","unknown",155.52060747146606,"",""
"20f3e2e",-25523.59562778473,"unknown",-25516.517535209656,-25510.72456240654,0.0,5.236087322235107,18.38271188735962,24.498735904693604,33.11625409126282,38.74305772781372,81.9917323589325,89.07340836524963,"unknown",94.50518321990967,99.46745014190674,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.26969599723816,"unknown","unknown",111.04531407356262,"",""
"4e53c5c",-114.40448999404907,"unknown",-108.47339463233948,-101.53880047798157,0.0,6.168420314788818,14.010845422744751,19.579524040222168,32.505047082901,39.30410432815552,52.29337787628174,58.152063846588135,"unknown",64.27155351638794,66.09879803657532,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.94603633880615,"unknown","unknown",80.20767307281494,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-18425.850927829742,"unknown",-18418.9858648777,-18411.85346841812,0.0,6.076153993606567,11.95516848564148,18.082931756973267,25.984557390213013,32.212427854537964,49.09728288650513,54.611512422561646,"unknown",60.005977392196655,61.95530819892883,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.98238110542297,"unknown","unknown",74.9642961025238,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-3338.2661130428314,"unknown",-3332.2684812545776,-3326.6176018714905,0.0,6.6564247608184814,32.200215339660645,37.7381911277771,47.15036153793335,53.569103717803955,61.21420907974243,"unknown",67.77254796028137,74.78141641616821,77.1436173915863,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",82.63046407699585,"unknown","unknown",89.2351586818695,"",""
"ea8c0d6",-90.3460955619812,"unknown",-84.32756733894348,-78.05612254142761,0.0,7.522942066192627,10.642544269561768,17.99000644683838,82.5766670703888,88.48993587493896,123.02406477928162,"unknown",128.49898266792297,133.6752610206604,136.50557160377502,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",142.54398345947266,"unknown","unknown",148.40937781333923,"",""
"7cf831f",-104954.29106402397,"unknown",-104947.56626677513,-104940.73346447945,0.0,6.072335720062256,23.3947856426239,29.0333890914917,41.937844038009644,48.97099781036377,57.45820355415344,"unknown",63.56032419204712,69.95332622528076,74.21799063682556,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.26668524742126,"unknown","unknown",87.60311818122864,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-106.8058032989502,"unknown",-101.3486340045929,-95.39845991134644,0.0,6.962447166442871,8.76298189163208,15.06645679473877,16.52387285232544,23.381389617919922,35.022093296051025,40.761770486831665,"unknown",47.20102000236511,55.668022871017456,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.44720244407654,"unknown","unknown",66.93467020988464,"",""
"56ee475",-690.8123121261597,"unknown",-683.9588859081268,-677.8820230960846,0.0,6.656217098236084,181.6882026195526,188.63891196250916,15582.707205533981,15590.463635921478,15595.733734607697,"unknown",15602.665256023407,15609.242280244827,15611.107522010803,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",15617.24497795105,"unknown","unknown",15622.432404279709,"",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-1929.1700851917267,"unknown",-1923.2952926158905,-1917.6044580936432,0.0,6.0409204959869385,261146.72712898254,261153.08750152588,261161.89619350433,261168.2883324623,261180.5484752655,"unknown",261185.96470236778,261191.37420201302,261194.59078860283,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",261199.96048474312,"unknown","unknown",261206.8502957821,"",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-44782.08943486214,"unknown",-44726.07991218567,-44672.44005393982,0.0,6.1733269691467285,9.829295635223389,15.326750040054321,22.62277865409851,29.623676300048828,48.235031843185425,53.9562714099884,"unknown",60.4455828666687,61.83364486694336,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.68985629081726,"unknown","unknown",73.16089272499084,"",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
