"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-4978.770618677139,"unknown",-4972.6270089149475,-4966.895777225494,0.0,5.684619426727295,9.756087064743042,15.969014406204224,17.725619554519653,24.79500460624695,37.718169927597046,"unknown",44.69818902015686,51.16037607192993,23693.709077596664,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",23699.840426683426,"unknown","unknown",23705.926764011383
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-1485.3242452144623,"unknown",-1478.112186908722,-1472.3890206813812,0.0,6.307081937789917,9.893522262573242,16.08316421508789,21.1750648021698,26.943000316619873,40.7083785533905,47.95546317100525,"unknown",53.894429445266724,56.29317784309387,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.81562829017639,"unknown","unknown",69.9209623336792
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-13418.24986410141,"unknown",-13411.637633800507,-13405.187144041061,0.0,6.442662000656128,14.434921026229858,21.304946422576904,29.218190908432007,35.48338747024536,44.841851472854614,"unknown",51.16120457649231,57.29526352882385,60.133429527282715,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.84890413284302,"unknown","unknown",72.28585028648376
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-33143.37980365753,"unknown",-33136.44390916824,-33130.1583545208,0.0,7.007262229919434,9.713860511779785,16.628029108047485,18.838189601898193,25.151273488998413,30.62535333633423,"unknown",36.80581331253052,43.84807896614075,48.26619911193848,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",55.11366581916809,"unknown","unknown",61.31491231918335
"ac6f3f6",-30519.888190746307,"unknown",-30513.216608047485,-30505.970863342285,0.0,6.697936058044434,11.471413612365723,17.020251274108887,34.51677989959717,40.71520185470581,56.449015855789185,"unknown",63.979052782058716,70.59379744529724,72.33706951141357,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",78.6108283996582,"unknown","unknown",83.97209811210632
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-18236.04646039009,"unknown",-18228.87954902649,-18221.55506014824,0.0,5.837141275405884,12.263339757919312,19.534016132354736,26.090773820877075,32.67887783050537,50.74060392379761,57.99844217300415,"unknown",65.55002355575562,68.12201476097107,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.36913585662842,"unknown","unknown",80.53201818466187
"4e53c5c",-1049.3267948627472,"unknown",-1042.2874019145966,-1036.5658810138702,0.0,5.801470041275024,14.10805082321167,21.13668465614319,30.039275884628296,36.32949876785278,49.3780152797699,56.42459154129028,"unknown",62.593454360961914,64.07393717765808,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",69.97620677947998,"unknown","unknown",76.05734395980835
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-25291.6589179039,"unknown",-25284.773303985596,-25279.41374397278,0.0,6.053959608078003,158.11788368225098,165.86671543121338,172.9132537841797,178.50851368904114,203.67610836029053,210.83052110671997,"unknown",217.10792803764343,218.73041319847107,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",225.01821184158325,"unknown","unknown",231.21526646614075
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-1468.144035100937,"unknown",-1462.2166118621826,-1455.9018874168396,0.0,6.185974836349487,11.689227104187012,18.10344648361206,51.5515353679657,57.034934282302856,72.11740350723267,79.51389789581299,"unknown",85.04872798919678,87.09630608558655,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",92.83334469795227,"unknown","unknown",98.9414415359497
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-3467.179434299469,"unknown",-3460.0014140605927,-3453.193375110626,0.0,6.332778215408325,188993.87697935104,189000.09791994095,189071.58513474464,189078.57446980476,207304.90572166443,"unknown",207311.33024191856,207317.22492671013,207320.25510525703,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",207326.96503162384,"unknown","unknown",207332.32771468163
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-692.8868527412415,"unknown",-686.4760105609894,-679.8221414089203,0.0,5.888749361038208,9.393636226654053,15.696099281311035,18.53342342376709,25.69986581802368,32.41762566566467,39.02305293083191,"unknown",46.143951177597046,48.2036452293396,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",53.66244387626648,"unknown","unknown",59.44598937034607
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
