"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1"
"518e9b8",-8865.868860960007,"unknown",-8860.174809217453,-8853.801097869873,0.0,7.30885910987854,12.550392627716064,18.084801197052002,26.604357481002808,32.53380846977234,44.21689987182617,"unknown",49.94810605049133,56.275994539260864,58.895591497421265,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.93777704238892,"unknown","unknown",72.21909499168396,""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",12.947216510772705,"unknown",27.57013988494873,"unknown",45.09838104248047,"unknown","unknown","unknown",59.90860414505005,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"374ecf8",-3494.418445825577,"unknown",-3487.707799911499,-3480.9936697483063,0.0,6.328290700912476,16.42698073387146,21.652600526809692,29.061930179595947,35.63817358016968,47.51377558708191,"unknown",52.91461157798767,58.42070412635803,60.643759965896606,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.91150951385498,"unknown","unknown",72.20435380935669,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",113.68577599525452,"unknown",126.4030647277832,"unknown",142.81039905548096,"unknown","unknown","unknown",173.48662495613098,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-14890.58047914505,"unknown",-14883.977303266525,-14876.762112379074,0.0,6.155826568603516,11.146218538284302,17.347820043563843,39.768646001815796,46.07160973548889,52.11791944503784,"unknown",58.618202209472656,64.97585654258728,67.26625680923462,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.02195167541504,"unknown","unknown",80.5201141834259,""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",11.030633211135864,"unknown",19.73372197151184,"unknown",50.69494986534119,"unknown","unknown","unknown",67.59678244590759,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",45.355839014053345,"unknown",72.81632018089294,"unknown",103.12693786621094,"unknown","unknown","unknown",120.85288166999817,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"62447b9",-253477.52683258057,"unknown",-253470.40491700172,-253463.69491124153,0.0,5.8233654499053955,8.309091806411743,14.952672243118286,23.352121591567993,29.109997987747192,69.6137204170227,"unknown",75.16143584251404,81.86097383499146,84.0486536026001,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",90.05775904655457,"unknown","unknown",96.05992794036865,""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",38.662935972213745,"unknown",67.8547134399414,"unknown",105.87193584442139,"unknown","unknown","unknown",122.20616173744202,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"4e53c5c","unknown","unknown","unknown","unknown",0.0,"unknown",20.027351140975952,"unknown",42.788079261779785,"unknown",57.56464982032776,"unknown","unknown","unknown",71.14377951622009,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",17.136810779571533,"unknown",37.65899729728699,"unknown",56.87143921852112,"unknown","unknown","unknown",72.44033813476562,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",14.028847932815552,"unknown",34.695019245147705,"unknown",50.885822057724,"unknown","unknown","unknown",65.72649884223938,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ea8c0d6","unknown","unknown","unknown","unknown",0.0,"unknown",10.350875616073608,"unknown",18.80767321586609,"unknown",63.771122455596924,"unknown","unknown","unknown",76.61543583869934,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",8.587842464447021,"unknown",59.91918468475342,"unknown",116.00486087799072,"unknown","unknown","unknown",130.92558574676514,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6",-405091.8155784607,"unknown",-405084.9931297302,-405079.2600197792,0.0,6.530287504196167,14.513712406158447,20.287102937698364,28.952383756637573,35.92118692398071,51.06299376487732,57.89482021331787,"unknown",63.28686881065369,68.49832963943481,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.31512975692749,"unknown","unknown",81.63509154319763,""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",9.107001304626465,"unknown",20.336516857147217,"unknown",35.64116644859314,"unknown","unknown","unknown",48.77859544754028,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
