"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-6819.203470468521,"unknown",-6813.298473358154,-6806.2544775009155,0.0,6.253217458724976,86.05579829216003,91.6984179019928,110.39572525024414,117.5727846622467,122.32871437072754,128.33516716957092,"unknown",133.93708610534668,137.6008334159851,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",144.334210395813,"unknown","unknown",150.23554944992065
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-5922.055849790573,"unknown",-5915.312140703201,-5909.945118427277,0.0,7.116252422332764,11.30906081199646,18.406363487243652,20.19724750518799,25.43779754638672,51.690566301345825,"unknown",58.95187497138977,64.50322914123535,65.9346272945404,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",72.41027450561523,"unknown","unknown",79.12237071990967
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-67427.19816160202,"unknown",-67420.6866350174,-67415.36805081367,0.0,7.177248954772949,10.442572355270386,17.330729246139526,36.45711922645569,41.91437792778015,75.98910737037659,82.94381523132324,"unknown",88.30184936523438,112.69770336151123,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",119.95069289207458,"unknown","unknown",126.1632149219513
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-1683326.993217945,"unknown",-1683320.27390337,-1683314.0497300625,0.0,5.847846031188965,12.807710886001587,19.932634830474854,24.670982599258423,31.65827703475952,45.68113875389099,51.39304256439209,"unknown",57.45935082435608,69.0401132106781,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.99154901504517,"unknown","unknown",80.71547770500183
"ac6f3f6",-43.03771471977234,"unknown",-35.9000461101532,-29.534454345703125,0.0,6.84972071647644,39.995333194732666,46.84110164642334,56.767011404037476,62.72685432434082,69.11303544044495,"unknown",74.71738791465759,81.48976254463196,83.81872344017029,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",89.04650497436523,"unknown","unknown",96.02443647384644
"62447b9",-359938.0515511036,"unknown",-359931.1265466213,-359924.5209505558,0.0,6.324343204498291,9.409541368484497,15.115707159042358,23.360963821411133,30.226290225982666,57.76225662231445,65.13751363754272,"unknown",72.59617209434509,81.90676140785217,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",87.512930393219,"unknown","unknown",93.30511903762817
"20f3e2e",-14807.752375125885,"unknown",-14801.601620674133,-14795.797585487366,0.0,5.41329288482666,18.706477165222168,24.739293098449707,37.53159999847412,43.69359850883484,62.967082500457764,69.23732447624207,"unknown",75.40739250183105,77.30778908729553,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",83.07338237762451,"unknown","unknown",89.32846069335938
"4e53c5c",-2242.5015540122986,"unknown",-2237.042768716812,-2230.383292913437,0.0,6.131410837173462,18.07958745956421,23.384794235229492,35.56993365287781,41.31830883026123,70.18405532836914,77.16875076293945,"unknown",84.49161267280579,88.62290024757385,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",94.32733154296875,"unknown","unknown",99.92175340652466
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-4358.8754868507385,"unknown",-4352.47116112709,-4346.744641780853,0.0,6.111056804656982,16.218641757965088,21.843663692474365,34.65327048301697,40.51642441749573,49.220956802368164,"unknown",55.6041362285614,61.69060564041138,64.04914689064026,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",69.63467597961426,"unknown","unknown",75.75344657897949
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-571.0164909362793,"unknown",-565.3482401371002,-558.8267090320587,0.0,5.838955402374268,10.145170450210571,16.003772735595703,23.581059455871582,29.663572788238525,40.866111278533936,46.45737981796265,"unknown",52.00712013244629,54.610573053359985,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",60.66255044937134,"unknown","unknown",67.04820227622986
"ea8c0d6",-61296.81682729721,"unknown",-61289.970933914185,-61283.75527215004,0.0,6.195502042770386,9.074288129806519,15.760266304016113,31.08357310295105,36.95737361907959,58.61206865310669,"unknown",65.61975145339966,72.12935900688171,74.1892306804657,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",79.72121167182922,"unknown","unknown",86.00846481323242
"7cf831f",-3248.120612382889,"unknown",-3242.423017978668,-3236.310649394989,0.0,6.7096428871154785,12.67574954032898,18.036393642425537,36.12209868431091,41.347888708114624,92.19765973091125,99.62240815162659,"unknown",105.88040447235107,109.29506945610046,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",115.7097008228302,"unknown","unknown",122.41200399398804
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-7752.6807272434235,"unknown",-7745.702452421188,-7739.552693843842,0.0,6.377655029296875,8.036079406738281,13.82106637954712,15.019328117370605,20.6405131816864,29.11751413345337,35.503440141677856,"unknown",41.428919553756714,43.72087526321411,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",50.521076679229736,"unknown","unknown",55.92569589614868
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-176.96458435058594,"unknown",-169.92900466918945,-162.85610485076904,0.0,7.270131349563599,14.625080347061157,21.64785408973694,27.480672359466553,33.25357747077942,69.7021369934082,"unknown",75.26416826248169,82.04714870452881,84.41153168678284,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",89.75623154640198,"unknown","unknown",95.38130617141724
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-20645.767973184586,"unknown",-20639.05797958374,-20633.27365899086,0.0,6.512256860733032,11.141628742218018,17.602266788482666,49.09737181663513,56.18250107765198,94.8404107093811,"unknown",100.42215204238892,106.48507690429688,117.80762720108032,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",123.84100246429443,"unknown","unknown",129.1467969417572
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba",-9459.317857027054,"unknown",-9452.446854352951,-9446.393771648407,0.0,6.465626239776611,16.54815912246704,22.13716459274292,46.29730558395386,52.44651246070862,77.51498126983643,84.8618552684784,"unknown",90.57444286346436,101.31017231941223,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",106.61182522773743,"unknown","unknown",113.83783316612244
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-560.8213179111481,"unknown",-553.9875857830048,-547.6145322322845,0.0,6.334708213806152,10.432200193405151,17.04328680038452,56.57060146331787,62.56527662277222,81.02489900588989,87.78227353096008,"unknown",94.8390462398529,101.8282687664032,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",108.037682056427,"unknown","unknown",114.77780485153198
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-269.5531630516052,"unknown",-263.1588931083679,-256.7951669692993,0.0,6.739365816116333,9.03414797782898,16.127347707748413,22.96750497817993,29.175952672958374,40.29106330871582,47.523096323013306,"unknown",53.81280565261841,55.7930326461792,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",60.97773551940918,"unknown","unknown",66.13017868995667
"2dffb9e",-21.660658597946167,"unknown",-15.301696062088013,-9.049540758132935,0.0,6.721961498260498,10.364559650421143,16.478206157684326,27.050427675247192,34.29323744773865,72.94474720954895,78.58791422843933,"unknown",84.46269631385803,87.40600490570068,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",93.38659334182739,"unknown","unknown",99.68968653678894
"7a35b75",-33.08071160316467,"unknown",-27.078274250030518,-20.169315576553345,0.0,5.650125026702881,16.790132522583008,22.302748918533325,29.9450364112854,35.458109855651855,52.124035596847534,"unknown",58.84976816177368,65.25091552734375,68.2590901851654,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",73.63518404960632,"unknown","unknown",79.7715973854065
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-10955.315776586533,"unknown",-10949.665577173233,-10942.537274360657,0.0,6.628832817077637,9.335422277450562,16.2098126411438,20.42114281654358,26.462648391723633,33.15991234779358,39.56780123710632,"unknown",45.22139000892639,46.806964635849,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",53.162686586380005,"unknown","unknown",59.18392729759216
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
