"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15","2_1"
"518e9b8",-29909.406187057495,"unknown",-29903.234582901,-29897.564386367798,0.0,6.490738391876221,9.057281255722046,14.931167364120483,30.86621618270874,37.649505615234375,46.76551055908203,"unknown",53.53039503097534,60.0754554271698,61.64835214614868,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",67.23319029808044,"unknown","unknown",74.08756113052368,""
"b5edd3c",-100698.32046604156,"unknown",-100691.30634117126,-100685.42001247406,0.0,5.6711626052856445,8.88091492652893,15.176345348358154,27.054606914520264,33.58654284477234,44.3556752204895,"unknown",50.703142166137695,56.29295110702515,58.38797450065613,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.4887809753418,"unknown","unknown",71.58351397514343,""
"374ecf8",-7696.678332328796,"unknown",-7689.785559177399,-7683.652730464935,0.0,7.250936031341553,9.084782361984253,15.123696327209473,16.42911696434021,23.279903650283813,32.59856200218201,"unknown",38.22676420211792,45.31447076797485,47.36833596229553,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",52.88382697105408,"unknown","unknown",59.470030307769775,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",13.995836973190308,"unknown",26.83850359916687,"unknown",46.71981453895569,"unknown","unknown","unknown",60.05829429626465,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-12678.770520448685,"unknown",-12672.184606313705,-12666.607720136642,0.0,6.188818693161011,7.5650811195373535,13.811734914779663,22.589275121688843,28.455517053604126,39.6220965385437,"unknown",45.76102542877197,51.90722465515137,460.88982582092285,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",466.36368584632874,"unknown","unknown",471.7074615955353,""
"ac6f3f6",-72659.22946310043,"unknown",-72652.4123263359,-72646.10234069824,0.0,5.767030477523804,8.997380018234253,14.894492864608765,24.910587310791016,32.02766704559326,40.90630865097046,"unknown",46.348726749420166,52.795649766922,55.89371657371521,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",62.58581066131592,"unknown","unknown",69.20102214813232,""
"62447b9",-18305.43660092354,"unknown",-18298.487378120422,-18293.058382749557,0.0,6.964603662490845,13.006638288497925,19.2986958026886,30.603323698043823,36.70718336105347,67.50723671913147,"unknown",74.76344656944275,81.62163782119751,84.99563074111938,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",91.48356223106384,"unknown","unknown",97.8408055305481,""
"20f3e2e",-13443.974309206009,"unknown",-13438.464919090271,-13432.348262548447,0.0,5.510621070861816,11.47459077835083,17.353365659713745,28.050458431243896,35.680471658706665,44.40552115440369,51.43730115890503,"unknown",57.767680644989014,60.38357710838318,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.84630608558655,"unknown","unknown",72.19602560997009,""
"4e53c5c",-64530.15769410133,"unknown",-64474.651381492615,-64419.43539452553,0.0,6.036484718322754,15.909027576446533,22.138870239257812,35.25258708000183,41.97967505455017,54.50371479988098,"unknown",60.749449491500854,67.06624746322632,69.56345295906067,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",76.625333070755,"unknown","unknown",82.70877289772034,""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-2091.602401971817,"unknown",-2084.3879561424255,-2078.7954580783844,0.0,6.284509181976318,8.035598754882812,13.59894609451294,22.034918069839478,28.045584440231323,41.776344299316406,"unknown",47.55702567100525,53.471131801605225,55.122857332229614,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.49249529838562,"unknown","unknown",66.92023468017578,""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-692127.7344017029,"unknown",-692121.707555294,-692114.7244589329,0.0,6.475552558898926,11.86919379234314,17.523617029190063,33.763633489608765,39.42276334762573,53.05527138710022,"unknown",59.10073733329773,65.62921357154846,68.54017043113708,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",74.26649951934814,"unknown","unknown",81.101726770401,""
"ea8c0d6",-245758.6966047287,"unknown",-245752.1861987114,-245743.79496765137,0.0,6.888143062591553,10.91189694404602,16.357581853866577,27.149960041046143,34.46351408958435,46.50369906425476,"unknown",52.17358994483948,58.774024963378906,60.60279631614685,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",66.49657726287842,"unknown","unknown",73.68462800979614,""
"7cf831f",-3980.129624605179,"unknown",-3974.037185192108,-3967.567184448242,0.0,6.57953405380249,15.077348470687866,21.207235097885132,53.61843466758728,60.33405542373657,70.6356930732727,75.91779375076294,"unknown",81.98450326919556,83.89837121963501,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",89.9612250328064,"unknown","unknown",96.2310311794281,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-3157.6745488643646,"unknown",-3151.5700323581696,-3144.334780931473,0.0,5.370913505554199,7.109106063842773,14.084207534790039,16.1302707195282,22.070238828659058,27.33808398246765,34.58786487579346,"unknown",41.6614887714386,43.283488273620605,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",49.714677572250366,"unknown","unknown",56.33856821060181,""
"56ee475",-3261.709023475647,"unknown",-3255.3707144260406,-3248.9489212036133,0.0,5.574176073074341,3422.943875312805,3429.6493771076202,3442.681842327118,3448.224326610565,3453.3124837875366,"unknown",3460.2483928203583,3467.312206506729,7979.004952669144,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",7984.659794807434,"unknown","unknown",7991.715308189392,""
"916c172",-18.688491821289062,"unknown",-12.653798341751099,-6.625455617904663,0.0,6.182606220245361,938.9989724159241,947.4419448375702,949.0338275432587,954.7126126289368,959.86714220047,"unknown",967.0727739334106,974.2516083717346,975.5790030956268,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",981.0562715530396,"unknown","unknown",986.6928458213806,""
"d9696dd",-94338.23974967003,"unknown",-94331.51313495636,-94324.23735880852,0.0,7.141111612319946,2044.495626449585,2051.7056090831757,2060.5076065063477,2067.442369699478,2125.0581896305084,2132.2418262958527,"unknown",2139.0512397289276,86686.64916872978,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",86693.8394536972,"unknown","unknown",86699.88283371925,""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-728009.546546936,"unknown",-728002.3084290028,-727996.2177996635,0.0,6.122679710388184,4277.181202888489,4284.0870497226715,4292.058099269867,4297.68874502182,4356.870835065842,"unknown",4363.71129989624,4370.846737861633,4412.258495330811,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",4418.72064614296,"unknown","unknown",4424.214868545532,""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc",-617132.4116618633,"unknown",-617125.3302130699,-617119.7527472973,0.0,5.921872615814209,12.12166142463684,18.42188048362732,78.68390774726868,84.20435929298401,116.48702311515808,"unknown",122.18682599067688,128.12580275535583,130.16012120246887,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",136.96965074539185,"unknown","unknown",142.61343908309937,""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-2380.3287954330444,"unknown",-2375.0153572559357,-2369.727187871933,0.0,5.539293527603149,11.993726015090942,18.966737508773804,26.416030645370483,32.680824279785156,40.793846130371094,"unknown",46.50763773918152,52.40002489089966,55.714109659194946,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.12552571296692,"unknown","unknown",67.32459545135498,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-12054.529507637024,"unknown",-12049.175771951675,-12044.011640310287,0.0,6.831971645355225,20.32824444770813,33.74449110031128,46.37377715110779,61.036420583724976,76.54627180099487,"unknown",91.12197685241699,97.91698360443115,103.76481127738953,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",110.21271586418152,"unknown","unknown",116.6798505783081,""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81",-1448.4942033290863,"unknown",-1442.7980148792267,-1435.6499376296997,0.0,6.092970371246338,9.559345722198486,15.824370861053467,27.320507764816284,34.2610137462616,47.596587896347046,"unknown",52.819801807403564,59.174171447753906,61.11824345588684,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",67.59663343429565,"unknown","unknown",73.30630731582642,""
"bf983ba",-3508.5208687782288,"unknown",-3501.691884994507,-3495.1998126506805,0.0,7.139617443084717,8.745077133178711,14.854063749313354,18.600089073181152,24.94154167175293,28.086060523986816,34.69231295585632,"unknown",41.11886978149414,42.80498552322388,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",48.377553939819336,"unknown","unknown",54.21358799934387,""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-813.9605422019958,"unknown",-807.0577280521393,-800.309458732605,0.0,5.846792459487915,12.809569358825684,18.489339351654053,26.43588376045227,32.656928300857544,46.17677974700928,"unknown",52.254456520080566,58.252227783203125,59.81361675262451,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.56023788452148,"unknown","unknown",71.86069989204407,""
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-10052.366302728653,"unknown",-10045.138212442398,-10039.037831783295,0.0,5.45498514175415,7.971283435821533,15.10438847541809,25.504470109939575,31.349831104278564,37.751996994018555,44.109750509262085,"unknown",49.81507992744446,51.916913747787476,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",57.287787675857544,"unknown","unknown",64.1145167350769,""
