"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","2_1"
"518e9b8",-16207.107237100601,"unknown",-16201.772000789642,-16196.442531108856,0.0,5.931773900985718,7.251563549041748,15.72365927696228,37.570242404937744,44.717769384384155,51.318400859832764,"unknown",57.2140097618103,62.758538246154785,67.30205082893372,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.84956574440002,"unknown","unknown",78.30064463615417,""
"b5edd3c",-23787.908783197403,"unknown",-23781.449241638184,-23775.878331422806,0.0,6.390977382659912,9.063283681869507,17.450063705444336,31.110772132873535,37.67610573768616,47.8973228931427,"unknown",53.19602584838867,58.890528202056885,60.98817753791809,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.27187037467957,"unknown","unknown",71.75292110443115,""
"374ecf8",-69309.50192379951,"unknown",-69303.58583927155,-69297.21601200104,0.0,5.669785976409912,8.267515659332275,15.952614307403564,31.030447006225586,37.92301607131958,60.74499011039734,"unknown",66.52954483032227,73.12683820724487,75.25454378128052,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.30804705619812,"unknown","unknown",86.85672974586487,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",16.29852795600891,"unknown",40.22796940803528,"unknown",51.05201482772827,"unknown","unknown","unknown",66.45350646972656,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-9083917.578129053,"unknown",-9083911.671387434,-9083906.290546417,0.0,6.417858362197876,17.712363481521606,25.276766061782837,39.345072984695435,44.97642159461975,54.516202211380005,"unknown",61.18275046348572,66.68657612800598,68.90099883079529,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.4953830242157,"unknown","unknown",82.18493986129761,-10642.67100071907
"2541155",-106584.13629102707,"unknown",-106578.77341127396,-106572.81104254723,0.0,6.750507116317749,10.901402473449707,19.434791326522827,35.03751540184021,41.68263602256775,48.14985656738281,54.94784498214722,"unknown",62.04685831069946,63.95271444320679,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.14527130126953,"unknown","unknown",76.73387885093689,""
"ac6f3f6",-15.22422981262207,"unknown",-8.528247356414795,-1.9227750301361084,0.0,5.684849500656128,8.420837879180908,15.476836681365967,73.03240752220154,79.43319344520569,88.8229923248291,"unknown",94.78869700431824,101.2101788520813,102.96617698669434,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",110.2928581237793,"unknown","unknown",117.14777946472168,""
"62447b9",-865891.3691027164,"unknown",-865885.817073822,-865878.6755356789,0.0,7.008236885070801,9.42107367515564,17.395358324050903,31.22435474395752,36.6050660610199,134.7429075241089,"unknown",141.17951583862305,146.4771318435669,151.50772619247437,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",157.95812392234802,"unknown","unknown",164.29441952705383,""
"20f3e2e",-11372.418796300888,"unknown",-11365.871303319931,-11359.147717237473,0.0,6.298259019851685,12.581228017807007,20.085846424102783,81.35510396957397,87.64407515525818,102.74443697929382,"unknown",109.71724915504456,115.14373588562012,116.97092390060425,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",123.3327362537384,"unknown","unknown",129.31892895698547,""
"4e53c5c",-27248.33797955513,"unknown",-27241.434497356415,-27235.595656871796,0.0,5.661424160003662,15.101402997970581,22.52528476715088,42.50501489639282,49.08968758583069,67.01090884208679,"unknown",74.25644063949585,80.02396535873413,81.97950100898743,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.67529129981995,"unknown","unknown",94.74898314476013,""
