"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","2_1"
"518e9b8",-957.1291387081146,-951.8162832260132,-944.602689743042,-938.7832317352295,0.0,7.127032041549683,831.7954709529877,838.7382323741913,964.632164478302,970.1223518848419,990.8017871379852,997.549679517746,"unknown",1004.4095673561096,1006.5352783203125,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",1012.8711309432983,"unknown","unknown",1019.6125979423523,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-17043.18840456009,-17036.41528582573,-17029.16405105591,-17023.579506397247,0.0,6.822226524353027,10.912466049194336,17.6698956489563,21.647183895111084,28.676126718521118,76.88748455047607,"unknown",84.32415914535522,89.53565692901611,99.84524655342102,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",105.2133002281189,"unknown","unknown",112.23948645591736,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-195021.65072488785,-195015.1445338726,-195009.31371951103,-195003.4667904377,0.0,6.674854278564453,23.60384702682495,29.958224773406982,66.4286720752716,72.44555711746216,85.82958555221558,"unknown",91.77399587631226,98.77470541000366,108.29746007919312,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",115.35393476486206,"unknown","unknown",121.24912452697754,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-67526.7890086174,-67504.01718974113,-67481.68374371529,-67468.21741247177,0.0,5.691108703613281,10.422606468200684,15.960165739059448,31.21093463897705,37.75254964828491,46.665488719940186,"unknown",52.731892347335815,58.80065608024597,60.6381254196167,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",66.95305442810059,"unknown","unknown",73.83660006523132,""
"ac6f3f6",-852.1108775138855,-846.4815604686737,-840.2970724105835,-834.46124792099,0.0,5.722815990447998,12.780127048492432,18.1366605758667,44.205209732055664,50.199623107910156,197.811851978302,203.57084131240845,"unknown",210.72959208488464,242.3432652950287,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",249.7483172416687,"unknown","unknown",257.09690618515015,""
"62447b9",-32627.25995159149,-32620.902039051056,-32615.3913731575,-32609.070588827133,0.0,6.5489208698272705,12.621813774108887,18.106601238250732,37.46178722381592,43.661837339401245,112.16422629356384,118.00276947021484,"unknown",123.821368932724,125.98528122901917,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",131.45681476593018,"unknown","unknown",137.12487840652466,""
"20f3e2e",-243.48867964744568,-237.17532539367676,-230.73246240615845,-223.3938329219818,0.0,6.024637460708618,11.858916282653809,18.34445595741272,42.16902565956116,47.73064970970154,57.364182472229004,63.40615200996399,"unknown",69.9339370727539,74.89412593841553,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",80.34864258766174,"unknown","unknown",86.84078884124756,""
