"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-75160.17198991776,-75153.57629060745,-75147.46895003319,-75141.80796432495,0.0,6.5812249183654785,37.89543890953064,44.77658677101135,12423.288615226746,12430.22268819809,12441.148452758789,"unknown",12447.903971195221,12453.250658273697,12462.902547836304,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",12468.250929117203,"unknown","unknown",12475.230782270432
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-1805.7899980545044,-1799.3279690742493,-1793.3958106040955,-1786.3133373260498,0.0,6.891158819198608,8.818516969680786,16.153189182281494,28.064450979232788,33.83245301246643,37.542476654052734,"unknown",44.61173605918884,51.150965213775635,53.55898976325989,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.47138500213623,"unknown","unknown",66.20704245567322
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-1182.517166852951,-1175.4805076122284,-1169.1310501098633,-1163.5115015506744,0.0,6.659611225128174,10.29978322982788,15.7803316116333,27.66046166419983,34.324321031570435,42.06549668312073,"unknown",48.72539305686951,55.3679883480072,57.5526487827301,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.07515001296997,"unknown","unknown",70.27150321006775
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-19168.080288887024,-19162.353212833405,-19156.735298395157,-19149.901098251343,0.0,6.4594221115112305,7.8661048412323,13.47804570198059,27.96405339241028,35.147324323654175,40.98104238510132,"unknown",46.64077830314636,53.307713985443115,5242.9753510952,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",5250.298995733261,"unknown","unknown",5256.283022880554
"ac6f3f6",-20.856645107269287,-14.46588945388794,-8.349429607391357,-2.7142086029052734,0.0,5.581416845321655,402.934711933136,409.16066336631775,436.12024092674255,443.15302538871765,453.20306730270386,"unknown",460.35807251930237,465.99125695228577,490.92484879493713,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",498.03620529174805,"unknown","unknown",504.0201687812805
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-8498.636618375778,-8491.921026229858,-8485.699266433716,-8478.616708278656,0.0,7.092223644256592,12.821930170059204,18.848156929016113,40.51311373710632,47.48207426071167,56.955418825149536,64.16599822044373,"unknown",69.42912697792053,72.8975875377655,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",79.08028030395508,"unknown","unknown",85.98803472518921
"4e53c5c",-20042.37679862976,-20036.106706380844,-20030.618178367615,-20024.893573760986,0.0,6.660508394241333,14.444422960281372,20.64871621131897,49.08905005455017,54.99234366416931,68.34925961494446,74.27521085739136,"unknown",80.44510769844055,82.88585138320923,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.53386235237122,"unknown","unknown",95.65997695922852
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-23932.24593782425,-23926.21832728386,-23920.813199281693,-23914.76152086258,0.0,5.518580198287964,364.94295144081116,371.7513108253479,422.31550455093384,428.4714014530182,620.560512304306,"unknown",626.5121519565582,632.6940112113953,634.6661279201508,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",640.4787712097168,"unknown","unknown",647.5673871040344
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-4579.227924585342,-4573.422034025192,-4567.5109713077545,-4560.386447668076,0.0,5.811993360519409,11.79185152053833,18.296992301940918,39.08019709587097,45.7064471244812,54.37356925010681,60.67054510116577,"unknown",66.17506837844849,73.85285925865173,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",80.34433031082153,"unknown","unknown",87.56923604011536
"ea8c0d6",-28440.62592816353,-28435.20239019394,-28428.78047466278,-28422.87955737114,0.0,6.343451976776123,10.128469944000244,16.542933702468872,90.08172702789307,95.9146180152893,141.03932666778564,"unknown",147.08593201637268,152.96991610527039,155.85909414291382,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",161.5505576133728,"unknown","unknown",168.4365165233612
"7cf831f",-571.3654038906097,-564.2281289100647,-557.9056148529053,-551.6847455501556,0.0,6.791635513305664,9.143731355667114,15.587838172912598,38.442976236343384,44.17305135726929,56.5241756439209,"unknown",63.55783009529114,69.25470089912415,76.99828338623047,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.09745240211487,"unknown","unknown",88.99992036819458
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-9542.390962839127,-9536.857986211777,-9530.193875312805,-9524.22556400299,0.0,7.033667087554932,8.446125030517578,15.146315813064575,26.458106517791748,33.48055386543274,36.25751543045044,"unknown",42.98130941390991,49.37449526786804,51.07773017883301,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",56.87082815170288,"unknown","unknown",63.75856804847717
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-126.08908343315125,-120.24652862548828,-114.91628098487854,-108.4001395702362,0.0,7.3986523151397705,13.749556064605713,20.798298358917236,33.24397563934326,40.06470704078674,45.855555295944214,"unknown",52.77916622161865,58.20707607269287,60.97378873825073,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.15646576881409,"unknown","unknown",73.89761924743652
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-25713.683940649033,-25707.393942832947,-25700.959949970245,-25694.05215907097,0.0,6.885805368423462,11.309492826461792,17.015719175338745,32.65847682952881,38.8463568687439,47.9517617225647,54.80704593658447,"unknown",61.11820101737976,63.74621319770813,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.13361597061157,"unknown","unknown",76.88512134552002
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-55388.652952194214,-55383.20752835274,-55377.56691598892,-55370.7449324131,0.0,7.20874547958374,12.900024652481079,19.86208200454712,24.80178666114807,30.890534162521362,37.77453827857971,"unknown",44.024133920669556,50.75317406654358,59.05461001396179,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.89448356628418,"unknown","unknown",71.25510668754578
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-1125.5377178192139,-1120.318069934845,-1114.0305597782135,-1108.3178412914276,0.0,7.107386350631714,9.286540508270264,15.409797668457031,48.95446252822876,55.21280074119568,61.72070002555847,"unknown",68.14284586906433,74.768319606781,99.65362572669983,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.49764132499695,"unknown","unknown",111.97188687324524
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a35b75",-2322.5157499313354,-2316.8685076236725,-2311.264697790146,-2304.419353723526,0.0,6.170714855194092,40.89826250076294,47.56971216201782,65.12770557403564,71.72519493103027,81.9837863445282,88.83072996139526,"unknown",94.39067459106445,96.1785454750061,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",103.35121774673462,"unknown","unknown",109.25814604759216
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-2691.840193271637,-2686.420338869095,-2679.783134460449,-2672.9602863788605,0.0,6.167473554611206,11.150784969329834,16.937592267990112,27.98660683631897,34.18983745574951,43.50581359863281,50.65105080604553,"unknown",56.21727418899536,58.608582973480225,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",65.4235463142395,"unknown","unknown",71.65461373329163
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ec15bc",-6135.034103155136,-6128.001920938492,-6122.237715005875,-6116.0506908893585,0.0,6.267899513244629,8.455741167068481,14.7060227394104,293.4218475818634,300.21959471702576,304.7322795391083,"unknown",312.2786877155304,318.99931597709656,353.5185749530792,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",360.345365524292,"unknown","unknown",366.45161294937134
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07ff49d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-3150.5627834796906,-3143.61989569664,-3136.60249710083,-3129.95054936409,0.0,6.673843860626221,13.754067182540894,20.241271257400513,81.11902260780334,88.41571140289307,115.26125741004944,"unknown",121.76256203651428,128.80772423744202,131.31980752944946,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",137.68621921539307,"unknown","unknown",143.7519736289978
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-104.52571249008179,-97.601402759552,-91.88838291168213,-85.29005718231201,0.0,5.542786359786987,48.57163119316101,54.83941674232483,73.67044281959534,80.4692108631134,94.23137497901917,100.41035580635071,"unknown",107.22647595405579,110.16587257385254,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",117.35330533981323,"unknown","unknown",122.76213645935059
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ee7f92","","","","","","","","","","","","","","","","","","","","","","","","","",""
