"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-4268.376135587692,-4262.677462339401,-4256.020080804825,-4249.521133899689,0.0,6.194936513900757,15.63589882850647,21.186989545822144,45.90867614746094,52.056621074676514,60.957672119140625,66.47819232940674,"unknown",72.34765124320984,80.08441972732544,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",86.52817964553833,"unknown","unknown",91.95615291595459
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-20804.827297449112,-20797.9092566967,-20791.190402030945,-20784.791068315506,0.0,6.144395589828491,8.203766345977783,13.56825566291809,21.99188756942749,27.379526615142822,42.858535289764404,"unknown",49.09361553192139,55.43162679672241,58.331915616989136,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",65.57387495040894,"unknown","unknown",72.09791398048401
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-5050.335172176361,-5043.825630426407,-5038.285729646683,-5032.929198265076,0.0,7.560951232910156,8.991425514221191,14.776442289352417,16.10919976234436,21.60728096961975,37.76560115814209,"unknown",43.45064091682434,50.522849321365356,53.1581015586853,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",58.570733070373535,"unknown","unknown",65.54840469360352
"ac6f3f6",-4196.722063541412,-4191.077846765518,-4185.328210353851,-4178.844699382782,0.0,5.66919207572937,8.166074752807617,13.564584970474243,16.4170663356781,23.498790502548218,38.30902433395386,"unknown",43.82012438774109,49.954142808914185,51.749626874923706,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",58.52378869056702,"unknown","unknown",64.91661715507507
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-10760.251291751862,-10754.66058397293,-10749.369001626968,-10743.399841308594,0.0,6.043768405914307,28.017459630966187,33.74431395530701,67.56999325752258,73.46138262748718,91.42589974403381,97.62521934509277,"unknown",104.23981308937073,107.35517454147339,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",112.62145185470581,"unknown","unknown",118.2743968963623
"4e53c5c",-17603.397416830063,-17596.565028190613,-17591.05777812004,-17584.570004224777,0.0,7.495402812957764,13.536160230636597,19.110918045043945,41.43246269226074,48.06595540046692,55.844876527786255,"unknown",63.66999936103821,69.88314819335938,71.9570984840393,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",77.39989113807678,"unknown","unknown",85.44469928741455
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-47175.55546998978,-47169.55818152428,-47164.23669219017,-47158.68854355812,0.0,5.958625555038452,12.383280992507935,18.062432289123535,49.10156035423279,55.55434489250183,62.55113077163696,"unknown",69.47232723236084,75.95003366470337,81.6010537147522,88.1057550907135,90.0712718963623,96.79418277740479,"unknown",102.1892523765564,103.70032405853271,"unknown","unknown","unknown","unknown",109.75332617759705,"unknown",116.73645567893982
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
