"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","x_3","12A","12B","13_1","13_2","13_3","15","2_1","5_1"
"518e9b8",-10632.234997987747,"unknown",-10625.060368299484,-10618.244728326797,0.0,5.511894226074219,12.785914659500122,19.143924951553345,36.086747884750366,41.6507453918457,74.34238839149475,"unknown",79.86559820175171,86.1082513332367,89.05382466316223,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",95.7426028251648,"unknown","unknown",101.52501726150513,"",""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",11.782706260681152,"unknown",37.46333456039429,"unknown",62.68726825714111,"unknown","unknown","unknown",80.54045343399048,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"374ecf8",-1439.9894371032715,"unknown",-1434.377599954605,-1427.6487798690796,0.0,6.239893198013306,13.122961521148682,18.685737133026123,41.697848320007324,48.02903914451599,74.99793910980225,"unknown",82.08594393730164,88.75280594825745,91.05882596969604,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",96.26547431945801,"unknown","unknown",103.34673357009888,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.522380828857422,"unknown",23.682398796081543,"unknown",64.23423171043396,"unknown","unknown","unknown",81.79693222045898,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-847.3649353981018,"unknown",-841.0075814723969,-835.0136566162109,0.0,5.826333999633789,10.711910724639893,16.7981173992157,28.348456382751465,34.1927125453949,50.01529669761658,"unknown",57.2492835521698,63.80929660797119,66.27355098724365,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",71.83219623565674,"unknown","unknown",77.71125984191895,"",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",8.939310312271118,"unknown",26.898674249649048,"unknown",45.11360836029053,"unknown","unknown","unknown",61.153833866119385,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",8.938098907470703,"unknown",36.30480718612671,"unknown",59.72943711280823,"unknown","unknown","unknown",73.31203532218933,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"62447b9",-574476.5000503063,"unknown",-574469.690580368,-574462.7786715031,0.0,6.736747741699219,11.754276752471924,18.690547227859497,90.51432061195374,96.22485899925232,150.77300810813904,"unknown",157.17722487449646,163.71575665473938,182.6018500328064,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",189.97880911827087,"unknown","unknown",196.61896681785583,"",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",18.268261194229126,"unknown",114.42945265769958,"unknown",136.45257949829102,"unknown","unknown","unknown",149.31614685058594,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"4e53c5c","unknown","unknown","unknown","unknown",0.0,"unknown",17.057087659835815,"unknown",46.71416211128235,"unknown",76.7040696144104,"unknown","unknown","unknown",91.76818680763245,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",75.52635884284973,"unknown",159.63202810287476,"unknown",197.9666633605957,"unknown","unknown","unknown",212.67512440681458,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",14.774953842163086,"unknown",62.896106243133545,"unknown",93.09299063682556,"unknown","unknown","unknown",108.59167265892029,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"ea8c0d6","unknown","unknown","unknown","unknown",0.0,"unknown",9.923884391784668,"unknown",63.578391790390015,"unknown",91.35690355300903,"unknown","unknown","unknown",163.07370138168335,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",22.945087671279907,"unknown",109.03466463088989,"unknown",139.28687381744385,"unknown","unknown","unknown",157.32992935180664,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6",-1331036.7391753197,"unknown",-1331030.3563489914,-1331023.387847662,0.0,6.2280113697052,18.57659363746643,25.929442167282104,50.83663249015808,57.1822144985199,1559.0514504909515,"unknown",1565.9172849655151,1571.494374513626,1574.474752664566,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",1580.417290687561,"unknown","unknown",1586.607437133789,"",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",7.523758411407471,"unknown",23.655531883239746,"unknown",52.40463829040527,"unknown","unknown","unknown",75.34794235229492,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",63238.81855916977,"unknown",63259.63252186775,"unknown",63275.27760004997,"unknown","unknown","unknown",63289.551082611084,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"56ee475",-1796.599286556244,"unknown",-1791.2870576381683,-1784.5388417243958,0.0,6.850612640380859,10.576459884643555,17.57012176513672,394.3318009376526,400.21625995635986,514.8647105693817,520.754590511322,"unknown",527.8161416053772,529.6114590167999,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",535.2403724193573,"unknown","unknown",541.0233542919159,"",""
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",506.816956281662,"unknown",2211.8370912075043,"unknown",2838.3905930519104,"unknown","unknown","unknown",2873.202965259552,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","",""
"d9696dd",-201141.23558926582,"unknown",-201134.9984881878,-201128.83083081245,0.0,6.5844714641571045,61936.83017683029,61942.73059272766,61969.89158344269,61975.65836763382,61993.20764017105,"unknown",61999.918281793594,62005.40976476669,62008.32481837273,"unknown","","unknown","unknown","unknown","","unknown","","unknown","unknown",62013.70447802544,"unknown","unknown",62020.49247121811,"",""
