"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","x_2","9A","9B","10","v_x_2","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-249.79706740379333,"unknown",-242.91562700271606,-237.35925006866455,0.0,5.715919733047485,10.731441259384155,17.03159475326538,18.815933227539062,25.22235369682312,41.548439502716064,47.31706118583679,"unknown",54.022369623184204,55.56427049636841,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",61.6400830745697,"unknown","unknown",67.25484156608582
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-12723.433287143707,"unknown",-12718.08660030365,-12712.78890132904,0.0,5.8527350425720215,22.663267374038696,28.545727729797363,40.64721393585205,47.08718967437744,80.22608351707458,85.6124005317688,"unknown",91.87799501419067,174.8373863697052,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",181.1390302181244,"unknown","unknown",187.90308451652527
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-46645.85260987282,"unknown",-46640.23546242714,-46634.622089624405,0.0,5.466474533081055,23.58970880508423,30.875809907913208,831.279581785202,837.0075142383575,862.1407194137573,"unknown",868.0598483085632,873.5244464874268,893.8071777820587,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",899.2382855415344,"unknown","unknown",904.763664484024
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-704299.3721253872,"unknown",-704292.0435056686,-704286.8436617851,0.0,6.331799745559692,8.011197805404663,15.163341760635376,16.54553532600403,22.999626874923706,37.97698783874512,44.56581211090088,"unknown",50.46995162963867,100.83493518829346,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",107.2371654510498,"unknown","unknown",113.34704899787903
"ac6f3f6",-22.161574840545654,"unknown",-15.748861312866211,-10.14106798171997,0.0,5.475255489349365,2835.8595898151398,2841.403119325638,2898.0166985988617,2905.1496934890747,3389.312733888626,3395.511532306671,"unknown",3402.01340508461,3459.054316520691,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",3465.837989807129,"unknown","unknown",3472.090583562851
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-25203.207439899445,"unknown",-25197.302216291428,-25191.883677721024,0.0,7.315110921859741,26.123695611953735,32.44684433937073,61.601025104522705,68.80325412750244,120.63217687606812,126.19036865234375,"unknown",131.50410723686218,490.37266755104065,"unknown","","unknown","unknown","unknown","","unknown","unknown","unknown",495.8269679546356,"unknown","unknown",502.8188877105713
"4e53c5c",-4975.990175247192,"unknown",-4969.961230754852,-4964.70255613327,0.0,6.020086050033569,14.101093053817749,21.16325068473816,43.35269522666931,49.9244065284729,76.00762438774109,83.47490668296814,"unknown",89.47432327270508,99.895822763443,106.00836133956909,116.8770010471344,"unknown",123.87617135047913,130.03121399879456,131.87520718574524,"unknown","unknown","unknown","unknown",137.74254155158997,"unknown",143.11019253730774
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
