"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15","cont_2","cont_3","2_1","2_2"
"518e9b8",-18082.352216482162,"unknown",-18076.79561471939,-18071.358827590942,0.0,6.657011270523071,9.259290933609009,16.368419647216797,40.75177502632141,48.203890323638916,67.02614784240723,73.32787322998047,"unknown",79.27220177650452,81.47339296340942,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.11312413215637,"unknown","unknown",95.26552414894104,"","","",""
"b5edd3c",-57100.8270676136,"unknown",-57094.06300210953,-57088.382053136826,0.0,7.250692129135132,11.37126874923706,17.858720064163208,31.119004487991333,37.27434515953064,42.30800461769104,48.001670598983765,"unknown",54.38206934928894,56.17787170410156,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.655765533447266,"unknown","unknown",67.2656261920929,"","","",""
"374ecf8",-53131.11480665207,"unknown",-53124.274718523026,-53117.62682271004,0.0,6.8234639167785645,9.339365243911743,15.445677995681763,30.10436725616455,36.231759786605835,41.36388444900513,47.36071038246155,"unknown",53.97629356384277,55.95625448226929,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.54766583442688,"unknown","unknown",68.07233428955078,"","","",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.661193370819092,"unknown",25.15426015853882,"unknown",69.81269717216492,"unknown","unknown","unknown",88.08670926094055,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"8d2da97",-36547.9977850914,"unknown",-36542.365705013275,-36536.24881982803,0.0,7.340363264083862,21.787691593170166,29.065786838531494,44.06180262565613,50.29319167137146,72.48703193664551,79.27913522720337,"unknown",86.27204608917236,88.0635015964508,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.19713950157166,"unknown","unknown",100.77910876274109,"","","",""
"2541155",-77483.79577875137,"unknown",-77476.6225836277,-77470.11170554161,0.0,6.36737060546875,13.424826622009277,20.63285207748413,35.89203596115112,42.821359634399414,51.99252438545227,59.25191402435303,"unknown",65.3509578704834,70.08966493606567,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.91811513900757,"unknown","unknown",83.78607964515686,"","","",""
"ac6f3f6",-87212.57327365875,"unknown",-87205.61561393738,-87199.62315320969,0.0,6.015340328216553,78.85407567024231,84.6578483581543,277.5026741027832,283.68422055244446,299.9744975566864,306.1311893463135,"unknown",312.33271622657776,314.07967829704285,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",320.51560854911804,"unknown","unknown",327.08996295928955,"","","",""
"62447b9",-368522.30802583694,"unknown",-368516.08224105835,-368510.48104691505,0.0,5.682536840438843,14.838453769683838,22.070027112960815,56.48699498176575,62.39682459831238,95210.27153778076,95216.8328692913,"unknown",95223.06486940384,95231.02895975113,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",95236.44536352158,"unknown","unknown",95243.39696741104,"","","",""
"20f3e2e",-18549.559918165207,"unknown",-18544.03422856331,-18537.94548392296,0.0,5.8040924072265625,50.77087664604187,57.66293120384216,176.4449486732483,183.52445435523987,219.3719358444214,225.10392141342163,"unknown",231.4010293483734,233.6071071624756,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",240.8087236881256,"unknown","unknown",246.82858538627625,"","","",""
"4e53c5c",-56.90499138832092,"unknown",-50.9158935546875,-43.74327778816223,0.0,5.828784704208374,13.750688314437866,20.600849866867065,53.729827642440796,60.695404052734375,95.5265429019928,101.96909999847412,"unknown",107.55078029632568,111.04938411712646,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",117.3600504398346,"unknown","unknown",123.65200018882751,"","","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-22464.91223692894,"unknown",-22459.103449821472,-22451.938381671906,0.0,6.440619468688965,18.549712896347046,25.966333866119385,79.26796436309814,86.59147548675537,156.95130801200867,163.25620532035828,"unknown",169.41716051101685,175.1402723789215,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",182.13279151916504,"unknown","unknown",188.96692728996277,"","","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-1467.3140885829926,"unknown",-1460.1251683235168,-1454.3018884658813,0.0,5.769831657409668,11.366860389709473,18.365808486938477,40.78204345703125,47.788596630096436,61.60644316673279,"unknown",68.30342745780945,75.10122871398926,80.09097933769226,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",87.25806379318237,"unknown","unknown",92.8822066783905,"","","",""
"ea8c0d6",-179560.98077845573,"unknown",-179554.90211129189,-179547.79549646378,0.0,6.722499847412109,13.877933979034424,20.086057901382446,48.017417669296265,53.65198349952698,81.73832416534424,88.2475848197937,"unknown",94.50420260429382,97.22488045692444,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",103.38737392425537,"unknown","unknown",109.2615110874176,"","","",""
"7cf831f",-613717.849293232,"unknown",-613712.4887623787,-613707.1012248993,0.0,614667.4415926933,74015.51703381538,615954.4427053928,615990.9896886349,615996.5115609169,616061.2007303238,616067.2325344086,"unknown",616073.4802906513,616075.0675151348,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",616081.7811224461,"unknown","unknown",616089.1201314926,614591.285574913,615947.7067511082,71434.73310303688,614144.8745687008
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
