"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-9899.392443180084,-9893.556798696518,-9887.728061676025,-9882.002432823181,0.0,6.452468633651733,622695.2593085766,622701.7256999016,622713.011179924,622719.7653839588,622724.1327021122,622730.0856134892,"unknown",622735.9929423332,622737.8321049213,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",622743.4356031418,"unknown","unknown",622749.2883622646
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-14587.16633605957,-14580.345391511917,-14574.203572034836,-14568.094280481339,0.0,5.46836256980896,11.075381755828857,16.436180114746094,18.55084729194641,24.49664545059204,33.42189812660217,39.4431676864624,"unknown",45.51448178291321,47.483959913253784,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",53.685795068740845,"unknown","unknown",60.0431170463562
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-55215.36018872261,-55210.02803397179,-55203.064244031906,-55196.64681339264,0.0,6.479447603225708,26.364294290542603,32.230703830718994,48.09842538833618,55.16495132446289,62.50242376327515,"unknown",68.55378079414368,75.46308875083923,77.46353459358215,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",84.74656581878662,"unknown","unknown",90.64223504066467
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-209913.75069713593,-209906.6995651722,-209901.19208455086,-209895.46060490608,0.0,6.942505836486816,10.9023597240448,17.071245431900024,23.785152196884155,30.656359434127808,36.08620595932007,43.40389537811279,"unknown",50.53324341773987,52.84974384307861,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",58.07793617248535,"unknown","unknown",64.02513670921326
"ac6f3f6",-29.46225142478943,-22.874244689941406,-17.389564514160156,-11.313790798187256,0.0,6.957695960998535,8.779271841049194,14.432212829589844,16.458131074905396,21.749049425125122,37.52242922782898,44.72391486167908,"unknown",51.19177722930908,54.60384202003479,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.78126907348633,"unknown","unknown",68.6949999332428
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-39015.32769870758,-39008.290138959885,-39002.241142988205,-38996.29734611511,0.0,5.409527063369751,22.011410236358643,29.266839265823364,38.94654083251953,44.86263847351074,63.756247758865356,70.28238439559937,"unknown",76.32420539855957,78.12700581550598,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",84.11410737037659,"unknown","unknown",90.05423545837402
"4e53c5c",-1885.334085226059,-1878.5781149864197,-1873.1729214191437,-1867.4328701496124,0.0,6.257772445678711,14.218345165252686,19.989453554153442,45.82696604728699,52.2616446018219,58.96620225906372,64.903067111969,"unknown",71.00776791572571,73.54470181465149,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",80.38793087005615,"unknown","unknown",86.44481754302979
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-16816.278905153275,-16810.862899303436,-16805.3331387043,-16798.248592615128,0.0,6.203985929489136,15.357478618621826,21.282119750976562,97.15214991569519,103.88135600090027,118.90413689613342,125.23368096351624,"unknown",131.27291679382324,135.13171243667603,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",140.72246074676514,"unknown","unknown",147.11452293395996
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-17834.636615753174,-17828.97947359085,-17822.103801250458,-17815.76714873314,0.0,6.034019470214844,7.988044738769531,15.130691289901733,17.989447116851807,25.01423144340515,55.33718824386597,62.48065114021301,"unknown",68.29597520828247,71.69065976142883,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",77.25908970832825,"unknown","unknown",83.06239461898804
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-763.1565210819244,-757.0816316604614,-751.5709087848663,-745.2621319293976,0.0,6.915963888168335,11.098064661026001,16.67341709136963,247571.17070245743,247576.91226291656,247581.80468702316,247588.67862987518,"unknown",247595.80491614342,247597.9622774124,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",247603.24341869354,"unknown","unknown",247610.30079221725
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-1967.9998738765717,-1960.9462306499481,-1954.8475232124329,-1949.016305923462,0.0,6.141950607299805,8.5763680934906,14.958268642425537,16.405628204345703,23.12480139732361,29.638312816619873,35.59342312812805,"unknown",42.19486331939697,170.00721836090088,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",177.09331965446472,"unknown","unknown",182.48149704933167
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","",""
