"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","x_1","6A","6B","7","v_x_1","8","9A","9B","10","11","12A","12B","13_1","13_2","13_3","15"
"518e9b8",-23590.273285150528,-23583.967549085617,-23578.678738832474,-23572.183845043182,0.0,5.858231782913208,13.50629210472107,20.22384762763977,28.408003330230713,35.20807695388794,51.314693450927734,57.595961570739746,"unknown",64.01466703414917,66.54951906204224,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.72828936576843,"unknown","unknown",80.02042245864868
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-32802.098878622055,-32795.73801898956,-32788.97245669365,-32782.52495479584,0.0,6.378798723220825,8.881422281265259,14.088362693786621,22.335713863372803,28.60174059867859,32.250652551651,38.7066068649292,"unknown",44.20478439331055,46.96370983123779,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",52.308367013931274,"unknown","unknown",58.01690626144409
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-11528.559992074966,-11522.280976057053,-11515.715670347214,-11508.826124191284,0.0,6.617692470550537,8.799368619918823,14.990361452102661,21.883649826049805,27.84598684310913,65.11222720146179,"unknown",70.73304557800293,77.66329312324524,84.98857736587524,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.87365484237671,"unknown","unknown",97.04916477203369
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-21586.89505290985,-21579.04681301117,-21573.509118556976,-21567.768743276596,0.0,6.394767761230469,9.795893669128418,15.382024049758911,222.5018355846405,228.07313466072083,253.64875435829163,260.3044958114624,"unknown",267.5414047241211,275.79760694503784,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",282.2832136154175,"unknown","unknown",288.823121547699
"ac6f3f6",-11818.107268571854,-11810.148111581802,-11802.009290218353,-11794.945605754852,0.0,6.5298731327056885,11.52104139328003,17.821255207061768,31.049309492111206,37.8787956237793,42.01575708389282,"unknown",48.94132471084595,55.03314232826233,57.60808849334717,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.75641679763794,"unknown","unknown",69.66937780380249
"62447b9",-38411.306325912476,-38404.293491363525,-38398.43745660782,-38392.64458179474,0.0,6.608522176742554,9.31133508682251,15.565305948257446,26.024761199951172,32.16269779205322,47.616947412490845,53.68308615684509,"unknown",60.593483209609985,63.48728132247925,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.90543007850647,"unknown","unknown",75.57972836494446
"20f3e2e",-1170.973819732666,-1163.8313636779785,-1157.5596346855164,-1150.557005405426,0.0,7.19452977180481,11.578782320022583,17.09287977218628,27.360528707504272,33.76657748222351,49.91889953613281,56.03150653839111,"unknown",61.61278176307678,63.40903043746948,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.82740640640259,"unknown","unknown",75.5474591255188
"4e53c5c",-5292.299115419388,-5285.349881887436,-5279.720947504044,-5273.94469165802,0.0,5.434607267379761,15.397539615631104,22.229357481002808,36.47674894332886,41.818093061447144,53.27440547943115,59.08717489242554,"unknown",65.16261053085327,68.45975184440613,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.78101658821106,"unknown","unknown",80.8008439540863
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-1813.6188328266144,-1806.3281075954437,-1800.3373563289642,-1794.0766978263855,0.0,5.989994049072266,16.654237508773804,22.53989863395691,796.7995760440826,803.297886133194,822.8352327346802,829.495279788971,"unknown",835.1946380138397,837.3854711055756,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",843.0920760631561,"unknown","unknown",850.2982869148254
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-6143.4892773628235,-6136.415288686752,-6130.749326467514,-6125.46071600914,0.0,6.725195407867432,12.348309755325317,18.012690782546997,28.306225776672363,35.02386236190796,41.671125650405884,47.520073652267456,"unknown",53.37269449234009,55.35523700714111,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.993083238601685,"unknown","unknown",68.66397333145142
"ea8c0d6",-7703.494700670242,-7696.435958623886,-7690.186114549637,-7684.534204244614,0.0,6.901101589202881,14.02559494972229,20.839407205581665,34.829047203063965,40.12459444999695,89.59201979637146,95.02142310142517,"unknown",101.99024605751038,106.55949640274048,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",113.05542826652527,"unknown","unknown",118.92027640342712
"7cf831f",-53.456714391708374,-46.52793860435486,-41.226911306381226,-34.95934224128723,0.0,7.4334423542022705,22.72076678276062,29.156174898147583,39.071937799453735,46.33801627159119,65.12343788146973,71.63045191764832,"unknown",78.2345871925354,80.9475474357605,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",87.95121312141418,"unknown","unknown",95.05103921890259
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-1736.2378265857697,-1730.9216001033783,-1724.341481924057,-1718.4270992279053,0.0,5.508831262588501,7.04679799079895,13.808131694793701,17.60629105567932,23.339484930038452,33.81648087501526,40.6571478843689,"unknown",46.30045771598816,48.44352746009827,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",53.87903904914856,"unknown","unknown",59.969520568847656
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-39966.34009695053,-39959.45060586929,-39953.240782260895,-39946.022907972336,0.0,5.382681131362915,49190.74515271187,49197.320094347,49199.54754328728,49205.20495700836,125514.68006563187,125521.19149589539,"unknown",125526.61700892448,125530.33823609352,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",125536.36752605438,"unknown","unknown",125542.53548431396
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-19313.002316236496,-19306.03052186966,-19300.528989076614,-19294.91112470627,0.0,7.4063560962677,28.08413529396057,33.66137099266052,41.587045192718506,48.213478088378906,63.15933012962341,70.64953637123108,"unknown",76.65952515602112,1163.6978118419647,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",1170.9369158744812,"unknown","unknown",1177.8063888549805
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-2839.8899080753326,-2832.712223291397,-2825.7139291763306,-2819.1764538288116,0.0,5.5929460525512695,12.516124725341797,18.4020414352417,26.63303780555725,32.06008052825928,36.34799003601074,43.159648418426514,"unknown",49.15156579017639,51.927854776382446,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",58.460569858551025,"unknown","unknown",65.14923524856567
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-18750.59792780876,-18743.43798804283,-18736.1121737957,-18730.391259670258,0.0,5.731451511383057,11.646821975708008,17.603411197662354,38.36912512779236,45.040289878845215,53.67040538787842,59.04950761795044,"unknown",64.66466093063354,67.72296810150146,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.7452597618103,"unknown","unknown",79.98504900932312
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81",-8734.178112745285,-8727.881921052933,-8720.998092889786,-8715.384360790253,0.0,6.394113779067993,8.28906512260437,14.767887115478516,21.071921825408936,26.555951833724976,41.70239543914795,47.71666383743286,"unknown",54.29306507110596,56.268627643585205,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.651599168777466,"unknown","unknown",68.67848944664001
"bf983ba",-298.0554416179657,-292.0603222846985,-285.1630299091339,-279.4222683906555,0.0,7.4273107051849365,10.717930793762207,16.875786781311035,23.447590112686157,29.451398849487305,35.59322810173035,40.84379243850708,"unknown",47.80749011039734,50.61795902252197,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",57.18871784210205,"unknown","unknown",62.78583645820618
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-1450390.8179292679,-1450384.2723112106,-1450378.383519888,-1450371.1845445633,0.0,5.25026535987854,10.708307266235352,16.34205675125122,27.69539213180542,33.62018156051636,137.38430976867676,"unknown",143.7595088481903,150.04414534568787,153.3852608203888,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",159.94322061538696,"unknown","unknown",165.35909056663513
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-25.708770275115967,-20.259727001190186,-13.14401912689209,-6.480173587799072,0.0,5.754843473434448,8.135316371917725,13.432442426681519,25.82987666130066,32.460681200027466,36.95939874649048,44.152796030044556,"unknown",52.15030336380005,54.52411460876465,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.41757369041443,"unknown","unknown",67.01468634605408
"2dffb9e",-22.45357656478882,-16.281635999679565,-10.593419790267944,-3.42627215385437,0.0,7.010460376739502,9.270628213882446,15.79253077507019,25.188183307647705,30.906312704086304,38.74640917778015,"unknown",44.165035247802734,49.612191677093506,52.467095136642456,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.604798555374146,"unknown","unknown",65.49829840660095
"7a35b75",-3670.319144010544,-3663.6585335731506,-3656.9286320209503,-3649.8735797405243,0.0,6.628558158874512,10.650321960449219,17.40091848373413,27.17331576347351,34.39567303657532,38.8802649974823,44.58947730064392,"unknown",51.29408812522888,53.40411019325256,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.81805896759033,"unknown","unknown",67.56319308280945
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-959918.7730600834,-959911.9049603939,-959905.4630815983,-959899.5109241009,0.0,6.885122537612915,8.603949069976807,14.40496015548706,26.42651677131653,31.672929286956787,91.58280181884766,97.48933243751526,"unknown",103.85114884376526,114.19171500205994,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",121.05344080924988,"unknown","unknown",126.61038136482239
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-6810.684068441391,-6803.539976596832,-6796.293434858322,-6789.80366563797,0.0,6.034674644470215,8.587218761444092,13.848324537277222,22.07583999633789,28.512012481689453,36.1308274269104,42.16389036178589,"unknown",48.67255187034607,50.5208466053009,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",56.39109492301941,"unknown","unknown",63.15468406677246
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-259928.03961205482,-259922.2302672863,-259916.8304233551,-259911.531042099,0.0,5.582452774047852,9.73441219329834,16.72213864326477,25.235822200775146,30.55464744567871,39.988157987594604,45.872145891189575,"unknown",52.590797662734985,53.815833568573,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.705777645111084,"unknown","unknown",66.21229004859924
"8ec15bc",-2324.532895088196,-2317.9749886989594,-2312.6930916309357,-2307.175721645355,0.0,6.630111455917358,26.376979112625122,33.44792890548706,45.75245404243469,51.213977336883545,76.94414806365967,84.22420501708984,"unknown",91.03126788139343,102.62287616729736,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",108.5129189491272,"unknown","unknown",114.17555928230286
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-1220923.5289621353,-1220917.6826741695,-1220911.8707294464,-1220906.3654761314,0.0,5.618641138076782,9.341978788375854,15.088666677474976,22.535171031951904,28.738560438156128,31.80290412902832,38.04811716079712,"unknown",44.287630796432495,48.070307970047,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",53.699750900268555,"unknown","unknown",60.81952881813049
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-13633.091698408127,-13627.24001789093,-13620.112478733063,-13613.881899356842,0.0,6.046567678451538,10.324069738388062,16.66741156578064,25.551657676696777,31.032318592071533,48.75219941139221,"unknown",55.781753063201904,61.965253829956055,63.90536117553711,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.18402624130249,"unknown","unknown",78.03303956985474
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-900.043897151947,-892.9749057292938,-886.0232932567596,-880.6299707889557,0.0,6.566741466522217,8.448304891586304,13.903875350952148,24.509390115737915,30.579075813293457,33.61721396446228,38.92087006568909,"unknown",46.079631090164185,47.7847580909729,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",54.93631076812744,"unknown","unknown",60.3695068359375
"07ff49d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32",-391723.53337168694,-391718.1199584007,-391710.55563879013,-391705.2144382,0.0,6.446989297866821,6992.587164640427,6998.312979221344,7014.78013253212,7020.418606758118,7059.331730127335,"unknown",7065.58185839653,7072.566006183624,7074.723769426346,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",7080.060559988022,"unknown","unknown",7086.917530298233
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-3515.499920129776,-3510.108129262924,-3503.653144836426,-3497.852828979492,0.0,6.945945739746094,12.120538711547852,19.06790256500244,27.873146295547485,34.765645027160645,44.598822355270386,51.78187322616577,"unknown",58.26849865913391,61.14259719848633,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.58837080001831,"unknown","unknown",73.50087380409241
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-5928.7726328372955,-5921.703634738922,-5914.576429367065,-5907.506098747253,0.0,5.99936842918396,22.09116554260254,28.620962858200073,59.89289450645447,65.55507946014404,71.15825915336609,78.5219316482544,"unknown",85.57861399650574,87.97571039199829,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.62257289886475,"unknown","unknown",100.20457196235657
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb",-12124.757688999176,-12119.254115104675,-12113.736753940582,-12108.08591914177,0.0,7.057359218597412,9.333050727844238,14.566530227661133,22.657848358154297,29.093618631362915,36.90539836883545,42.53482151031494,"unknown",48.59264373779297,50.570947885513306,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",55.98308849334717,"unknown","unknown",62.421191930770874
"2ee7f92",-433.76991176605225,-426.6390891075134,-420.00631284713745,-413.5695171356201,0.0,5.994749546051025,7.795520782470703,14.841300010681152,18.825052976608276,26.049795866012573,47.37599754333496,54.370765924453735,"unknown",60.80266284942627,62.94670009613037,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.11794877052307,"unknown","unknown",75.44289779663086
"89d63ed",-490.87104535102844,-484.4276559352875,-478.92134404182434,-472.60049629211426,0.0,5.476518392562866,7.389527320861816,13.445348024368286,15.229550123214722,22.442782402038574,33.130796909332275,39.527841091156006,"unknown",46.61466598510742,49.42453694343567,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",55.46478033065796,"unknown","unknown",62.255584955215454
"c0a644e",-39.622807025909424,-33.47921323776245,-27.17604422569275,-19.938077449798584,0.0,7.005386829376221,89.84670615196228,95.81473278999329,102.4142677783966,109.57523536682129,129.97521018981934,135.75696849822998,"unknown",141.87078499794006,143.3323893547058,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",149.1340479850769,"unknown","unknown",155.04195165634155
"80f558b","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87e4f18","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0186834","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0355f6d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-110.79179310798645,-104.16672039031982,-97.58910632133484,-91.03117489814758,0.0,5.329406261444092,16.79531216621399,23.66838264465332,33.3805091381073,40.75828313827515,53.3805456161499,"unknown",59.37273144721985,66.55538821220398,68.25374341011047,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.20385026931763,"unknown","unknown",82.48420596122742
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962a7dd",-508452.63141822815,-508446.8534412384,-508440.29713845253,-508434.4458761215,0.0,5.449136734008789,8.145205974578857,15.32255482673645,108.26953172683716,113.70858836174011,23723.222014188766,"unknown",23729.829679965973,23736.609474897385,23738.095787763596,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",23745.210851430893,"unknown","unknown",23750.99826860428
"5c97513","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acc6118",-54527.527708768845,-54521.41427016258,-54516.125004053116,-54508.999160289764,0.0,6.440305709838867,11.734858751296997,18.525251626968384,26.761487245559692,32.72389531135559,53.30671238899231,60.23388934135437,"unknown",67.47320771217346,69.14428210258484,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.09425354003906,"unknown","unknown",82.65390872955322
"d33371d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d45bd1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cfcbc2d","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98ecb86",-1279.3834400177002,-1272.6236217021942,-1267.296456336975,-1260.83665060997,0.0,5.869832515716553,11.877811431884766,19.158007383346558,27.89733910560608,33.330211877822876,43.538201093673706,49.652523040771484,"unknown",56.10535383224487,61.479742765426636,"unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.76777625083923,"unknown","unknown",75.30292892456055
